"Name","URL"
" Exclusively Madonna","https://streaming.exclusive.radio/er/madonna/icecast.audio"
" Exclusively The Eagles ","https://streaming.exclusive.radio/er/eagles/icecast.audio"
" Exclusively Whitney Houston ","https://streaming.exclusive.radio/er/whitneyhouston/icecast.audio"
" Positively Stress Relief -om","https://streaming.positivity.radio/pr/stressrelief/icecast.audio"
".Quran Radio","https://n09.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABjKoABHgAdULpynjQ7EwB6A"
".القرآن الكريم ","https://n09.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABjKoABHgAdULpynjQ7EwB6A"
"Adrian Boult - Classical Radio","http://drive.uber.radio/uber/cradrianboult/icecast.audio"
"Andrea Bocelli - Classical Radio ","https://drive.uber.radio/uber/crandreabocelli/icecast.audio"
"Aretha Franklin","https://streaming.exclusive.radio/er/arethafranklin/icecast.audio"
"Arturo Toscanini - Classical Radio ","https://drive.uber.radio/uber/crarturotoscanini/icecast.audio"
"Barbra Streisand","https://streaming.exclusive.radio/er/streisand/icecast.audio"
"Bavarian Radio Symphony Orchestra","https://drive.uber.radio/uber/crbavarianradioorchestra/icecast.audio"
"Beethoven - Classical Radio","http://drive.uber.radio/uber/crbeethoven/icecast.audio"
"Berlin Philharmonic Orchestra - Classical Radio
","https://drive.uber.radio/uber/crberlinphilharmonic/icecast.audio"
"Big FM UAE","https://cast5.asurahosting.com/proxy/spooler/stream"
"Bob Dylan","https://streaming.exclusive.radio/er/bobdylan/icecast.audio"
"Boomerang 20's","https://drive.uber.radio/uber/boomerang1920s/icecast.audio"
"Boomerang 2000s","https://drive.uber.radio/uber/boomerang2000s/icecast.audio"
"Boomerang 2010s","https://drive.uber.radio/uber/boomerang2010s/icecast.audio"
"Boomerang 2020s","https://drive.uber.radio/uber/boomerang2020s/icecast.audio"
"Boomerang 30's","https://drive.uber.radio/uber/boomerang1930s/icecast.audio"
"Boomerang 40's","https://drive.uber.radio/uber/boomerang1940s/icecast.audio"
"Boomerang 50's","https://drive.uber.radio/uber/boomerang1950s/icecast.audio"
"Boomerang 60's","https://drive.uber.radio/uber/boomerang1960s/icecast.audio"
"Boomerang 70's","https://drive.uber.radio/uber/boomerang1970s/icecast.audio"
"Boomerang 80s","https://drive.uber.radio/uber/boomerang1980s/icecast.audio"
"Boomerang 90s","https://drive.uber.radio/uber/boomerang1990s/icecast.audio"
"Bryn Terfel - Classical Radio ","https://drive.uber.radio/uber/crbrynterfel/icecast.audio"
"C.R - Beethoven","http://drive.uber.radio/uber/crbeethoven/icecast.audio"
"C.R - Joan Sutherland","http://drive.uber.radio/uber/crjoansutherland/icecast.audio"
"C.R - London Symphony Orchestra","http://drive.uber.radio/uber/crlso/icecast.audio"
"C.R - Mozart","http://drive.uber.radio/uber/crmozart/icecast.audio"
"C.R - Vladimir Horovitz","http://drive.uber.radio/uber/crvladamirhorowitz/icecast.audio"
"C.R. - Adrian Boult","http://drive.uber.radio/uber/cradrianboult/icecast.audio"
"C.R. - André Rieu ","http://drive.uber.radio/uber/crandrerieu/icecast.audio"
"C.R. - Andrea Bocelli ","http://drive.uber.radio/uber/crandreabocelli/icecast.audio"
"C.R. - Andres Segovia ","http://drive.uber.radio/uber/crandressegovia/icecast.audio"
"C.R. - Arturo Toscanini","http://drive.uber.radio/uber/crarturotoscanini/icecast.audio"
"C.R. - Bavarian Radio Symphony Orchestra","http://drive.uber.radio/uber/crbavarianradioorchestra/icecast.audio"
"C.R. - Berlin Philarmonic","http://drive.uber.radio/uber/crberlinphilharmonic/icecast.audio"
"C.R. - Brahms","http://drive.uber.radio/uber/crbrahms/icecast.audio"
"C.R. - Bryn Terfel","http://drive.uber.radio/uber/crbrynterfel/icecast.audio"
"C.R. - Calm","http://drive.uber.radio/uber/crcalm/icecast.audio"
"C.R. - Chicago Symphony Orchestra ","http://drive.uber.radio/uber/crchicagosymphonyorchestra/icecast.audio"
"C.R. - Chopin","http://drive.uber.radio/uber/crchopin/icecast.audio"
"C.R. - Cleveland Orchestra ","http://drive.uber.radio/uber/crclevelandorchestra/icecast.audio"
"C.R. - Colin Davis","http://drive.uber.radio/uber/crcolindavis/icecast.audio"
"C.R. - Debussy","http://drive.uber.radio/uber/crdebussy/icecast.audio"
"C.R. - Essential Classics","http://drive.uber.radio/uber/cressentialclassics/icecast.audio"
"C.R. - Handel","http://drive.uber.radio/uber/crhandel/icecast.audio"
"C.R. - Herbert Von Karajan","http://drive.uber.radio/uber/crherbertvonkarajan/icecast.audio"
"C.R. - J.S. Bach","http://drive.uber.radio/uber/crjsbach/icecast.audio"
"C.R. - Jacqueline Du Pre ","http://drive.uber.radio/uber/crjacquelinedurpre/icecast.audio"
"C.R. - John Williams ","http://drive.uber.radio/uber/crjohnwilliams/icecast.audio"
"C.R. - John Williams  (Guitarist)","http://drive.uber.radio/uber/crjohnwilliamsguitarist/icecast.audio"
"C.R. - Jose Carreras ","http://drive.uber.radio/uber/crjosevarreras/icecast.audio"
"C.R. - Julian Bream","http://drive.uber.radio/uber/crjulianbream/icecast.audio"
"C.R. - Julian Lloyd Webber","http://drive.uber.radio/uber/crjulianlloydwebber/icecast.audio"
"C.R. - Katherine Jenkins","http://drive.uber.radio/uber/crkatherinejenkins/icecast.audio"
"C.R. - Kiri Te Kanawa","http://drive.uber.radio/uber/crkiritekanawa/icecast.audio"
"C.R. - Lang Lang","http://drive.uber.radio/uber/crlanglang/icecast.audio"
"C.R. - Liszt","http://drive.uber.radio/uber/crliszt/icecast.audio"
"C.R. - Lorin Maazel","http://drive.uber.radio/uber/crlorinmaazel/icecast.audio"
"C.R. - Luciano Pavarotti","http://drive.uber.radio/uber/crlucianopavarotti/icecast.audio"
"C.R. - Malcolm Sargent","http://drive.uber.radio/uber/crmalcolmsargent/icecast.audio"
"C.R. - Maria Callas","http://drive.uber.radio/uber/crmariacallas/icecast.audio"
"C.R. - Marin Alsop","http://drive.uber.radio/uber/crmarinalsop/icecast.audio"
"C.R. - Monserrat Caballe","http://drive.uber.radio/uber/crmonserratcaballe/icecast.audio"
"C.R. - Nadia Boulanger","http://drive.uber.radio/uber/crnadiaboulanger/icecast.audio"
"C.R. - New Release","http://drive.uber.radio/uber/crnewreleases/icecast.audio"
"C.R. - Nigel Kennedy","http://drive.uber.radio/uber/crnigelkennedy/icecast.audio"
"C.R. - Placido Domingo","http://drive.uber.radio/uber/crplacidodomingo/icecast.audio"
"C.R. - Ralph Vaugham Williams","http://drive.uber.radio/uber/crralphvaughanwilliams/icecast.audio"
"C.R. - Ravel","http://drive.uber.radio/uber/crravel/icecast.audio"
"C.R. - Royal Concert Orchestra of Netherlands","http://drive.uber.radio/uber/crrcon/icecast.audio"
"C.R. - Schubert","http://drive.uber.radio/uber/crschubert/icecast.audio"
"C.R. - Shostakovich","http://drive.uber.radio/uber/crshostakovich/icecast.audio"
"C.R. - Sibelius","http://drive.uber.radio/uber/crsibelius/icecast.audio"
"C.R. - Simon Rattle","https://drive.uber.radio/uber/crsimonrattle/icecast.audio"
"C.R. - Sir Adrian Boult","http://drive.uber.radio/uber/cradrianboult/icecast.audio"
"C.R. - Strauss","http://drive.uber.radio/uber/crstrauss/icecast.audio"
"C.R. - Stravinsky","http://drive.uber.radio/uber/crstravinsky/icecast.audio"
"C.R. - Tchaikovsky ","http://drive.uber.radio/uber/crtchaikovsky/icecast.audio"
"C.R. - Vanessa Mae","http://drive.uber.radio/uber/crvanessamae/icecast.audio"
"C.R. - Verdi","http://drive.uber.radio/uber/crverdi/icecast.audio"
"C.R. - Vienna Philarmonic Orchestra","http://drive.uber.radio/uber/crviennaphilharmonic/icecast.audio"
"C.R. - Vivaldi","http://drive.uber.radio/uber/crvivaldi/icecast.audio"
"C.R. - Vladimir  Horovitz","http://drive.uber.radio/uber/crvladamirhorowitz/icecast.audio"
"C.R. - Wagner","http://drive.uber.radio/uber/crwagner/icecast.audio"
"C.R. - Yehudi Menuin ","http://drive.uber.radio/uber/cryehudimenuin/icecast.audio"
"Carpenters","https://streaming.exclusive.radio/er/carpenters/icecast.audio"
"City 1016","https://n07.radiojar.com/gmwyu8xdrxquv?_=760588&rj-tok=AAABkXoon2EAToxxtPXBLFkydw&rj-ttl=5"
"Classica Radio - Ravel","https://drive.uber.radio/uber/crravel/icecast.audio"
"Classical Radio  -  Chicago Symphony Orchestra ","https://drive.uber.radio/uber/crchicagosymphonyorchestra/icecast.audio"
"Classical Radio  - Katherine Jenkins","https://drive.uber.radio/uber/crkatherinejenkins/icecast.audio"
"Classical Radio  - Lang Lang","https://drive.uber.radio/uber/crlanglang/icecast.audio"
"Classical Radio  - Sibelius","https://drive.uber.radio/uber/crsibelius/icecast.audio"
"Classical Radio  - Sir Colin Davis","https://drive.uber.radio/uber/crcolindavis/icecast.audio"
"Classical Radio  - Stravinsky","https://drive.uber.radio/uber/crstravinsky/icecast.audio"
"Classical Radio - André Rieu ","https://drive.uber.radio/uber/crandrerieu/icecast.audio"
