"Name","URL"
"
RADIO MARIAM ARABIC
","http://dreamsiteradiocp4.com:8046/stream"
".Quran","https://backup.qurango.net/radio/ahmad_khader_altarabulsi"
".إذاعة ماهر المعيقلي ","https://backup.qurango.net/radio/maher"
".القارئ محمد أيوب","https://qurango.net/radio/mohammed_ayyub"
"0-24 2000ER POP ROCK","https://0-242000erpoprock.stream.laut.fm/0-24_2000er_pop_rock"
"1337","http://www.la1337.com/stream/la1337.mp3?sid="
"80s Alive","http://media2.hostin.cc/80s-alive.mp3"
"80s Forever Radio","http://premium.shoutcastsolutions.com:8050/256.mp3"
"90 Rak Thai","http://radio11.plathong.net:8896/"
"Ambient Space","http://immortalharmony.out.airtime.pro:8000/immortalharmony_a"
"BBC UNHCR","http://stream.live.vc.bbcmedia.co.uk/bbc_pashto_radio"
"BEAUTIFUL INSTRUMENTALS","http://hydra.cdnstream.com/1822_128"
"Bhakti World","http://gurbani.out.airtime.pro:8000/gurbani_a"
"Blues Radio Greece","http://cast3.radiohost.ovh:8352/"
"Br Klassik","https://dispatcher.rndfnk.com/br/brklassik/live/mp3/high"
"Burj","http://82.213.26.67:8000/stfeam"
"Cartuja radio","http://stream.zeno.fm/qernw9vu91zuv"
"chain3","https://webradio.tda.dz/Chaine3_64K.mp3"
"chalabi","https://listen.radioking.com/radio/291025/stream/337294"
"Classic Country","http://185.33.21.112/ccountry_mobile_mp3"
"Coast FM","http://213.175.217.198:8000/tenerife"
"cool93","https://coolism-web3rd.cdn.byteark.com/stream/1"
"Cosmo hi","https://wdr-cosmo-live.icecastssl.wdr.de/wdr/cosmo/live/mp3/128/stream.mp3"
"demem","https://player.web.tr/listen/b9b96f7c7d6d6a484e13c494d7221ade"
"deutschrap Detmold ","http://stream.laut.fm/deutschrapradio"
"deutschrap TRAP","http://stream.laut.fm/deutscherrap"
"DirtyBass.FM","http://dirtybass.fm:8000/dirtybass.mp3"
"djdjdhs","http://ohmi-design.com:8170/"
"ESTUDIO FM INFANTIL","http://stream.zeno.fm/7wdxbx1eqm0uv"
"fb n","http://direct.francebleu.fr/live/fbhautenormandie-midfi.mp3"
"Focus","http://ice.greekstream.net/focusfm?listenerid=ec33c4dfc99a6f71e6dc23583cbc91f2&awparams=companionAds:true"
"Forst PSY","https://fr1-play.adtonos.com/8103/psystation-forest-psy-trance"
"GAYFM","http://stream.gayfm.de/"
"gradio","http://stream.laut.fm/gradio-rap"
"gyor+","https://stream.42netmedia.com:8443/sc_gyor1"
"hhh","https://stream.zeno.fm/60pqgs97f2zuv.m3u"
"Hirschmilch Psytrance","https://hirschmilch.de:7001/psytrance.mp3"
"Indieparty by Greensleeves","http://stream.laut.fm/indieparty"
"jjj","https://listen.moe/fallback"
"Joy","https://stream.joyhits.online:8072/joyhits.mp3"
"k","http://stream.zeno.fm/9e880vgncd0uv"
"KDPI","https://peridot.streamguys1.com:5115/live"
"KISS FM","https://kissfm.kissfmradio.cires21.com/kissfm.mp3"
"KQED","http://streams.kqed.org/kqedradio.m3u"
"louange radio","https://radio13.pro-fhi.net:19079/"
"MegaStar FM","http://megastar-cope-rrcast.flumotion.com/cope/megastar.mp3"
"Melody Radio Telugu","https://a1.asurahosting.com:9580/radio.mp3"
"MeloRadio ","https://ml.cdn.eurozet.pl/mel-net.mp3"
"Michael Jackson music star","https://icy.unitedradio.it/um2908.mp3"
"MOMENTO LOVE GOSPEL","http://stream.zeno.fm/526wmr2en98uv"
"Moon Phase Radio: Ambient","https://cp12.serverse.com/proxy/moonphase/stream"
"nair","http://198.245.61.123:8000/nair"
"Nova Bordeaux","https://snb.ice.infomaniak.ch/snb-high.mp3"
"Nova Classics","https://nova-vnt.ice.infomaniak.ch/nova-vnt-128"
"Nova La Nuit","https://nova-ln.ice.infomaniak.ch/nova-ln-128"
"o","https://txsasdx5.github.io/iptvw/8080S.m3u"
"Old Radio","https://sounder.ovh:9270/autodj?fbclid=IwAR1AVMAcgkeg3bTIGM8Z1B7MQ5lr3Fagu8pbx5Hcp9DwPFHllsyI8IlA8Is"
"Qamişlo","http://stream.laut.fm/dengeqamishlo.m3u"
"Querétaro rock radio estación ","http://stream-51.zeno.fm/xmhshz1wyrquv?zs=QAOx4-w0R4yCtHyKg4CQ7Q"
"R.Radio","https://metromedia.live24.gr/republicthess"
"Radio Activa","https://stream9.mexiserver.com:7014/"
"Radio Koszalin","http://91.232.4.33:9680/listen.pls?sid=1"
"Radio Lola Love","https://streaming.radiojat.rs/love.mp3"
