"Name","URL"
".القرآن","https://backup.qurango.net/radio/ahmad_khader_altarabulsi"
"Alfa & Omega Radio","http://cp13.shoutcheap.com:8094/?1721828214059"
"chili moje","https://media-ssl.musicradio.com/ChillMP3"
"Chill Radio","http://eu8.fastcast4u.com/proxy/chillradio?mp=/1"
"City Radio - Tirana 88.0 FM","https://cp1.sednastream.com/proxy/cityradio?mp=/stream"
"CLUB FM","https://cp1.sednastream.com/proxy/clubfm?mp=/stream"
"Club FM Kosova","https://cp1.sednastream.com/proxy/clubfmkosova?mp=/stream"
"Eurostar Radio - Tirana 94.4 FM","http://radioeurostar.al:9000/stream"
"MCN Radio - Tirana 103.1 FM","http://46.183.121.48:8000/mcn"
"My Music Radio - Tirana 97.3 FM","https://live.top-media.al/mmr"
"Paper Radio","https://business.playfm.al:8160/paperfm"
"Phish Radio","https://streaming.radio.co/sd71de59b3/listen"
"Play Radio - Tirana 91.1 FM","http://n0d.radiojar.com/sx7zrht0pg0uv"
"Play Radio Albania","http://stream.radiojar.com/sx7zrht0pg0uv"
"PLAY RADIO ALBANIA","https://stream.radiojar.com/sx7zrht0pg0uv"
"Radio burimi","https://stream-156.zeno.fm/vzp9uf0u3ehvv?zs=Jubk5XJHTEC2zFWm3mOTfA"
"Radio Club FM - Tirana 100.4 MHz","https://cp1.sednastream.com/proxy/clubfm?mp=/stream"
"Radio DJ","https://radio.albaniaradiodj.al/stream"
"Radio Kontakt - Tirana 89.3 FM","http://84.20.83.24:88/broadwavehigh.mp3?src=1"
"Radio Ora News","https://radio.oranews.tv:8443/stream"
"Radio Ora News - Tirana 96.7 FM","https://radio.oranews.tv:8443/stream"
"Radio plus 102.2 FM","https://cast2.my-control-panel.com/proxy/radiopl1/stream"
"Radio Shqip - Tirana 92.0 MHz","https://cp1.sednastream.com/proxy/radioshqip?mp=/stream"
"Radio Tirana 1","http://79.106.48.2:8000/radiotirana1"
"Radio-BLLACA","https://stream.zeno.fm/0smrlmhdbxuuv"
"Raduo-BLLACA","https://stream.zeno.fm/0smrlmhdbxuuv"
"Sophie Caffe Radio","https://sophiecafferadio.live/sophie.mp3"
"Tirana Jazz Radio","https://live.tiranajazzradio.com:8443/stream"
"Top Albania Radio - Tirana 100 .0 FM","https://live.topgold.al/tar"
"Top Albanian Radio","https://live.top-media.al/tar"
"Top Gold Radio - Tirana 100.8 FM","https://live.topgold.al/topgold"
"إذاعة القرآن الكريم ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"اذاعة القرآن الكريم","http://stream.radiojar.com/0tpy1h0kxtzuv"
