"Name","URL"
"Absolute country ","http://strm112.1.fm/acountry_mobile_mp3"
"LAC Luanda Antena Comercial (95.5 MHz FM, Luanda)","http://radios.vpn.sapo.pt/AO/radio14.mp3"
"Radio Escola 88.5 FM","http://radios.vpn.sapo.pt/AO/radio1.mp3"
"Rádio Fé Angola","http://stream.zeno.fm/gsndh1xvczetv"
"Radio Mais 99.1","http://radios.vpn.sapo.pt/AO/radio10.mp3"
"Rádio MFM Angola","https://centova87.instainternet.com/proxy/mfm?mp=/stream"
"Radio N'Gola Yetu","https://radios.vpn.sapo.pt/AO/radio12.mp3"
"Radio Romantica","https://radios.vpn.sapo.pt/AO/radio4.mp3"
"Radio Sem Anestesia","https://radios.vpn.sapo.pt/AO/radio7.mp3"
"Rádio UnIA (92.3 MHz FM, Luanda) Universidade Independente de Angola","http://radios.vpn.sapo.pt/AO/radio2.mp3"
"RNA Rádio 5 (94.5 MHz FM, Luanda) Rádio Nacional de Angola","http://radios.vpn.sapo.pt/AO/radio5.mp3"
