"Name","URL"
"@twitradioo","http://s2.netradiofm.com:6338/"
"101.5Music - La Radio de la Música","http://190.1.0.5:8035/"
"221Radio (FM 103.1)","https://radios.solumedia.com:10815/stream"
"88.9 LA F JUNIN","https://alpha.radioplayer.com.ar/stream/dimarco/laf889"
"94.5 Máxima FM ","http://server.laradio.online:8797/"
"Acqua FM 100.1","https://strcdn.klm99.com:10985/acquavillagesell"
"Aire Libre 96.3 Río Grande","http://streamingraddios.net:9277/stream"
"Aire Libre 96.3 Río Grande ","http://streamingraddios.net:9277/"
"Alegría FM 99.7","http://radio.solumedia.com.ar:8004/"
"Alternativa 99.3 FM","https://radio01.ferozo.com/proxy/ra01000727?mp=/stream"
"Always Hits Radio","https://stream.zeno.fm/yqb6aauhtv8uv"
"Am 1050 San Francisco ","https://vps-2333016-x.dattaweb.com/listen/am_1050_radio_san_francisco/radio.mp3"
"AM 1270 - Radio Provincia de Buenos Aires","https://streaming.provinciaradio.com.ar:7008/am"
"AM 1440 IMPACTO","https://server.laradio.online:58165/live?1721826220781"
"AM 830 LT8 Rosario","https://stream.lt8.com.ar:8443/lt8radio.mp3"
"Amadeus","https://streamingradiolinks.xyz/8484/"
"AMADEUS","http://18.220.84.192:8484/"
"Amadeus 91.1","https://streamingradiolinks.xyz/8484/"
"Antena 1 91.5 FM","https://s3.netradiofm.com/p/9008/stream"
"Aquí Cosquín","https://edge01.radiohdvivo.com/stream/aquicosquin"
"Aspen 102.3","https://playerservices.streamtheworld.com/api/livestream-redirect/ASPEN.mp3"
"AZM Radio","https://radio02.ferozo.com/proxy/ra02001253/?mp=%2Fstream"
"Bar de Blues Radio","https://streamingraddios.online/proxy/bardeblues?mp=/stream"
"Beat 90200","http://radio02.ferozo.com:8850/stream"
"Beats Radio 100.5 FM","https://streaming.shockmedia.com.ar/9778/stream"
"Big FM 91.9 Rosario","https://radio01.ferozo.com/proxy/ra01000666?mp=/stream\"
"Blackie 89.1","https://playerservices.streamtheworld.com/api/livestream-redirect/BLACKIE_89_1.mp3"
"Blur fm","http://live.radiovague.com:8000/blurfm03"
"BRH - Bahía Radio Hits","https://miestacion.turadioonline.com.ar/8158/stream"
"Bunker FM 91.9","https://azura.derflusweb.com/radio/8010/radio.mp3"
"Cadena 103 103.1 FM","https://stream.arcast.com.ar/cadena103audio/cadena103audio.stream/playlist.m3u8"
"Cadena 3","http://server.laradio.online:8018/stream"
"Cadena 3 Cordoba","https://playerservices.streamtheworld.com/api/livestream-redirect/radio3.mp3"
"Cadena Alegría - Córdoba","https://streaming.escuchanosonline.com:7101/stream"
"Cadena Cumbia Latina 89.3 FM","https://stream-160.zeno.fm/60pqgs97f2zuv?zs=BCmVbzf4RheaQLwJZpq_Og"
"Cadena Eco AM 1220","https://node-35.zeno.fm/uyd6h9w162quv?rj-ttl=5&rj"
"Cadena Energy","http://innovatingthenet.com.ar:8001/energyai.mp3"
"Cadena Heat","https://liveradio.mediainbox.net/fmcordoba.mp3"
"Cadena Melodías 99.1","https://tolkien.republicahosting.net:2381/live"
"Cadena Rio FM 88.7","https://radio02.ferozo.com/proxy/ra02001342?mp=/stream"
"Cadena Ser Argentina 100.9 FM","https://server.laradio.online:58381/live"
"CAFF","https://streams.radio.co/s6b80bc417/listen"
"Chacarereando","https://streamconex.com:8212/"
"Chajarí al Día 940 AM","http://190.185.128.226:8001/AM940"
"Classic Hits - Éxitos que no pasan de moda","https://stream-151.zeno.fm/7st5b8derm0uv?"
"Classique","http://01.solumedia.com.ar:8562/stream.nsv"
"Classique FM 106.5 FM","https://radio.solumedia.com.ar:8562/"
"Classique: Una radio de clásicos","https://01.solumedia.com.ar:8562/stream"
