"Name","URL"
"105 fm","http://85.132.27.212:8888/azradio?listening-from-radio-radio-garden=1654328466"
"Anti Radio","https://stream.antiradio.net/radio/8000/mp3"
"Araz fm 103.3","http://s39.myradiostream.com/5458/listen.mp3"
"Asan Radio","http://94.20.74.206:4448/stream1"
"ASAN Radio","https://play.asanradio.az/"
"AutoLife Radio Azerbaijan","http://radio.autoliferadio.com:8090/radio"
"AVTO FM","http://5.191.241.101:8000/avtofm"
"Azerbaijan Radiosu 105 Fm","http://85.132.27.212:8888/azradio?listening-from-radio-radio-garden=1654328466"
"Baku Hit FM","http://5.191.241.101:8000/bakuhitfm"
"Baku Jukebox","http://78.109.52.73:8000/listening-from-radio-garden-1696020096"
"Baku Retro Fm","http://5.191.241.101:8000/bakuretrofm"
"bakuretrofm","http://5.191.241.101:8000/bakuretrofm"
"Balkan Rainbow","https://s0.radioheart.ru:8000/RH20730"
"Caspian Business Radio BOSS","https://myradio24.org/bosscomaz"
"Cipcip","https://stream.zeno.fm/bqrnn6cx868uv"
"CodeRadio from FreeCodeCamp","https://coderadio-admin-v2.freecodecamp.org/listen/coderadio/radio.mp3"
"Day.Az Radio","https://radio.day.az:9443/192"
"Media Fm 105.5","https://icecast.livetv.az/mediafm"
"Media FM Muğam","https://icecast.livetv.az/mediamugam"
"NAZ RADIO","https://s31.myradiostream.com/:9114/listen.mp3"
"Radio Enerji 101.1 FM","https://icecast.livetv.az/antennfm"
"Radio Veten","http://stream-162.zeno.fm/p1hx0c3y14zuv?zs=sLIAy_oBSIeGj72L-NHzmg"
"Sağlam Radio","https://s24.myradiostream.com/:17446/listen.mp3?nocache=1717082000"
"TMB 100.5","http://s39.myradiostream.com:5458/"
"Xezer FM","https://s40.myradiostream.com/:22546/listen.mp3?"
"Yurd FM","https://icecast.livetv.az/yurdfm"
