"Name","URL"
"A2Z RADIO","https://listen.radioking.com/radio/1743/stream/125"
"AL-QURAN BANGLA","http://66.45.232.131:9994/"
"Dhaka FM 90.4","http://118.179.219.244:8000/?n=d70ecddb2aebf420177c"
"Jago FM 94.4 ","http://128.199.184.111:12496/stream/1"
"LAKSHYAPAR","https://lakshyapar.getstreamhosting.com:7838/stream"
"Peoples Radio 91.6 FM","https://s3.myradiostream.com:14498/listen.mp3"
"Radio GoonGoon","https://audio.streamcast.xyz/listen/radiogoongoon/radio.mp3"
"Radio Padma 99.2 FM","http://radiopadmabd.radioca.st:9109/radiopadma"
"Radio Shadhin","https://stream-157.zeno.fm/eabgu655puquv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJlYWJndTY1NXB1cXV2IiwiaG9zdCI6InN0cmVhbS0xNTcuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6Ijh6NzR2TE5jUmJLV1pzMExqQWpYcmciLCJpYXQiOjE3Mjc1NDQwMjYsImV4cCI6MTcyNzU0NDA4Nn0.nm5A8Sbpg2aM811icSh5Au4Wigql4rOzRb0eKDW8Hz4"
"Radio Today FM 89.6","https://stream-150.zeno.fm/8wv4d8g4344tv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiI4d3Y0ZDhnNDM0NHR2IiwiaG9zdCI6InN0cmVhbS0xNTAuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6ImxSc2VnbmEtU24tYXlvaWZEb1pJemciLCJpYXQiOjE3Mjc1NDI4MzYsImV4cCI6MTcyNzU0Mjg5Nn0.qwb62znIPKiby0oAp4GG8j55uBRhEy47iOJ092nZiKc"
"Radio Ullash","http://stream.zeno.fm/gpgkgp9mp18uv.mp3"
"Radio Vivid Voice","https://stream.zeno.fm/xuin6ocdc2juv"
"Rajshahi FM","https://stream.zeno.fm/nxfshdayjrdvv"
"S-Radio","https://as1.digitalsynapsebd.com/proxy/zkpnarpg/stream"
"Uttorbango Betar","http://stream.zeno.fm/spqbxkqxdf9uv"
"বাংলাদেশ বেতার ঢাকা ক","http://as1.digitalsynapsebd.com:8582/"
"বাংলাদেশ বেতার বানিজ্যিক কার্যক্রম","http://as1.digitalsynapsebd.com:8741/"
