"Name","URL"
" 	Studio Brussel","http://icecast.vrtcdn.be/stubru-high.mp3"
"' t Is Vloms Affligem, be","http://bluford.torontocast.com:8093/stream"
"'t Is Vloms","https://bluford.torontocast.com/proxy/iimfoptl/stream"
"""name"": ""'undefined' -> 'AFN 360 Benelux'"",","http://playerservices.streamtheworld.com/m3u/AFNE_BLX.m3u"
"1 MINI 1","http://centauri.shoutca.st:9021/"
"1 MINI 2","http://centauri.shoutca.st:9064/"
"100% Retro","https://server.musicstars.online/radio/8000/listen"
"10584 ","http://s1.voscast.com:10584/stream"
"247 FM","https://panel.247fm.nl:8000/radio.mp3"
"8090rocks","https://radio.8090rocks.com/"
"Accent Radio","https://www.clubfmserver.be/accent.mp3"
"AFN 360 Benelux","http://playerservices.streamtheworld.com/m3u/AFNE_BLX.m3u"
"Ajoin Music","https://play.ajoinmusic.be/ajoinmusic.mp3"
"Antipode","https://streaming.antipode.be/antipode.mp3"
"Arabel","http://arabelfm.ice.infomaniak.ch/arabelprodcastfm.mp3"
"AraBel FM","https://arabelfm.ice.infomaniak.ch/arabelprodcastfm.mp3?1707017559"
"Be One - Xmas","http://live.radiostudio.be/beonexmas"
"Bel RTL","http://belrtl.ice.infomaniak.ch/belrtl-mp3-192.mp3"
"Belgian Dance Radio","https://s4.radio.co/sf5a880a25/listen"
"BEST OLDIES RADIO (BOR)","https://a8.asurahosting.com:8090/radio.mp3"
"Boo","http://stream03.level27.be/stream.mp3"
"BRF1","http://streaming.brf.be/brf1-high.mp3"
"BRF1 Radio","https://streaming.brf.be/brf1-high.mp3"
"BRF2","http://streaming.brf.be/brf2-high.mp3"
"BRF2 Radio","https://streaming.brf.be/brf2-high.mp3"
"Bruce Classic Rock","http://streamingv2.shoutcast.com/bruce-classic-rock"
"Bruzz","https://rrr.sz.xlcdn.com/?account=fmbrussel&file=fmb988.mp3&type=live&service=icecast&protocol=https&port=8000&output=pls"
"BRUZZ","https://ice.cr6.streamzilla.xlcdn.com:8000/sz=fmbrussel=fmb988.mp3"
"c_dance","http://198.100.145.187:18304/"
"Charleking Radio","http://charlekingradio.ice.infomaniak.ch/ckradio-192.mp3"
"Chillout CROOZE","http://streams.crooze.fm:8006/stream/1/"
"Classic 21 80's New Wave","https://radio.rtbf.be/c21-80nw/mp3-128/me"
"Classic 21 80’s Hits","https://radio.rtbf.be/c21-80s/mp3-128/me"
"Classic 21 Blues","http://radios.rtbf.be/wr-c21-blues-128.mp3"
"Classic21","http://radios.rtbf.be/classic21-128.mp3"
"ClubFM","http://www.clubfmserver.be:8000/clubfm.mp3"
"ClubFM Oost-Vlaanderen","http://www.clubfmserver.be:8000/radioclubfm.mp3"
