"Name","URL"
"1 Rock Bulgaria","http://31.13.223.148:8000/1_rock.mp3"
"ARHEA ORG","http://stream.zeno.fm/na6nbx6qqwzuv"
"Bad Rock Radio 1","https://play-radio0.jump.bg:7028/live"
"Bad Rock Radio-Classic Rock","https://radio.jump.bg:7489/live"
"Bad Rock Radio-Hard & Heavy Rock","https://radio.jump.bg:7049/live"
"BadRock Classic Rock","https://play-radio0.jump.bg:7489/live"
"BadRock Hard & Heavy","https://play-radio0.jump.bg:7049/live"
"BadRock Radio","https://radio.jump.bg:7028/live"
"BadRock Radio National","https://radiocp.jump.bg/proxy/stan1?mp=/live"
"Bar Friends Pernik","http://79.98.108.170:8278/autodj"
"BG Estrada","https://play.global.audio/bgestrada"
"BG Radio","http://stream.radioreklama.bg/bgradio128"
"BNR Stara Zagora","http://82.103.99.99:8000/radiosz"
"BNR Varna","http://broadcast.masters.bg:8000/live"
"Braille FM","https://radio.jump.bg:7181/live"
"bTV Radio","https://cdn.bweb.bg/radio/btv-radio.mp3"
"Bumerang FM","http://185.20.88.1:8010/"
"Casino Web Radio","http://79.98.108.170:8026/live"
"Cherveniat Papagal","https://stream-64.zeno.fm/80qzq207rm0uv?zs=_xFVUn2nS3qDiPZ-lCCmIQ"
"City Bulgaria","http://31.13.223.148:8000/city.mp3"
"Classic FM 88.0","https://bravo.btv.bg/radio/classic-radio-proxy/"
"Coda Radio by Metropolis","https://metropolis.bg:8443/codaradio"
"Dan Pen Radio","https://server.danpenradio.net/listen/danpen_radio/radio.mp3"
"Dance With Me","http://g5.turbohost.eu:8002/stream320"
"DARIK","https://darikradio.by.host.bg:8000/S2-128"
"Darik Nostalgie","https://darikradio.by.host.bg:8000/Nostalgie"
"Darik Radio","https://darikradio.by.host.bg:8000/S2-128"
"DarikRadio","https://darikradio.by.host.bg:8000/S2-128"
"Deep Lounge","https://radio.jump.bg/proxy/georgi18/stream"
"Deep Radio Europe","http://79.98.108.174:8000/stream"
"DJ Zone House","http://162.244.80.106:11181/stream"
"Eilo Earth and Beat","https://eilo.org/earthbeat"
"Eilo Radio - Progressive Radio","https://opml.radiotime.com/Tune.ashx?id=s214979"
"EILO Techno Radio","https://eilo.org/streamer.php?ch=techno"
"EILO Trance Radio","https://eilo.org/streamer.php?ch=trance"
"Energy 90s","https://play.global.audio/energy-90s"
"Energy Bulgaria","http://149.13.0.80/nrj128"
