"Name","URL"
".. مختصر التفسير ","https://qurango.net/radio/mukhtasartafsir"
"..مختصر التفسير ","https://qurango.net/radio/mukhtasartafsir"
".beautiful recitation ","https://qurango.net/radio/salma"
".Quran","https://backup.qurango.net/radio/ahmad_khader_altarabulsi"
".إذاعة ماهر المعيقلي ","https://backup.qurango.net/radio/maher"
".القارئ محمد أيوب ","https://qurango.net/radio/mohammed_ayyub"
".القرآن","https://backup.qurango.net/radio/ahmad_khader_altarabulsi"
"AFN 360 Bahrain","http://playerservices.streamtheworld.com/m3u/AFNE_BHN.m3u"
"Monte Carlo Doualiya","https://montecarlodoualiya128k.ice.infomaniak.ch/mc-doualiya.mp3"
"Voice of Ummah","http://mediati.me/radio/8010/radio.mp3"
"إذاعة القرآن الكريم ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"اذاعة القرآن الكريم","http://stream.radiojar.com/0tpy1h0kxtzuv"
"تفسير بن عثيمين رحمه الله ","https://qurango.net/radio/tafseer"
