"Name","URL"
"Ciudad Radio 101.5 FM","https://emiteradio.com/proxy/monteroradio?mp=/stream"
"Clásica 100.3 FM","https://ares.disfrutaenlared.com:10992/stream"
"Coral FM 96.7 La del Sabor","https://stream.zeno.fm/7yetzvv8sm0uv"
"Cristo Viene La Red","https://stream20.usastreams.com:7000/stream"
"Diana D 102.1 FM","https://cesarradio.realserver.es/listen/diana_d_/radio.mp3"
"El Deber Radio 103.3 FM","https://cast.az-streamingserver.com/proxy/grupoeld?mp=/stream"
"El Derribador Radio","http://sc10.conectarhosting.com/proxy/derribadorradio/"
"El Fin del Silencio","https://servidor24-1.brlogic.com:7302/live"
"Eres Radio 98.5 FM","https://sp5.servidorrprivado.com/8789/stream"
"Fm La Paz 96.7","https://spanel.gcomstreaming.com/8018/stream"
"Hit 105.7 FM","https://stream-175.zeno.fm/u7ixfizasppvv?zs=hOeDNX_iSJaUUl90gnwQfQ"
"HUG - RADIO FOX STYLE","http://stream.zeno.fm/leyjhheodeutv"
"INOLVIDABLE BOLIVIA","https://zoyradio.online:8020/inolvidablebolivia.mp3"
"Maritima fm","https://spanel.gcomstreaming.com/8004/stream"
"Oxígeno 107.5 FM","https://stream-160.zeno.fm/up7we7qvsg0uv?zs=gjBe9XCDQEOMJM1x8F8W1A"
"Quechua FM","https://stream-174.zeno.fm/e78z1h3drd0uv?zs=ikWueaMmSDeduBx58DWGtQ"
"Radio ""Cumbia 90s""","https://emiteradio.com/proxy/cumbia90s?mp=/stream"
"Radio Aymara","http://stream.zeno.fm/du0x9skxum0uv"
"RADIO BEAT FOX","http://stream.zeno.fm/0966xr1y8p8uv"
"Radio Calacoto","https://stream.zeno.fm/z73xx5qm8rhvv"
"Radio Chacaltaya","https://cast6.asurahosting.com/proxy/irfradio/stream"
"Radio Continental 99.7 FM","https://stream-154.zeno.fm/bdnz2z7rnwzuv?zs=E1YbP0AVR4KD_2mbCSafsQ"
"Radio Cumbia 90s","https://emiteradio.com/proxy/cumbia90s?mp=/stream"
"Radio Estrella 93.1 FM","https://cesarradio.realserver.es/listen/lne_93.1/radio.mp3"
"Radio Fides Cbba","http://149.56.175.167:5654/"
"Radio Fides Cochabamba","https://usa14.fastcast4u.com/proxy/gfloresc?mp=/1"
"Radio Fides Cochabamba 94.9 FM","http://usa14.fastcast4u.com:5654/stream"
"Radio Fides La Paz","https://usa15.fastcast4u.com/proxy/grflor04?mp=/1"
"Radio Folklorica Uyuni","https://emiteradio.com/proxy/uyuni?mp=/stream"
"RADIO FOX STYLE","http://stream.zeno.fm/leyjhheodeutv"
"Radio Gigante Bolivia","https://cloudstream2032.conectarhosting.com:7311/"
"Radio Illimani - Red Patria Nueva","https://rponline.presidencia.gob.bo/stream"
"RADIO MARIA BOLIVIA","http://dreamsiteradiocp4.com:8022/stream"
"Radio Nueva Sur","https://stream.zeno.fm/48k4akftus8uv"
"Radio Oldies - Red Uyuni","https://emiteradio.com/proxy/clasicosingles?mp=/stream"
"Radio Panamericana","http://stream.zeno.fm/pnwpbyfambruv"
"Radio Play","https://emiteradio.com/proxy/playradio?mp=/stream"
"Radio Play Unica","https://stream.zeno.fm/zcb3usgnc0hvv"
"Radio Pop - Red Uyuni","https://emiteradio.com/proxy/boliviapop?mp=/stream"
"Radio Potencia Dinámica 95.8 FM","https://stream-174.zeno.fm/k0pzxa1u1f8uv?zs=gU6PWbIXRUyu8V5zLdjTRg"
"Radio Tropical de Tarija","https://stream.rcast.net/63337"
"Radio Wiracocha ","https://stream.zeno.fm/rtui1p0xscetv"
"Red Uyuni: Radio Recuerdos","https://emiteradio.com/proxy/uyuni2?mp=/stream"
"rplay","https://emiteradio.com/proxy/playradio?mp=/stream"
"Tuti internacional (cliza)","https://stream.zeno.fm/nplf6hpufi5uv"
"Vocera De La Vega","https://stream.zeno.fm/yx76pfk5feruv"
"Zoy Milton","https://213.199.42.66:8000/zoymilton.mp3"
"ZoyTV RADIO","https://icepool.silvacast.com/GAYFM.mp3"
