"Name","URL"
"Bon FM 102.7  Riscado","http://bonfm5.primcast.com:6482/"
"h","http://radio2.sikhnet.com:8037/live"
"Live99 FM - Kralendijk","http://162.244.80.220:8000/stream.mp3"
"Mega Hit FM","http://megaspice.primcast.com:5216/listen.pls?sid=1"
"Mega Hit FM 101.1","http://megaspice.primcast.com:5216/"
"Non Stop Hits Alex FM","https://radioalexfm.stream.laut.fm/radioalexfm?ref=web-app&start_time=1709718045653"
"Radio Transmundial Bonaire 800 Khz","https://cdn.instream.audio/:9050/stream"
"RTV Purmerend","http://stream.zxp.nl:8000/radiopurmerend_bb"
"TROPICAL SPICE RADIO","https://auds1.intacs.com/tropicalspiceradio"
"Voz di Bonaire 94.7 - Riscado","http://159.203.190.86:8304/stream.mp3"
