"Name","URL"
" DJ PERVERSA","http://jpdofunk3.com.br:8032/stream"
".Quran","https://backup.qurango.net/radio/ahmad_khader_altarabulsi"
"@iMPACTY HighRise","http://jpdofunk3.com.br:8116/stream"
"012 Rock News","http://9881.brasilstream.com.br/stream"
"101.9 Radio Educativa - Campinas","http://streaming.ima.sp.gov.br:8000/educativa.mp3"
"104 (Porto Alegre)","http://cast4.audiostream.com.br:8651/mp3"
"104 FM Natal","https://radios.braviahost.com.br:2020/tunein/radio104fm/radio.mp3/pls"
"104.7 Universitária - UFES","https://everest.radionanet.com:8990/stream"
"105 FM - É só alegria!","https://appradio.app:8010//live"
"105 FM - SP","http://www.appradio.app:8010//live"
"94 FM CORDEIRO-RJ","http://s17.hstbr.net:8040/live?1601949995965"
"94 FM Natal | Rádio Cidade","https://cidadedosolaac.jmvstream.com/stream"
"96 Fm - Arapiraca Alagoas","https://www.appradio.app:8182/live"
"96 FM Bauru","https://streaming.ei3.com.br/radio/8000/mp3?cb=1708358237473"
"97 FM Natal","https://azevedo.jmvstream.com/stream"
"97 Rock Web Radio","http://euroticast5.euroti.com.br:8094/stream?1696889015855"
"A Tarde FM","https://stm35.srvstm.com:7920/stream%22%3E%3C/audio%3E"
"AKIBA","https://ssl.srvstm.com:9526/stream/1/"
"Alternativa Livre","http://stream.zeno.fm/588dt1kykd0uv"
"Amazon Gospel","http://directradios.net:8197/"
"Amil Paradiso FM","https://playerservices.streamtheworld.com/api/livestream-redirect/PARADISO.mp3"
"Amor FM","https://r10.ciclano.io:15067/stream"
"Antena 1 Rio de Janeiro, RJ (ZYD 463, 103,7 MHz FM)","http://a1rj.streams.com.br:7801/sm"
"Antena Rio ","https://stream.zeno.fm/bod5idihvjnuv"
"antena1","https://antenaone.crossradio.com.br/stream/2"
"antenAZero","https://servidor26-4.brlogic.com:8006/live"
"Aranas FM","http://www.appradio.app:8137/live"
"Arco da velha","http://stream.zeno.fm/ndvs4y5wef9uv"
"Assembléia de Deus","https://ec2.yesstreaming.net:3925/stream"
"Atividade Espírita","http://streaming31.hstbr.net:8230/live"
"Atlantida Blumenau","https://playerservices.streamtheworld.com/api/livestream-redirect/ATL_BLU.mp3"
"Atlântida Joinville","https://playerservices.streamtheworld.com/api/livestream-redirect/ATL_JOI.mp3"
"Atos FM","https://s.bul.tec.br:8020/128"
"BAILAO","http://jpdofunk3.com.br:8020/stream"
"Band FM Triângulo 99.9 Mhz ZYC832 (Uberlândia - MG)","https://stm28.xcast.com.br:11364/stream"
"BandNews BH","https://cdn-web.tunein.com/assets/media/blank.mp3"
"BAVARIAN RADIO","https://br.lucasmultimedia.com/stream.ogg"
"Boa Fm - Aracaju Sergipe","https://s07.maxcast.com.br:8074/live"
"Boa Nova","https://servidor27-2.brlogic.com:8016/live"
"Bossa Jazz Brasil","https://centova5.transmissaodigital.com:20104/live"
"BR - The Classic Rock","https://stream.zeno.fm/nbq1aq62gd0uv"
"BRADO RADIO","https://servidor17-5.brlogic.com:8300/live"
"BRASIL CASTLE ROCK","http://jpdofunk3.com.br:8032/stream"
"Brasil de Fato","https://s09.hstbr.net:8238/live?1514038524061"
"Caiçara (Porto Alegre)","http://cast4.audiostream.com.br:8654/mp3"
"Campina FM","http://cast61.sitehosting.com.br:9962/live?1583625618600"
