"Name","URL"
"Aplus Beat","http://107.173.210.247:9000/aplus_beat_128.m3u"
"Aplus Progressive Techno","https://shoutcast.aplus.fm/aplus_progressive-techno_128.m3u"
"gjr","https://kathy.torontocast.com:3375/stream"
"http://ice-the.musicradio.com/CapitalXTRANationalM","http://ice-the.musicradio.com/CapitalXTRANationalMP3"
"humor fm Minsk","http://live.humorfm.by:8000/veseloe"
"Legendy FM","http://live.legendy.by:8000/legendyfm"
"Love Is Radio Belarus","https://myradio24.org/3355"
"niepokalanov ","http://88.199.169.10:7600/rn.mp3"
"Radio 4YOU","https://myradio24.org/2455"
"Radio Plato","https://azura.radioplato.by/radio/8000/radio.mp3"
"Radio retro","https://air.sammit.tv/retro"
"Radio Roks","https://stream.pcradio.ru/roks_minsk-hi"
"Radio Roks Minsk","https://stream.pcradio.ru/roks_minsk-hi"
"Trance ","http://185.33.21.112/trance_64a"
"Адкрытае Слова","https://rs.radioslovo.net:4005/radio?1619348678875"
"Ватыканскае радыё","https://radio.vaticannews.va/stream-be"
"Еўрарадыё Alternative","http://stream1.euroradio.fm:8000/euroradio1?seed=1493710910"
"Еўрарадыё BY","http://stream1.euroradio.fm:8000/euroradio1"
"Еўрарадыё Soft Rock","http://stream1.euroradio.fm:8000/euroradio3?seed=1493711245"
"Канал ""Культура""","https://stream2.datacenter.by/kultura"
"Компас FM","https://radio.mil.by/live"
"МВ-Радио","https://stream2.datacenter.by/mvradio"
"Первое союзное радиоё","https://souz.hostingradio.ru:80/souz128.mp3"
"Першы нацыянальны","https://stream2.datacenter.by/1kanal"
"Першы Нацыянальны канал Беларускага радыё","https://stream2.datacenter.by/1kanal"
"Радио Беларусь FM/Radio Belarus FM","http://stream2.datacenter.by:8009/belarusfm"
"Радио Беларусь/Radio Belarus","http://stream2.datacenter.by:8008/belarus"
"Радио Брест 104.8 Fm","https://stream2.datacenter.by:2199/tunein/trkbres1.pls"
"радио Минск 92.4","https://radio.mk.by:8443/radiominsk"
"Радио Могилёв","https://stream2.datacenter.by/tvrmogilev"
"Радыё ""Сталіца""","https://stream2.datacenter.by/stalica"
"Радыё Relax","http://live.humorfm.by:8000/radiorelax"
"Радыё Марыя","https://server.radiorm.by:8443/live"
"Радые Марыя ","https://server.radiorm.by:8443/live"
"Радыё Свабода. Навіны Беларусі","https://rfe10.akacast.akamaistream.net/7/894/437768/v1/ibb.akacast.akamaistream.net/rfe10"
"Свое Радио (Пинск)","https://live.svoyoradio.by:8443/svoyoradio"
"Юмор FM","http://live.humorfm.by:8000/veseloeradio"
