"Name","URL"
" A Fine Jazz Gumbo Radio ","https://streaming.smartradio.ch:9502/stream"
". Al quran radio ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"1.FM - A List 80s","http://strm112.1.fm/back280s_mobile_mp3"
"1.FM - Absolute 70's Pop Radio","http://strm112.1.fm/70s_mobile_mp3"
"1.FM - Absolute 90s Party Zone Radio","http://strm112.1.fm/partyzone90s_mobile_mp3"
"1.FM - Absolute Country Hits Radio","http://strm112.1.fm/acountry_mobile_mp3"
"1.FM - Absolute Pop Latino Radio","http://strm112.1.fm/latino_mobile_mp3"
"1.FM - Absolute TOP 40 Radio","http://strm112.1.fm/top40_mobile_mp3"
"1.FM - Absolute Trance (Euro) Radio","http://strm112.1.fm/trance_mobile_mp3"
"1.FM - Acappella Radio","http://strm112.1.fm/acpl_mobile_mp3"
"1.FM - Adore Jazz Radio","http://strm112.1.fm/ajazz_mobile_mp3"
"1.FM - Adult Urban Hits Choice Radio","http://strm112.1.fm/oldschool_mobile_mp3"
"1.FM - Afterbeat Electronica Radio","http://strm112.1.fm/electronica_mobile_mp3"
"1.FM - All Euro 80's Radio","http://strm112.1.fm/80s_90s_mobile_mp3"
"1.FM - All Times & Urban Gospel Radio","http://strm112.1.fm/gospel_mobile_mp3"
"1.FM - Alternative Rock X Hits Radio","http://strm112.1.fm/x_mobile_mp3"
"1.FM - Always-Christmas Radio","http://strm112.1.fm/christmas_mobile_mp3"
"1.FM - Ambient Psychill","http://strm112.1.fm/ambientpsy_mobile_mp3"
"1.FM - America's Best Ballads Radio","http://strm112.1.fm/onelive_mobile_mp3"
"1.FM - Amsterdam Trance Radio","http://strm112.1.fm/atr_mobile_mp3"
"1.FM - Back To The 50's & 60's Radio","http://strm112.1.fm/60s_70s_mobile_mp3"
"1.FM - Bay Smooth Jazz Radio","http://strm112.1.fm/smoothjazz_mobile_mp3"
"1.FM - Blues Radio","http://strm112.1.fm/blues_mobile_mp3"
"1.FM - BOM Psytrance Radio","http://strm112.1.fm/psytrance_mobile_mp3"
"1.FM - Bombay Beats India Radio","http://strm112.1.fm/bombaybeats_mobile_mp3"
"1.FM - Bossa Nova Hits","http://strm112.1.fm/bossanova_mobile_mp3"
"1.FM - Cafe Radio","http://strm112.1.fm/caferadio_mobile_mp3"
"1.FM - Chillout Lounge Radio","http://strm112.1.fm/chilloutlounge_mobile_mp3"
"1.FM - Circuit Pride Radio","http://strm112.1.fm/circuitpride_mobile_mp3"
"1.FM - Classic Country Radio","http://strm112.1.fm/ccountry_mobile_mp3"
"1.FM - Classic Rock Replay Radio","http://strm112.1.fm/crock_mobile_mp3"
"1.FM - Club 1 Radio","http://strm112.1.fm/club_mobile_mp3"
"1.FM - Costa Del Mar","http://strm112.1.fm/costadelmarchillout_mobile_mp3"
"1.FM - Country One Radio","http://strm112.1.fm/country_mobile_mp3"
"1.FM - Dance One Radio","http://strm112.1.fm/dance_mobile_mp3"
"1.FM - Deep House Radio","http://strm112.1.fm/deephouse_mobile_mp3"
"1.FM - Deep Techno & Deep House","http://strm112.1.fm/deeptech_mobile_mp3"
"1.FM - Destination: SPA Radio","http://strm112.1.fm/spa_mobile_mp3"
"1.FM - Disco Ball 70's-80's Radio","http://strm112.1.fm/disco_mobile_mp3"
"1.FM - Dubstep Forward Radio","http://strm112.1.fm/dubstep_mobile_mp3"
"1.FM - Eternal Praise & Worship Radio","http://strm112.1.fm/praise_mobile_mp3"
"1.FM - Exitos del Ayer Radio","http://strm112.1.fm/spanisholdies_mobile_mp3"
"1.FM - Funky Express Radio","http://185.33.22.15:11121/"
"1.FM - Gorilla FM Radio","http://strm112.1.fm/gorillafm_mobile_mp3"
"1.FM - High Voltage Radio","http://strm112.1.fm/highvoltage_mobile_mp3"
"1.FM - Ibiza Chill Tropical","http://strm112.1.fm/ibizachill_mobile_mp3?aw_0_req.gdpr=true"
