"Name","URL"
" chilefolklore","https://centova.neonetwork.cl:9015/stream?"
" Radio la Sureña ","https://stream.zeno.fm/ssmz1n5vmd0uv"
"80sFlashBack Radio","https://c23.radioboss.fm:8129/stream"
"Activa","http://provisioning.streamtheworld.com/pls/ACTIVA.pls"
"Almeyda ","https://sonic.streamingchilenos.com/9974/stream.aac"
"Alternativa FM","https://radio.tvstream.cl/8056/stream"
"Alternativa FM Caldera Bahía Inglesa 101.3","http://stream.zeno.fm/ax3kqn9f31zuv"
"azukar fm","http://5.9.65.9:8025/azukarfm"
"BEAT FM - La radio que te Mueve! - Valle Aconcagua 98.7","https://audio.streaminghd.cl:2000/stream/beatfm-sanfelipe"
"Blaster Radio","https://s2.mkservers.space/blaster"
"Boogaclub","http://stream.zeno.fm/777prr0xfm8uv"
"Canciones Lejanas Version Anglo - Zeno.FM","https://stream.zeno.fm/8hv9e0uqb0hvv"
"Canciones Lejanas Version Latina - Zeno.FM","https://stream.zeno.fm/5kasc2zta0hvv"
"Canciones LejanasVersion Anglo - Zeno.FM","https://stream.zeno.fm/8hv9e0uqb0hvv"
"Carnaval Aconcagua","http://sonando.us.digitalproserver.com/carnaval_aconcagua.aac"
"CARNAVAL ANTOFAGASTA","https://sonando-us.digitalproserver.com/carnaval_antofagasta.aac"
"Carnaval Curicó","http://sonando.us.digitalproserver.com/carnaval_curico.aac"
"Carnaval Punta Arenas","http://sonando.us.digitalproserver.com/carnaval_puntaarenas.aac"
"Carnaval Quillota","http://sonando.us.digitalproserver.com/carnaval_quillota.aac"
"Carnaval San Antonio","http://sonando.us.digitalproserver.com/carnaval_sanantonio.aac"
"CARNAVAL VINA DEL MAR","https://sonando-us.digitalproserver.com/carnaval_vinadelmar.aac"
"Carnaval Viña del Mar","http://sonando.us.digitalproserver.com/carnaval_vinadelmar.aac"
"Chercan Radio","https://stream.zeno.fm/es9h0crh74zuv"
"CLG Radio 93.5 FM","https://sonic.portalfoxmix.club/8012/streamstream"
"COBrOx RADiO","http://65.108.120.179:8672/cobroxradio"
"Código Metal Radio","https://streaming.viphosting.cl/8012/stream"
"Concierto","http://provisioning.streamtheworld.com/pls/CONCIERTO.pls"
"Conexion Radio","https://tunein.radiomaniacos.cl/conexionradio"
"Cooperativa","https://unlimited3-cl.dps.live/cooperativafm/mp3/icecast.audio"
"Corazon","http://provisioning.streamtheworld.com/pls/CORAZON.pls"
"De Culto Radio","https://ascl.denial.cl:8014/stream"
"De los Recuerdos","http://sonando.us.digitalproserver.com/fmdelosrecuerdos.aac"
"Diferencia FM 89.3","https://sonic-cl.streaming-chile.com/8092/stream"
"Digital 104.1 FM - ARICA","https://radio.digitalfm.cl:8000/arica"
"Digital 105.5 FM - CONCEPCIÓN","https://radio.digitalfm.cl:8000/concepcion1"
"Digital 105.5 FM - TALCA","https://radio.digitalfm.cl:8000/talca"
"Digital 89.5 FM - CALAMA","https://radio.digitalfm.cl:8000/calama1"
"Digital 94.9 FM - VALPARAISO","https://radio.digitalfm.cl:8000/valparaiso1"
"Digital 97.1 FM - ANTOFAGASTA","https://radio.digitalfm.cl:8000/antofagasta1"
"Digital 97.7 FM - LA SERENA","https://radio.digitalfm.cl:8000/laserena1"
"Digital 99.1 FM - IQUIQUE","https://radio.digitalfm.cl:8000/iquique1"
"Digital 99.1 FM - PUNTA ARENAS","https://radio.digitalfm.cl:8000/ptaarenas"
"Distorsión FM","https://tunein.radiomaniacos.cl/distorsion.mp3"
"DJS EN ACCION CLUB","https://cast3.asurahosting.com/proxy/djsenacc/stream"
"Ecos del Litoral","https://studio19.radiolize.com/radio/8030/radio.mp3"
"El Conquistador FM","https://stream10.usastreams.com/9314/stream"
"El Conquistador Fm (Santiago)","https://stream10.usastreams.com/9314/stream/"
