"Name","URL"
"_Wawa Radio 101.2 FM","https://xn--tmz.xn--6frz82g/streams"
".Quran ","https://backup.qurango.net/radio/ahmad_khader_altarabulsi"
"105.1成都简单音乐广播","https://stream.zeno.fm/7brqs9rsbc9uv"
"500首华语经典","https://lhttp.qtfm.cn/live/5022308/64k.mp3"
"520电台-520星恋情感电台","https://lhttp.qtfm.cn/live/15318191/64k.mp3"
"80后音悦台","http://lhttp.qingting.fm/live/20207761/64k.mp3"
"90.7mixfm","https://lhttp.qingting.fm/live/15318146/64k.mp3"
"9527","https://stream.zeno.fm/ijdx5orz8wqvv"
"AikosRadio","https://stream.zeno.fm/7tlyb215x5xtv"
"AKB48 Lover","https://stream.zeno.fm/paxe8r07y98uv"
"Alxa Chinese Radio","http://lhttp.qingting.fm/live/5022521/64k.mp3"
"Alxa Mongolian Radio","http://lhttp.qingting.fm/live/5022555/64k.mp3"
"Anison动漫音乐台","http://pool.anison.fm:9000/AniSonFM(320)?"
"Asia Extreme FM","https://stream.zeno.fm/v4a0afms4awvv"
"AsiaFM 亚洲热歌台【2023.10.17】","http://hot.asiafm.net:8000/asiafm"
"AsiaFM 亚洲粤语台","https://lhttp.qtfm.cn/live/15318569/64k.mp3"
"AsiaFM亚洲天空台","https://lhttp.qingting.fm/live/20071/64k.mp3"
"AsiaFM亚洲经典台","https://lhttp.qingting.fm/live/5021912/64k.mp3"
"AsiaFM亚洲音乐台","https://lhttp.qingting.fm/live/4581/64k.mp3"
"AsiaFM郫都区综合广播","https://lhttp.qingting.fm/live/4581/64k.mp3?"
"Auto FM汽车联播网","https://lhttp.qtfm.cn/live/15318569/64k.mp3"
"Big B Radio - Cpop","https://antares.dribbcast.com/proxy/cpop?mp=/s"
"Big B Radio亚洲音乐台","https://antares.dribbcast.com/proxy/apop?mp=/s"
"Changchi News Radio","http://lhttp.qingting.fm/live/5021874/64k.mp3"
"Changchi Traffic Radio","http://lhttp.qingting.fm/live/5021851/64k.mp3"
"Chinese Classical Music Online Radio","https://radio.chinesemusicworld.com/chinesemusic.mp3"
"Chinese Music World","https://radio.chinesemusicworld.com/chinesemusic.mp3"
"Cinemix电影音乐频道","http://94.23.51.96:8001/"
"CityFM城市音乐台","https://lhttp.qtfm.cn/live/20500153/64k.mp3"
"club hot","https://stream.zeno.fm/189p85yqyhhvv"
"CNR-1 中国之声","https://lhttp.qtfm.cn/live/15318317/64k.mp3"
"CNR-3 音乐之声","http://antiserver.kuwo.cn/anti.s?rid=MUSIC_190038250&response=res&format=mp3|aac&type=convert_url&br=128kmp3&agent=iPhone&callback=getlink&jpcallback=getlink.mp3"
"CRI劲曲调频 HIT FM（成都）","http://lhttp.qingting.fm/live/15318703/64k.mp3"
"DLR-3 大连体育广播","https://lhttp.qingting.fm/live/1085/64k.mp3"
"DLR-5 大连少儿广播","https://lhttp.qtfm.cn/live/5022506/64k.mp3"
"DLR-5 大连音乐广播","https://lhttp.qingting.fm/live/1084/64k.mp3"
"FM100.8包河之声电台","https://lhttp.qtfm.cn/live/5022668/64k.mp3"
"FM101仙居融媒体广播","https://lhttp-hw.qtfm.cn/live/5021908/64k.mp3"
"FM102.3沧州凤凰都市广播（盐山县台）","https://lhttp.qingting.fm/live/5022536/64k.mp3"
"FM103.7 滑县广播电台","https://lhttp.qtfm.cn/live/20500195/64k.mp3"
"FM88888","https://stream.zeno.fm/r1tyr810fkhvv"
"FM89.8烟台汽车音乐广播","http://lhttp.qingting.fm/live/5022382/64k.mp3"
"Fm891线上音乐台","https://lhttp.qtfm.cn/live/20500215/64k.mp3"
"FM97 舟山交通音乐广播","https://lhttp.qingting.fm/live/1161/64k.mp3"
"FM98.6城市音乐广播·信都区融媒体中心","https://lhttp.qingting.fm/live/20500196/64k.mp3"
