"Name","URL"
" MAXIMA FM LINARES","https://stream.zeno.fm/bkeopmxykjmtv/type=mp3"
"40 Principales Colombia","https://playerservices.streamtheworld.com/api/livestream-redirect/%20LOS40_COLOMBIA.mp3"
"Achaguas Stereo 100.2 FM","https://stream.zeno.fm/hwyxc4zahyrtv"
"ACORD ANTIOQUIA RADIO","https://radio25.virtualtronics.com:20061/"
"Acuarela Estéreo 106.8 FM","https://stream.zeno.fm/y5rrhqgc468uv"
"Aires De Timbio FM 88.9 ""La Gente con la Radio""","https://stream.integracionvirtual.com/proxy/airesdetimbio?mp=/stream"
"Alfa Stereo 106.3 FM","https://radiolatina.info/8088/stream"
"Alfa Stereo 107.8 FM","http://stream.integracionvirtual.com:8114/autodj"
"Alternativa Radio","http://stream.zeno.fm/1kanvc5tfzzuv"
"Ambiente Stereo 88.4 FM","https://radio06.cehis.net:9036/stream"
"Ambiente stereo 88.5 FM","https://play8.tikast.com/proxy/ambiente?mp=/stream"
"America Stereo Relax","http://stream.zeno.fm/62twtv23sfeuv"
"Angelópolis Stereo 107.4 FM","https://stream.zeno.fm/8k5715rkh5zuv"
"ANGELUS STEREO 107.4","http://www.colombiaemite.com:10278/"
"Angular Stereo 97.2 FM","https://colombiawebs.com.co/proxy/juanpabl/stream"
"Antena de los Andes 1520 AM","https://radiolatina.live/9374/stream"
"Armonía stereo 90.1 FM","https://stream.zeno.fm/chd0a9r8f18uv"
"Aro Radio","http://62.210.38.137:8132/stream"
"Auténtica Estéreo 103.3 FM","https://stream.zeno.fm/gz23gkz38vzuv"
"Aviva2","https://stream.avivamientoradio.net/radio/8000/radio.mp3"
"Azúcar stereo 104.1 FM","http://www.colombiaemite.com:10282/"
"B Mor","http://streamingmediaradio.live/8086/stream"
"Bacana stereo 94.8 FM","http://www.colombiaemite.com:10210/stream"
"Bacatá Stereo 94.4 FM","http://radio25.virtualtronics.com:8356/"
"Balada FM Bogota ","http://stream.zeno.fm/4d2et4w314zuv"
"Baladas Románticas","http://stream.zeno.fm/y5ztkzpqhueuv"
"Baladas Rs","https://stream.zeno.fm/7ans8mgv2ehvv"
"Balboa Stereo 88.4 FM","http://stream.integracionvirtual.com:8010/live"
"Barrancabermeja Virtual","https://stream1.305stream.com/proxy/client322?mp=/stream"
"BB Radio Rock","http://streambbr.ir-media-tec.com/rock/mp3-128"
"BBC 80s","https://playerservices.streamtheworld.com/api/livestream-redirect/SAM03AAC226_SC?Bravo?Bogota?Colombia&80s"
"Besamé 1350 AM - 97.5 FM Ibagué ","https://radiohd.streaminghd.co:7345/stream"
"Bienvenida Estéreo","https://radio25.virtualtronics.com/proxy/bienvenida?mp=/stream"
"Blu Radio - Musica","https://playerservices.streamtheworld.com/api/livestream-redirect/MUSICABLU.mp3"
"Blu Radio, señal nacional (HJCK, 89.9 MHz FM, Bogotá / HJN42, 96.3 MHz, San Martín, Meta / HJH87, 103.1 MHz, Paipa, Boyacá / HJOM, 1090 KHz, Cartagena de Indias / HJM47 103.1 MHz, Algeciras, Huila / HJQ43, 94.1 MHz, Bugalagrande, Valle del Cauca)","http://playerservices.streamtheworld.com/m3u/BLURADIO.m3u"
"Bolche radio","http://stream.zeno.fm/hn61akk9up8uv"
"Brillante Stereo 88.4 FM","http://colombiaemite.com:10230/"
"Brisa FM 93.1","https://radio25.virtualtronics.com:20057/"
"Brisas del San Juan 106.3","https://virtualtronics.net/proxy/brisasdelsanjuan"
