"Name","URL"
"104.7 HIT","http://streams.y2kwebs.com:9310/stream/1/"
"1047hit","https://live.turadio.stream:7004/stream"
"95.5 Jazz ","https://streaming.radio.co/s36bd2a451/listen"
"Amor FM 93.9","https://player.hostingtico.com/proxy/8094"
"Amplify 95.5 FM","https://streams.radio.co/s7e8f19c33/listen"
"Bendiciendo Radio","http://infinityfm.radioca.st:9093/"
"Bésame Costa Rica - 89.9 FM - TIRB - Multimedios Radio - San José, Costa Rica","https://playerservices.streamtheworld.com/api/livestream-redirect/BESAME_CR_SC.mp3"
"Charanga Radio","https://radio.co.cr/listen/charanga/radio.mp3"
"CLUB DANCE MUSIC","https://stream.zeno.fm/5x4sda9kxtzuv"
"Columbia Estéreo 92.7 FM","https://s5.radio.co/sca838cc60/listen"
"Dabar","https://a1.asurahosting.com:8720/radio.mp3"
"Dabar Radio","https://a1.asurahosting.com:8720/radio.mp3/"
"Diay Radio","https://radio.co.cr/listen/radio/radio.mp3"
"Faro del Caribe 97.1 FM y 1080 AM","https://sp.unoredcdn.net/8032/stream"
"HIT La FM","https://radios.hitmedios.com/8002/stream"
"JAZZ 95.5 FM","https://streaming.radio.co/s36bd2a451/listen"
"Los 40 Principales Costa Rica","http://provisioning.streamtheworld.com/pls/LOS40_CR.pls"
"Mundo Rock Radio","https://as100.globalhost1.com/8046/stream"
"Planet 107.5","https://stream20.usastreams.com/8094/stream"
"Puerto Limón Radio","https://puertolimonradio-rowrigos.radioca.st/listen.pls?sid=1"
"Radio Casino","https://host.rowrigo.com/listen/radiocasino/radiocasino"
"Radio Casino 98.3FM","https://host.rowrigo.com/listen/radiocasino/radiocasino"
"Radio Disney Costa Rica","http://ic.streann.com:8000/disneycostarica"
"Radio Disney Costa Rica - 101.1 FM - San José, Costa Rica","https://ic.streann.com/disneycostarica"
"Radio Frecuencia Tierra","http://68.235.35.243:9008/stream"
"Radio Hit 104.7","https://live.turadio.stream:7004/stream?type=http&nocache=596"
"Radio María Costa Rica - 100.7 FM","http://dreamsiteradiocp2.com:8044/stream"
"Radio Mil Recuerdos Stereo","https://sechin.grupocentroserver.com/radio/8060/radio.mp3"
"Radio Musical 97.5","https://live.turadio.stream:7005/stream?type=http&nocache=596"
"Radio Nova CR","http://centova.hostingtico.com:8016/stream"
"Radio Platino","http://stream.zeno.fm/tet7d7sz2yzuv"
"Radio Revolución","https://stream.zeno.fm/ftcx2988uwzuv"
"Radio Sinfonola 90.3FM","http://streams.y2kwebs.com:9972/"
"Radio Spectro","https://stream20.usastreams.com/8090/stream"
"Tamarindo Radio","http://s1.voscast.com:11392/stream"
"Tiquicia Rock","https://usa19.fastcast4u.com:5860/?type=http&nocache=1690470873"
