"Name","URL"
"AFN 360 Guantanamo Bay","http://playerservices.streamtheworld.com/m3u/AFNE_GMO.m3u"
"Canal Radio 64Kb Cruces Cienfuegos ","https://stream.zeno.fm/ktfyf1jfkzsuv"
"Canal Radio Cruces Cienfuegos ","https://stream.laut.fm/canalradio"
"CMBF - Radio Musical Nacional","https://icecast.teveo.cu/Nbtz7HT3"
"CMHS Radio Caibarien(Villa Clara)","https://icecast.teveo.cu/srJ4vqkv"
"CMKC Digital - Santiago de Cuba","https://icecast.teveo.cu/C9vVPN7h"
"CMKO Radio Angulo","https://icecast.teveo.cu/hmVcdgM7"
"CMKS Radio Trinchera Antimperialista","https://icecast.teveo.cu/Csb3zdfv"
"CMLL Radio Victoria (Las Tunas)","https://icecast.teveo.cu/P77NJX4X"
"Cuban Flow Radio","http://nap.casthost.net:9194/stream.mp3"
"CubanFlow Radio","http://nap.casthost.net:9194/"
"Emisora de Radio ""ATodaMecha""","https://stream.zeno.fm/gjexooyemj3uv"
"Hostal Azul Radio ","https://stream.zeno.fm/b4m2tic2ibbtv"
"Prensa Latina","https://cdn4.onstream.audio:9267/stream"
"Prensa Latina - Agencia Informativa Latinoamericana","https://cdn4.onstream.audio:9267/stream?download=false"
"Radio 26","https://icecast.teveo.cu/LsxKNz7b"
"Radio Arimao CMEM (Villa Clara)","https://icecast.teveo.cu/4fNcwkpC"
"Radio Cadena Agramonte","https://icecast.teveo.cu/j99xztkT"
"Radio Caribe CMBN

Isla de la Juventud ","https://icecast.teveo.cu/dXhtHs4P"
"Radio Caster","https://stream.laut.fm/canalradio"
"Radio Ciudad Bandera ","https://icecast.teveo.cu/dn9JTKtH"
"Radio Ciudad del Mar","https://icecast.teveo.cu/CL7jRXqn"
"Radio Coco","https://icecast.teveo.cu/fvc4RVRz"
"Radio COCO","https://icecast.teveo.cu/fvc4RVRz"
"Radio Cubitas","https://icecast.teveo.cu/FRKq3RTV"
"Radio Enciclopedia","https://icecast.teveo.cu/9Rnrbjzq"
"Radio Estéreo Centro","https://icecast.teveo.cu/mHFR9zFb"
"Radio Granma","https://icecast.teveo.cu/9RLhkmRH"
"Radio guamá","https://icecast.teveo.cu/ngcdcV3k"
"Radio Habana Cuba","https://icecast.teveo.cu/McW3fLhs"
"Radio Habana Cuba - RHC","https://icecast.teveo.cu/McW3fLhs"
"Radio Holguín ","https://icecast.teveo.cu/dn9JTKtH"
"Radio Holguin La Nueva CMKE","https://icecast.teveo.cu/dn9JTKtH"
"Radio Libertad","https://icecast.teveo.cu/kcLKb4qv"
"Radio Llanura de Colón CMDQ	 Matanzas (Colon)","https://icecast.teveo.cu/sjcNk3Jb"
"Radio María de la Caridad","https://stream.zeno.fm/5rul798y3xatv"
"Radio Metropolitana","https://icecast.teveo.cu/ktW3mW74"
"Radio Nuevitas","https://icecast.teveo.cu/9VVnwcww"
"Radio Progreso","https://icecast.teveo.cu/XjfW7qWN"
"Radio Rebelde - AM ","https://icecast.teveo.cu/kHKL7tWd"
"Radio Rebelde - FM","https://icecast.teveo.cu/zrXXWK9F"
"Radio Rebelde (AM)","https://icecast.teveo.cu/kHKL7tWd"
"Radio Rebelde (FM)","https://icecast.teveo.cu/zrXXWK9F"
"Radio rebelde am","https://icecast.teveo.cu/zrXXWK9F"
"Radio Rebelde AM Cuba","https://icecast.teveo.cu/kHKL7tWd"
"Radio Rebelde FM Cuba","https://icecast.teveo.cu/zrXXWK9F"
"Radio Revolucion","https://icecast.teveo.cu/C9vVPN7h"
"Radio Sagua (Villa Clara)","https://icecast.teveo.cu/wHm3qrMx"
"Radio Sancti Spiritus","https://icecast.teveo.cu/NqWrgw7j"
"Radio Victoria CMLL (Las Tunas)","https://icecast.teveo.cu/P77NJX4X"
