"Name","URL"
"DIRECT 92.1FM","https://s9.voscast.com:7369/921fm"
"Direct Life 92.1 FM","https://s9.voscast.com:7369/921fm"
"Dolfijn FM","http://85.214.231.253:8080/"
"Dolfijn FM 97.3 Seaquarium Beach","http://85.214.231.253:8080/stream.mp3"
"Easy 97.9 FM","http://64.150.176.42:8011/live"
"Easy FM 79.9","http://64.150.176.42:8011/live"
"HITradio 915 Curacao","http://stream.paradisefm.cw/HITradio915"
"Paradise FM 00's & 10's","https://stream.paradisefm.cw/00s10s"
"Paradise FM 103.1 Curacao","http://stream.paradisefm.cw/ParadiseFM"
"Paradise FM 60s & 70s","https://stream.paradisefm.cw/60s70s"
"Paradise FM 80's & 90's","https://stream.paradisefm.cw/80s90s"
"Paradise FM Disco Inferno","https://stream.paradisefm.cw/ParadiseDiscoInferno"
"Paradise FM Latin","https://stream.paradisefm.cw/ParadiseLatin"
"Paradise FM Nonstop","https://stream.paradisefm.cw/ParadiseNonstop"
"Radio 94 Korsou - 94.5 Willemstad","http://162.243.94.61:8028/stream.mp3"
"Radio Active 104.5 FM","https://kadushi.westream.cloud/listen/radioactive/RadioActive"
"Radio Deltha 92.7 FM","https://kadushi.westream.cloud/listen/delta/live"
"Radio Direct 107.1FM","https://edge1.direct107.com/?type=http&nocache=28"
"Radio Hoyer 1 101.9","https://s1.voscast.com:10487/live"
"Radio Hoyer 2 105.1","https://s1.voscast.com:10489/live"
"Radio Mas 99.7 FM","https://kadushi.westream.cloud/listen/mas99/live"
"Radio Semiya 98.5 FM","http://11331.cloudrad.io:9172/"
"radio semiya FM 98.5","http://11331.cloudrad.io:9172/live"
