"Name","URL"
"Active 107.4","https://securestreams3.autopo.st:1417/active"
"Astra 92,8","https://securestreams2.autopo.st:1106/stream"
"BitrRcord","https://c10.radioboss.fm:18095/stream"
"Chillout Breeze","https://listen.radionomy.com/chilloutbreeze"
"Cool Radio 91.6 ","http://live3.istoikona.net/stream/cooleradio/stream.pls"
"Diesi Cyprus 101.1","http://r1.cloudskep.com/radio/diesi/icecast.audio"
"Hit FM Cyprus","http://www.hitfmcyprus.com/hitfm_web.php"
"Kanali6 (106.00 | 98.6 | 107.00 | 106.9) Lemesos Cyprus Alternative Stream","http://live3.istoikona.net:8372/stream/2/Title1=Kanali"
"KISS FM 89.0 - 88.5","https://securestreams3.autopo.st:1417/89FM"
"Kiss fm Cyprus 89.0","http://r1.phileradio.com:8193/89FM"
"Klik FM - Paphos","http://eco.onestreaming.com:8310/"
"Lemoni Radio","http://stream.radiojar.com/mw1xsf0dpnruv.mp3"
"Lugaradio","http://91.200.41.23:8000/192.mp3"
"Mix4.me uplifitng trance web radio","https://s9.webradio-hosting.com/proxy/mix4me/stream"
"MixFM Cyprus","https://link.radiojar.com/c27wx6pdh8vtv"
"NJOY Radio","https://stream.radiojar.com/mg7kftnzka3vv"
"Politis 107.6 FM","https://cdn.istoikona.com/politis/live/icecast.audio"
"Radio Proto","https://live3.istoikona.net:18191/stream"
"Radio Sfera 102.2","https://securestreams3.autopo.st:1417/sfera"
"Rock FM Cyprus","https://live3.istoikona.net/proxy/rockfm/stream"
"Sport FM Cyprus","http://sportfm-cyprus.live24.gr/sportfm-cyprus"
"SUPER FM 104.8","http://eco.onestreaming.com:8175/"
"Super Sport FM","https://r1.cloudskep.com/radio3/supersportfm/icecast.audio"
"Super Sport FM 104.0","https://r1.cloudskep.com/radio3/supersportfm/icecast.audio"
"SuperFM Cyprus","https://live3.istoikona.net:18826/stream"
"VIVA FM 104.3","https://stream1.themediasite.co.uk/8060/stream"
"Zenith","https://live3.istoikona.net:9836/stream"
"Zucca Radio","http://95.217.120.122/"
"Ι.Μ. Λεμεσού","http://93.109.209.123:9080/stream.mp3"
"Ναυάγιο","https://radio-navagio.com/stream"
"Ο Αληθινός Λόγος 93.3 Λευκωσία - Ιερά Αρχιεπισκοπή Κύπρου","http://r1.cloudskep.com/radio/agiosdemetrios/icecast.audio"
"Ράδιο Άγιος Δημήτριος Ακροπόλεως - Κύπρος 93.3","http://eco.onestreaming.com:8474/"
"РУССКОЕ РАДИО КИПР","https://stream.veblot.net/proxy/russianradio/stream/"
"塞浦路斯中文广播","https://cdn.istoikona.com/ccnradio/ccnradio/icecast.audio"
