"Name","URL"
"ABradio Chillout","http://mp3stream4.abradio.cz/chillout128.mp3"
"Azadlıq Radiosu (RFE/RL in Azerbaijani, ch. 15)","http://rfe15.akacast.akamaistream.net/7/897/437773/v1/ibb.akacast.akamaistream.net/rfe15.m3u"
"Azat Ýewropa/Azatlyk Radiosy (RFE/RL in Turkmen, ch. 8)","http://rfe08.akacast.akamaistream.net/7/521/437766/v1/ibb.akacast.akamaistream.net/rfe08.m3u"
"Black Hornet Radio","http://icecast2.play.cz/bhradio-192.mp3"
"Český Impuls","http://icecast6.play.cz/cesky-impuls.mp3"
"Český rozhlas BRNO","https://rozhlas.stream/brno_mp3_128.mp3"
"Český rozhlas Brno","https://rozhlas.stream/brno.mp3"
"Český rozhlas Rádio Junior","https://api.play.cz/radio/crojuniormaxi128.mp3.m3u"
"Český rozhlas ZLÍN ","https://rozhlas.stream/zlin_mp3_128.mp3"
"City FM","http://ice.abradio.cz/cityfm128.mp3"
"City Milenium","http://ice.abradio.cz:8000/citymi128.mp3"
"Classic Praha","http://icecast8.play.cz/classic128.mp3"
"COLOR Music Radio","https://icecast8.play.cz/color128.mp3"
"Color Music Radio","http://sc.ipip.cz:8206/stream"
"Comedy Club R@dio DIANA","https://westradio.cz/radio/8010/radio.mp3"
"COOP TIP Radio","http://mp3stream4.abradio.cz:8000/coop128.mp3"
"Country Radio","http://icecast4.play.cz/country128.mp3"
"County","http://icecast4.play.cz/country128.mp3"
"ČRo Dvojka","http://icecast6.play.cz/cro2-128.mp3"
"ČRO Jazz 256","https://api.play.cz/radio/crojazz256.mp3.m3u"
"ČRo Plus","https://rozhlas.stream/plus_mp3_128.mp3"
"ČRo Pohoda","https://rozhlas.stream/pohoda_mp3_128.mp3"
"ČRo Radiožurnál","http://icecast8.play.cz/cro1-128.mp3"
"čro Radiožurnál Sport AdHoc stream 1","https://rozhlas.stream/radiozurnal_sport_adhoc_1_high.mp3"
"ČRO Radiožurnál sport AdHoc stream 2","https://rozhlas.stream/radiozurnal_sport_adhoc_2_high.mp3"
"ČRO Radiožurnál sport Adhoc stream 2","http://rozhlas.stream/radiozurnal_sport_adhoc_2_high.mp3"
"čro radiožurnál sport Stream AdHoc 2","https://rozhlas.stream/radiozurnal_sport_adhoc_2_high.mp3"
"ČRo Sever","https://rozhlas.stream/sever_mp3_128.mp3"
"ČRo Vltava","http://icecast5.play.cz/cro3-128.mp3"
"ČRo Wave","https://rozhlas.stream/wave_mp3_128.mp3"
"Dance Club FM","http://mp3stream4.abradio.cz/dance128.mp3"
"Dance Club Radio","https://ice4.abradio.cz/dance128.mp3"
"Dance Radio","http://ice.actve.net/dance-radio320.mp3"
"Dance rádio cz","https://ice.actve.net/dance-radio128.mp3"
"Dandy Radio","http://88.99.25.114:8022/stream"
"ELLIS","http://stream.laut.fm/ellis"
"ENERGIC","https://icecast9.play.cz/energic.mp3"
"Europa Liberă (RFE/RL for Moldova, ch. 18)","http://rfe18.akacast.akamaistream.net/7/886/437776/v1/ibb.akacast.akamaistream.net/rfe18.m3u"
"Evropa 2 - Actve","https://ice.actve.net/fm-evropa2-128"
