"Name","URL"
"	psyradio * fm - progressive","http://streamer.psyradio.org:8010/listen.mp3"
"	WDR Sportschau - 2. Fussball Bundesliga-Konferenz LIVE","http://wdr-sportschau-liga2konferenz.icecastssl.wdr.de/wdr/sportschau/liga2konferenz/mp3/high"
" 	ROCKANTENNE Alternative (mp3)","https://stream.rockantenne.de/alternative/stream/mp3"
" - 100 % - HANDSUP <3 - Non-stop 140 BPM","https://club-high.rautemusik.fm/?ref=radiobrowser-100-handsup"
" Bremen Zwei NEU","https://icecast.radiobremen.de/rb/bremenzwei/live/mp3/128/stream.mp3"
" Techno Lovers FM Vocal Trance","https://stream.technolovers.fm/vocal-trance"
"__12PUNKS.FM__ by rautemusik (rm.fm)","https://12punks-high.rautemusik.fm/?ref=radiobrowser"
"__80S__ by rautemusik (rm.fm)","https://80s-high.rautemusik.fm/?ref=radiobrowser"
"__90S__ by rautemusik (rm.fm)","https://90s-high.rautemusik.fm/?ref=radiobrowser"
"__BASS__ by rautemusik (rm.fm)","https://bass-high.rautemusik.fm/?ref=radiobrowser"
"__BEST OF SCHLAGER__ by rautemusik (rm.fm)","https://best-of-schlager-high.rautemusik.fm/?ref=radiobrowser"
"__BIGCITYBEATS.FM__ by rautemusik (rm.fm)","https://stream.bigcitybeats.de/bcb-radio/mp3-192/radiobrowser"
"__BREAKZ.FM__ by rautemusik (rm.fm)","https://breakz-high.rautemusik.fm/?ref=radiobrowser"
"__BREAKZ.FM__ by rm.fm (rautemusik)","https://breakz-high.rautemusik.fm/?ref=radiobrowserinfo"
"__CHARTHITS.FM__ by rautemusik (rm.fm)","https://charthits-high.rautemusik.fm/?ref=radiobrowser"
"__CHRISTMAS CHOR__ by rautemusik (rm.fm)","https://christmas-chor-high.rautemusik.fm/?ref=radiobrowser"
"__CHRISTMAS SCHLAGER__ by rautemusik (rm.fm)","https://christmas-schlager-high.rautemusik.fm/?ref=radiobrowser"
"__CLUB__ by rautemusik (rm.fm)","https://club-high.rautemusik.fm/?ref=radiobrowser"
"__COUNTRYHITS.FM__ by rautemusik (rm.fm)","https://country-high.rautemusik.fm/?ref=radiobrowser"
"__DEUTSCHE HITS__ by rautemusik (rm.fm)","https://deutsche-hits-high.rautemusik.fm/?ref=radiobrowser"
"__DEUTSCHRAP CHARTS__ by rautemusik (rm.fm)","https://deutschrap-charts-high.rautemusik.fm/?ref=radiobrowser"
"__DEUTSCHRAP CLASSIC__ by rautemusik (rm.fm)","https://deutschrap-classic-high.rautemusik.fm/?ref=radiobrowser"
"__DEUTSCHRAP__ by rautemusik (rm.fm)","https://deutschrap-high.rautemusik.fm/?ref=radiobrowser"
"__GOLDIES__ by rautemusik (rm.fm)","https://goldies-high.rautemusik.fm/?ref=radiobrowser"
"__HAPPY HARDCORE__ by rautemusik (rm.fm)","https://happyhardcore-high.rautemusik.fm/?ref=radiobrowser"
"__HAPPY__ by rautemusik (rm.fm)","https://happy-high.rautemusik.fm/?ref=radiobrowser"
"__HARDER__ by rautemusik (rm.fm)","https://harder-high.rautemusik.fm/?ref=radiobrowser"
"__HOUSE__ by rautemusik (rm.fm)","https://house-high.rautemusik.fm/?ref=radiobrowser"
"__JAM__ by rautemusik (rm.fm)","https://jam-high.rautemusik.fm/?ref=radiobrowser"
"__KARNEVAL__ by rautemusik (rm.fm)","https://karneval-high.rautemusik.fm/?ref=radiobrowser"
"__KLASSIK__ by rautemusik (rm.fm)","https://klassik-high.rautemusik.fm/?ref=radiobrowser"
"__KRASSE WEIHNACHTEN__ by rautemusik (rm.fm)","https://weihnachten-high.rautemusik.fm/?ref=radiobrowser"
"__LOUNGE__ by rautemusik (rm.fm)","https://lounge-high.rautemusik.fm/?ref=radiobrowser"
"__LOVEHITS__ by rautemusik (rm.fm)","https://lovehits-high.rautemusik.fm/?ref=radiobrowser"
"__MAIN__ by rautemusik (rm.fm)","https://main-high.rautemusik.fm/?ref=radiobrowser"
"__ORIENTAL__ by rautemusik (rm.fm)","https://oriental-high.rautemusik.fm/?ref=radiobrowser"
"__PARTYHITS__ by rautemusik (rm.fm)","https://partyhits-high.rautemusik.fm/?ref=radiobrowser"
"__ROCK__ by rautemusik (rm.fm)","https://rock-high.rautemusik.fm/?ref=radiobrowser"
"__SALSA__ by rautemusik (rm.fm)","https://salsa-high.rautemusik.fm/?ref=radiobrowser"
"__SCHLAGER OLDIES__ by rautemusik (rm.fm)","https://schlager-oldies-high.rautemusik.fm/?ref=radiobrowser"
"__SCHLAGERRADIO.FM__ by rautemusik (rm.fm)","https://schlager-high.rautemusik.fm/?ref=radiobrowser"
"__SEX__ by rautemusik (rm.fm)","https://sex-high.rautemusik.fm/?ref=radiobrowser"
"__SHREDDED__ by RauteMusik (rm.fm)","https://streams.rautemusik.fm/shredded/mp3-192/stream.mp3"
"__SOLOPIANO__ by rautemusik (rm.fm)","https://solopiano-high.rautemusik.fm/?ref=radiobrowser"
"__STUDY__ by rautemusik (rm.fm)","https://study-high.rautemusik.fm/?ref=radiobrowser"
"__TECHHOUSE__ by rautemusik (rm.fm)","https://techhouse-high.rautemusik.fm/?ref=radiobrowser"
"__TECHNO__ by rautemusik.fm","https://streams.rautemusik.fm/techno/mp3-192/?ref=radiobrowser"
"__THE CHRISTMAS CHANNEL__ by rautemusik (rm.fm)","https://christmas-high.rautemusik.fm/?ref=radiobrowser"
"__TOP40__ by rautemusik (rm.fm)","https://top40-high.rautemusik.fm/?ref=radiobrowser"
"__TRANCE__ by rautemusik (rm.fm)","https://trance-high.rautemusik.fm/?ref=radiobrowser"
"__TRAP__ by rautemusik (rm.fm)","https://trap-high.rautemusik.fm/?ref=radiobrowser"
"__TRAURIG__ by rautemusik (rm.fm)","https://traurig-high.rautemusik.fm/?ref=radiobrowser"
"__VOLKSMUSIK.FM__ by rautemusik (rm.fm)","https://volksmusik-high.rautemusik.fm/?ref=radiobrowser"
"__WACKENRADIO__ by rautemusik (rm.fm)","https://wackenradio-high.rautemusik.fm/?ref=radiobrowser"
"__WORKOUT__ by rautemusik (rm.fm)","https://workout-high.rautemusik.fm/?ref=radiobrowser"
"_BEST REMIXES_ Your HipHop - RnB - Latin - House - EDM Radio","https://mixtapes.superstreams.de/"
"_DEEJAY REMIXE_ Your Radio for finest House, EDM, Electro, Dance, Mashup, Hypertechno, Techno, Bootleg, Charts, Top40, Chillout, Lounge, HipHop, Urban & Latin Party DJ Remixes!","https://breakz-high.rautemusik.fm/?ref=radiobrowser-deejay-remixes-radio"
"- 0 N - 2000s on Radio","https://0n-2000s.radionetz.de/0n-2000s.mp3"
"- 0 N - 2010s on Radio","https://0n-2010s.radionetz.de/0n-2010s.mp3"
"- 0 N - 50s on Radio","https://0n-50s.radionetz.de/0n-50s.mp3"
"- 0 N - 60s on Radio","https://0n-60s.radionetz.de/0n-60s.mp3"
"- 0 N - 70s on Radio","https://0n-70s.radionetz.de/0n-70s.mp3"
"- 0 N - 80s on Radio","https://0n-80s.radionetz.de/0n-80s.mp3"
"- 0 N - 90s on Radio","https://0n-90s.radionetz.de/0n-90s.mp3"
"- 0 N - Black on Radio","https://0n-black.radionetz.de/0n-black.mp3"
"- 0 N - Blues on Radio","https://0n-blues.radionetz.de/0n-blues.mp3"
"- 0 N - Charts on Radio","https://0n-charts.radionetz.de/0n-charts.mp3"
"- 0 N - Chillout on Radio","https://0n-chillout.radionetz.de/0n-chillout.mp3"
"- 0 N - Christmas on Radio","https://0n-christmas.radionetz.de/0n-christmas.mp3"
"- 0 N - Classic Rock on Radio","https://0n-classicrock.radionetz.de/0n-classicrock.mp3"
"- 0 N - Country on Radio","https://0n-country.radionetz.de/0n-country.mp3"
"- 0 N - Dance on Radio","https://0n-dance.radionetz.de/0n-dance.mp3"
"- 0 N - Deutsch Pop on Radio","https://0n-deutschpop.radionetz.de/0n-deutschpop.mp3"
