"Name","URL"
"100% Kim Larsen","http://stream2.wlmm.dk/kimlarsenmp3"
"2town Radio","http://streaming.radio.co/sd9d980ff0/listen"
"902 FM","http://s38.myradiostream.com:8598/.mp3"
"Alfa Gold","https://radioserver.dk/alfaevent"
"Always Elvis Radio","http://radioserver.dk/alwayselvisradio"
"Always ELVIS Radio","https://radioserver.dk/alwayselvisradio"
"ANR","http://stream.anr.dk/anr"
"Arctic Outpost Radio","https://radio.streemlion.com:3715/stream"
"Classic Dance [DK]","https://stream.classicpop.dk/dance"
"Classic FM","http://webradio.classicfm.dk/classichorsens"
"Classic FM (Fyn)","https://netradio.classicfm.dk/cla12a"
"Classic POP [DK]","https://stream.classicpop.dk/stream"
"Classic Pop 90'er Hits [DK]","https://stream.classicpop.dk/event"
"Classic Rock Danmark","https://netradio.classicfm.dk/classicrock"
"Classic.fm","http://netradio.classicfm.dk/cla8d"
"Danmarks Radio P2","https://live-icy.dr.dk/A/A27L.mp3"
"Danmarks Radio p2","https://live-icy.dr.dk/A/A04L.mp3"
"Danmarks Radio P4; Trekanten","http://live-icy.gss.dr.dk/A/A13H.mp3.m3u"
"Danmarks Radio P6","https://live-icy.dr.dk/A/A29H.mp3"
"Dansktop Kanalen","https://netradio.classicfm.dk/dansktop"
"Det Rigtige Faaborg","http://stream2.wlmm.dk/detrigtigefaaborg"
"DFM Radio Television International","http://stereo.dfm.nu:8205/dfm_1"
"Din Radio","http://stream.wlmm.dk/DinRadiomp3"
"DR 6 Beat","http://live-icy.gss.dr.dk:8000/A/A29H.mp3"
"DR Nyheder","http://live-icy.gss.dr.dk/A/A02L.mp3.m3u"
"DR P1","http://live-icy.gss.dr.dk/A/A03H.mp3"
"DR P2","http://live-icy.gss.dr.dk/A/A04H.mp3.m3u"
"DR P3","http://live-icy.gss.dr.dk:8000/A/A05H.mp3"
"DR P4 Bornholm","https://live-icy.dr.dk/A/A30H.mp3"
"DR P4 Esbjerg","http://live-icy.gss.dr.dk/A/A15H.mp3"
"DR P4 Fyn","http://live-icy.gss.dr.dk:8000/A/A07H.mp3"
"DR p4 København","http://live-icy.gss.dr.dk/A/A08H.mp3"
"DR P4 København","http://live-icy.gss.dr.dk/A/A08H.mp3.m3u"
"DR P4 København (MP3)","http://live-icy.dr.dk/A/A08H.mp3"
"DR P4 Midt & Vest","http://live-icy.gss.dr.dk/A/A09H.mp3.m3u"
"DR P4 Midt/Vest","http://live-icy.gss.dr.dk/A/A09H.mp3"
"DR P4 Nordjylland","http://live-icy.dr.dk/A/A10H.mp3.m3u"
"DR P4 Østjylland","http://live-icy.gss.dr.dk:8000/A/A14H.mp3"
"DR P4 Østjyllands Radio","http://live-icy.gss.dr.dk/A/A14H.mp3.m3u"
"DR P4 Sjælland","http://live-icy.gss.dr.dk:8000/A/A11H.mp3"
"DR P4 Syd","http://live-icy.gss.dr.dk/A/A12H.mp3"
"DR P4 Trekanten","http://live-icy.gss.dr.dk:8000/A/A13H.mp3"
"DR P5","http://live-icy.gss.dr.dk/A/A25H.mp3.m3u"
"DR P5 Bornholm","https://live-icy.dr.dk/A/A30H.mp3"
"DR P5 Esbjerg","https://live-icy.dr.dk/A/A26H.mp3"
"DR P5 Fyn","https://live-icy.dr.dk/A/A02H.mp3"
"DR P5 Midt/Vest","https://live-icy.dr.dk/A/A17H.mp3"
"DR P5 Østjylland","https://live-icy.dr.dk/A/A24H.mp3"
"DR P5 Trekanten","http://live-icy.gss.dr.dk/A/A23H.mp3.m3u"
"DR P6 Beat","http://live-icy.gss.dr.dk/A/A29H.mp3"
"DR P6 BEAT","http://live-icy.gss.dr.dk/A/A29H.mp3.m3u"
"DR P8 JAZZ","http://live-icy.gss.dr.dk/A/A22H.mp3.m3u"
"DR P8 Jazz","http://live-icy.gss.dr.dk/A/A22H.mp3"
"DR Ramasjang/Ultra Radio","http://live-icy.gss.dr.dk/A/A24H.mp3"
"DRR","http://radioserver.dk/abc"
"Esbjerg Classic FM","https://webradio.classicfm.dk/classicvejle"
"FemernFM","https://cast1.asurahosting.com/proxy/femernfm/stream"
"Globus Guld","http://stream.wlmm.dk/listen.pls?sid=1"
"Globus Guld Jul","https://stream.probroadcast.dk/guldjul"
"Globus Guld Kolding","http://media.wlmm.dk:8000/guldkolding"
"Globus Guld Tonder","http://media.wlmm.dk:8000/guldtoender"
"GLR - Gentofte Lokal Radio","https://live-bauerdk.sharp-stream.com/thevoice_dk_mp3"
"go!FM","https://radioserver.dk/gofm"
"Jazzkanalen","http://ca6.rcast.net:4058/stream"
"København Jazz Radio ","https://asima.out.airtime.pro:8000/radiojazzcopenhagen_a"
"Limfjord Mix","https://media.limfjordnetradio.dk/limfjord128"
"Limfjord Plus","http://media.limfjordnetradio.dk/plus128"
"Limfjord Plus Slager","http://media.limfjordnetradio.dk/plusslager128"
"Lumi Radio","http://stream2.wlmm.dk/syddanmark.m3u"
"Midtfjord Radio / Radio Nibenitten","http://stream.midtfjordradio.dk/netradio"
"Mix FM Gribskov, Retro Nord","https://netradio.mixfm.dk/stream"
"Musaiko ","http://fluo.muzaiko.saluton.dk:8000/radio.mp3"
"myROCK","https://live-bauerdk.sharp-stream.com/myrock_dk_mp3"
"nordic lodge copenhagen","http://radio.streemlion.com:1160/stream"
"Nordsjællands Kristne Radio","http://studie.hkr.dk:8000/stream.mp3"
"Norea Radio","http://radio.norea.dk:8080/"
"Nova","http://live-bauerdk.sharp-stream.com/nova128.mp3"
"NOVA - Horsens 103.6 FM","https://live-bauerdk.sharp-stream.com/nova_dk_mp3"
"Nova FM","https://live-bauerdk.sharp-stream.com/nova_dk_mp3"
"Party Fm","http://stream1.partyfm.dk/Party320"
"Partyfm ","http://stream1.partyfm.dk/Party320"
"PartyFM","http://stream.partyfm.dk/Party320/"
"POP FM DK","http://live-bauerdk.sharp-stream.com/popfm128.mp3"
"Psyradio - Chillout","http://komplex2.psyradio.org:8020/chillout/"
"Radio 100","https://live-bauerdk.sharp-stream.com/radio100_dk_mp3"
"Radio 40plus","http://stream.radiosolutions.dk/radio40plus"
"Radio ABC","http://netradio.radioabc.dk/"
"Radio Alfa","https://radioserver.dk/alfa"
"Radio Alfa - Gold","https://radioserver.dk/alfaevent"
"Radio Alfa Aarhus","https://radioserver.dk/alfaaarhus"
"Radio Alfa Midtjylland","https://radioserver.dk/alfamidt"
"Radio Alfa Silkeborg","https://radioserver.dk/alfasilk"
"Radio Alfa Skive","https://radioserver.dk/alfaskive"
"Radio Alfa Viborg","https://radioserver.dk/alfaviborg"
"Radio ALR","http://streamer.radio.co/s6a9beb92e/listen"
"Radio Boost","http://6434.cloudrad.io:8066/"
"Radio Denmark FM","https://live-bauerdk.sharp-stream.com/radio100_dk_mp3"
"Radio Diablo","https://icecast1.radiostuff.dk/Diablo128"
"Radio Fasanen Frederiksberg","https://c14.radioboss.fm:18228/stream"
"Radio Folk","http://stream.radiojar.com/fqt2y0ds97zuv"
"Radio Freja","http://solid67.streamupsolutions.com:15507/stream"
"Radio Globus","https://stream.probroadcast.dk/radioglobus"
"Radio Haderslev ","http://media.wlmm.dk/radiohaderslevmp3"
"Radio Helsingør FM","https://stream.radiohelsingor.dk/rh"
"Radio Humleborg","https://stream2.rcast.net/64145"
"Radio IIII","https://netradio.radio4.dk/radio4"
"Radio Klitholm","http://stream.radioklitholm.dk:8000/stream"
"Radio Klitholm - Det Ny Kanal 1","http://stream.radioklitholm.dk:8000/stream"
"Radio Koge","http://stream.wlmm.dk/stream/53/"
"Radio Limfjord","http://media.limfjordnetradio.dk/limfjord128"
"Radio M","https://radioserver.dk/radiom"
"Radio Mælkebøtten","http://live2.rcast.net:8722/stream"
"Radio MB","http://live2.rcast.net:8722/stream"
"Radio MFK","https://stream1.radiomfk.dk/radiomfk"
"Radio Midtsjælland","http://player.radiomidt.dk/broadwave.mp3"
"Radio Nord","http://netradio.radionord.dk:8000/RadioNord"
"Radio Nordjyske","http://stream.anr.dk/nordjyske"
"Radio Odsherred","http://87.104.40.139:88/broadwave.mp3"
"Radio Ost FM","http://stream.wlmm.dk/oestfmmp3"
"Radio Østsjælland Rollo","http://stream.radiosolutions.dk/rollo"
"Radio Playback","https://stream02.radioplayback.dk/stream"
"Radio Ringkøbing","http://netradio.radioringkobing.dk:8000/"
"Radio Rollo","http://stream.radiosolutions.dk/rollo"
"Radio SLR","http://stream.wlmm.dk/stream/54/"
"Radio Soft","http://tx-bauerdk.sharp-stream.com/http_live.php?i=radiosoft_dk_mp3"
