"Name","URL"
". إذاعة ماهر المعيقلي ","https://backup.qurango.net/radio/maher"
"..مختصر التفسير ","https://qurango.net/radio/mukhtasartafsir"
".القارئ محمد أيوب ","https://qurango.net/radio/mohammed_ayyub"
".صور من حياة الصحابة","https://qurango.net/radio/sahabah"
".مختصر السيرة ","https://qurango.net/radio/almukhtasar_fi_alsiyra"
"109.0 FM Christmas Kids","http://stream.dar.fm/97821"
"15-Tizi-Ouzou","https://webradio.tda.dz/TiziOuzou_64K.mp3"
"A ntinea Radio","https://listen.radioking.com/radio/6640/stream/347"
"al quran radio ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"Alger Chaine 3","https://webradio.tda.dz/Chaine3_64K.mp3"
"Antinea Radio","https://listen.radioking.com/radio/6640/stream/347"
"beautiful recitation ","https://qurango.net/radio/salma"
"Beur FM","https://beurfm.ice.infomaniak.ch/beurfm-high.mp3"
"chaine 1","https://webradio.tda.dz/Chaine1_64K.mp3"
"Chaine 1","https://webradio.tda.dz/Chaine1_64K.mp3"
"Chaine 3","https://webradio.tda.dz/Chaine3_64K.mp3"
"Chane1","https://webradio.tda.dz/Chaine1_64K.mp3"
"CHLEF","https://webradio.tda.dz/Chlef_64K.mp3"
"CORAN ALGERIA","https://webradio.tda.dz/Coran_64K.mp3"
"CULTURE ","https://webradio.tda.dz/Culture_64K.mp3"
"curan saudi","http://stream.radiojar.com/0tpy1h0kxtzuv"
"El Bahdja","https://webradio.tda.dz/ElBahdja_64K.mp3"
"el bahdja fm","http://webradio.tda.dz:8001/ElBahdja_64K.mp3"
"el_bahdja","https://webradio.tda.dz/ElBahdja_64K.mp3"
"France Maghreb 2","https://francemaghreb2.ice.infomaniak.ch/francemaghreb2-high.mp3"
"ghardaia","https://webradio.tda.dz/Ghardaia_64K.mp3"
"GHELIZAN","https://webradio.tda.dz/Relizan_64K.mp3"
"GhorbaDz","https://stream-150.zeno.fm/y9rchc1djgavv?zs=bcPxFTkWTZOhirTC49uQiQ"
"Hits 1 Algérie","https://radio12.pro-fhi.net/listen/whmnrlow/stream"
"Hits1 Algérie","https://player.mc.hits1radio.com/"
"jil Fm dz","https://webradio.tda.dz/Jeunesse_64K.mp3"
"JOW Radio","https://str0.creacast.com/jowradio"
"Jow Radio","https://ice.creacast.com/jowradio"
"ORAN","https://webradio.tda.dz/Oran_64K.mp3"
"Radio Algérienne Chaine 3","https://webradio.tda.dz/Chaine3_64K.mp3"
"Radio Bichou","https://ice.creacast.com/jowradio-rai"
"Radio Blida (7h-20h)","https://webradio.tda.dz/Blida_64K.mp3"
"Radio Boumerdes (7h-20h)","https://webradio.tda.dz/Boumerdes_64K.mp3"
"Radio Dzaïr","https://radiodzair.net:8000/dzair?shoutcast"
"Radio Dzair","https://radiodzair.net:8000/dzair?shoutcast"
"Radio Dzair Andaloussia","https://radiodzair.net:8020/andaloussia?shoutcast"
"Radio Dzair Aurès","https://radiodzair.net:8050/aures?shoutcast"
"Radio Dzair Izuran","https://radiodzair.net:8030/izuran?shoutcast"
"Radio Dzair Orientale","https://radiodzair.net:8070/orientale?shoutcast"
"Radio Dzair Raina","https://radiodzair.net:8060/raina?shoutcast"
"Radio Dzair Sahara","https://radiodzair.net:8040/sahara?shoutcast"
"Radio internationale","https://webradio.tda.dz/Internationale_64K.mp3"
"Radio Soummam","https://webradio.tda.dz/Bejaia_64K.mp3"
"Radio Tipaza (7h-20h)","https://webradio.tda.dz/Tipaza_64K.mp3"
"SIDIBELABES","https://webradio.tda.dz/SidiBelabes_64K.mp3"
"sleep","http://65.109.81.84:9851/stream"
"ygg","http://online.svitle.org:6728/kids.128.mp3"
"Zaman FM","https://webradio.tda.dz/Zamen_64K.mp3"
"إذاعة البهجة","https://webradio.tda.dz/ElBahdja_64K.mp3"
"إذاعة الجزائر الدولية","https://webradio.tda.dz/Internationale_64K.mp3"
"إذاعة القرآن الكريم ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"إذاعة طريق السلف
","https://airtime.salafwayfm.ly/"
"اذاعة القرآن الكريم","http://stream.radiojar.com/0tpy1h0kxtzuv"
"النهج الواضح ","https://node33.obviousapproach.com:9000/stream"
"تفسير بن عثيمين رحمه الله","https://qurango.net/radio/tafseer"
"جو افريقيا","https://ice.creacast.com/jowradio-north_africa"
"جو راب","https://ice.creacast.com/jowradio-jow_rap"
"جو راديو","https://ice.creacast.com/jowradio"
"جو راي","https://ice.creacast.com/jowradio-rai"
"ديني راديو","https://ice.creacast.com/jowradio-diny"
