"Name","URL"
"Äripäeva Raadio","https://www.aripaev.ee/raadio/stream.mp3"
"DFM","https://le10.euddn.net/6ba757fbb07c38b4203333f8da597dfe02364614545d611faee0cae3d5054c28998483e6a36ae77e8017007b680acfd8f3d9469776bc6bf03bec160af728b4e948a98efed04587b8dfe7a058ed6643a614aa6443b182f8f2ae0ccbd5fbb35c505217badbf4aff456020c96c0a214f787619f1c7ac0b589b36b9388395e577132f54b72799791f65ab27e574488f80f605c7d5d207c982f533fa02509dd85d1d6/dfm.mp3"
"ERR Klassikaraadio","http://icecast.err.ee/klassikaraadio.mp3"
"ERR Raadio 2","http://icecast.err.ee/raadio2.mp3"
"ERR Raadio 2 - 320kbps","http://icecast.err.ee/raadio2korge.mp3.m3u"
"ERR Raadio 4","http://icecast.err.ee/raadio4.mp3?type=.mp3/stream.mp3"
"FinEst Radio","https://shoutcast.finestfm.fi/stream/1/:80/stream"
"Happy U","http://www.happyu.ee/streaming/happyu.m3u"
"Hard FM Estonia","http://s5.radio.co/s69e02764f/listen"
"Hitmix Estonia","https://stream.hitmix.ee:8443/HIT_320"
"Kaguraadio","https://locomanoco.vlevelscdn.net/radio/kaguraadio.stream/playlist.m3u8"
"Kiss FM","https://stream.skymedia.ee/live/KISS"
"KlaRa Jazz","https://icecast.err.ee/klarajazz.mp3"
"KlaRa Klassika","https://icecast.err.ee/klaraklassika.mp3"
"KlaRa Nostalgia","https://icecast.err.ee/klaranostalgia.mp3"
"Kuma FM 101.0","http://5.39.16.62:8004/tre"
"NRJ","https://edge01.cdn.bitflip.ee:8888/NRJ?_i=5b8169cb"
"NRJ Tallinn","https://edge03.cdn.bitflip.ee:8888/NRJ"
"Pereraadio Kuressaare","http://icecast.pereraadio.ee:8000/Kuressaare"
"Pereraadio Tallinn","http://icecast.pereraadio.ee:8000/Tallinn"
"Pereraadio Tartu","http://icecast.pereraadio.ee:8000/Tartu"
"R2 Eesti","https://icecast.err.ee/r2eestikorge.mp3"
"Raadio 2 (HQ)","http://icecast.err.ee/raadio2korge.mp3.m3u"
"Raadio 2 HQ","http://icecast.err.ee/raadio2korge.mp3"
"Raadio 7","https://edge05.cdn.bitflip.ee:8888/R7"
"Raadio Kadi","https://edge06.cdn.bitflip.ee:8888/kadi"
"Raadio Kuku","https://router.euddn.net/8103046e16b71d15d692b57c187875c7/kuku_high.mp3"
"Raadio KUKU","http://router.euddn.net/8103046e16b71d15d692b57c187875c7/kuku_low.mp3"
"Raadio Tallinn","http://icecast.err.ee/raadiotallinn.mp3?type=.mp3/stream.mp3"
"Radio Azathoth Revival","https://cast4.asurahosting.com/proxy/aadu/stream"
"Radio Eli","http://icecast.pereraadio.ee:8000/RadioEli"
"Retro FM Estonia","https://edge02.cdn.bitflip.ee:8888/RETRO?_i=258f436b"
"Rock FM","https://edge02.cdn.bitflip.ee:8888/rck?_i=5f5ab186"
"Semeinoje Radio","http://icecast.pereraadio.ee:8000/Semeinoje"
"Sky Plus","https://stream.skymedia.ee/live/SKYPLUS"
"Sky Plus DnB","https://edge03.cdn.bitflip.ee:8888/NRJdnb"
"Sky-Radio","https://stream.skymedia.ee/live/SKY"
"Sooviraadio","http://media.uunox.net:8888/listen.pls"
"SSS-Radio","http://217.146.76.112:8000/sss-radio"
"Tagatuba FM","https://sp.streams.ovh/8012/stream"
"Tartu Pereraadio","http://bee.pereraadio.ee:8000/"
"Tre Raadio Kesk-Eesti","http://cdn.treraadio.ee/kesk-eesti-tre"
"Tre Raadio Pärnu","http://cdn.treraadio.ee/parnu-tre"
"Tre Raadio Põhja-Eesti","http://cdn.treraadio.ee/pohja-tre"
"Tre Raadio Rapla","https://cdn.treraadio.ee/rapla-tre"
"Tre Raadio Ring FM","https://cdn.treraadio.ee/ringfm"
"Tre Raadio Ruut FM","https://cdn.treraadio.ee/ruutfm"
"Tre Raadio Virumaa","http://sc2.treraadio.ee/viru-tre"
"VIKERRAADIO","http://icecast.err.ee/vikerraadiokorge.mp3"
"Vikerraadio","http://icecast.err.ee/vikerraadio.mp3"
"Семейное Радио Эли. Тарту 1035 КГц","http://icecast.pereraadio.ee:8000/RadioEli"
