"Name","URL"
" إذاعة مشاري العفاسي","https://qurango.net/radio/mishary_alafasi"
"---تراتيل قصيرة متميزة---","https://qurango.net/radio/tarateel"
". beautiful recitation ","https://qurango.net/radio/salma"
". القارئ محمد أيوب ","https://qurango.net/radio/mohammed_ayyub"
".. مختصر التفسير ","https://qurango.net/radio/mukhtasartafsir"
".إذاعة ماهر المعيقلي ","https://backup.qurango.net/radio/maher"
"87.8	Mix FM","https://stream-29.zeno.fm/na3vpvn10qruv"
"90s FM","https://fastcast4u.com/player/prontofm/?pl=vlc&c=0"
"92.7 Mega FM","http://nebula.shoutca.st:8211/mp3"
"Abdulrasheed Soufi","https://qurango.net/radio/abdulrasheed_soufi_assosi.mp3"
"Amr Diab Radio","https://stream-40.zeno.fm/xa4yhh4k838uv?zs=gojgaFRaRrK1wgGIwdv6xA"
"Coptic Voice Radio","http://stream.clicdomain.com.br:5828/"
"Diab FM","http://stream-36.zeno.fm/rf64mx02qa0uv?zs=omRb6KEjQ3u0-JsaJKdhQg"
"EGONAIR","https://radio.socialgenix.com/8004/stream"
"El Gouna Radio","http://online-radio.eu/export/winamp/9080-el-gouna-radio"
"MAHATET MASR","https://s3.radio.co/s9cb11828c/listen"
"MEGA FM","http://nebula.shoutca.st:8211/mp3"
"Misrin Street","https://stream.zeno.fm/djqjrjhxsrgtv"
"Nile FM","https://audio.nrpstream.com/public/nile_fm/playlist.pls"
"NileFM","https://audio.nrpstream.com/listen/nile_fm/radio.mp3"
"Nogoum FM","https://audio.nrpstream.com/listen/nogoumfm/radio.mp3"
"Nogoum fm","https://audio.nrpstream.com/listen/nogoumfm/radio.mp3?refresh=1675929443955"
"NRJ EGYPT","http://nrjstreaming.ahmed-melege.com/nrjegypt"
"On Sport FM","https://carina.streamerr.co:2020/stream/OnSportFM"
"On sports FM","https://carina.streamerr.co:2020/stream/OnSportFM"
"Radio 9090","https://9090streaming.mobtada.com/9090FMEGYPT"
"Radio 9090 90.9","http://9090streaming.mobtada.com/9090FMEGYPT"
"Radio Hits 88.2 Cairo","https://radiohits882.radioca.st/"
"Radio Misrfone","http://s2.voscast.com:8612/"
"Radio Quran","https://stream.radiojar.com/8s5u5tpdtwzuv"
"Radio القارئ علي حجاج السويسي","http://live.mp3quran.net:9842/"
"ROOM AR3B","https://stream.zeno.fm/krxqppgi7kbvv"
"SHA3BY FM","https://radio95.radioca.st/"
"Tes3enat FM","http://178.33.135.244:20095/?DIST=TuneIn&TGT=TuneIn&maxServers=2&partnertok=eyJhbGciOiJIUzI1NiIsImtpZCI6InR1bmVpbiIsInR5cCI6IkpXVCJ9.eyJ0cnVzdGVkX3BhcnRuZXIiOnRydWUsImlhdCI6MTYzNjA1OTE3OCwiaXNzIjoidGlzcnYifQ.Me0snc2PBcQhvlzte9L7zQxa-IHgNinhu3XdNJ6_Xa8"
"X_X","https://stream.zeno.fm/n63xpx3o8imuv"
"إذاعة القرآن الكريم ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"إذاعة القرآن الكريم (القاهرة)","https://stream.radiojar.com/8s5u5tpdtwzuv"
"إذاعة القرآن الكريم من القاهرة","http://n12.radiojar.com/8s5u5tpdtwzuv?listening-from-radio-garden=1620219571863&rj-tok=AAABeTyl2zYARSWbLVnrEOlqGw&rj-ttl=5"
"إذاعة طريق السلف

","https://airtime.salafwayfm.ly/"
"إذاعة محمود خليل الحصري","https://qurango.net/radio/mahmoud_khalil_alhussary_warsh"
"إذاعة مصطفى إسماعيل","https://qurango.net/radio/mustafa_ismail"
"إذاعة ياسر الدوسري","https://qurango.net/radio/yasser_aldosari"
"اذاعة القرآن الكريم","http://stream.radiojar.com/0tpy1h0kxtzuv"
"القران الكريم من القاهره","http://n0c.radiojar.com/8s5u5tpdtwzuv?rj-ttl=5&amprj-tok=AAABdI5Qnd0AEmvTTG5DVtU31A&ampautoplay=1%22%20type=%22audio/mpeg"
"القران الكريم من القاهره1","http://n0e.radiojar.com/8s5u5tpdtwzuv?rj=&rj-tok=AAABg5BDP0EA2ElNLJYUJTsVcg&rj-ttl=5"
"تفسير بن عثيمين","https://qurango.net/radio/tafseer"
"تكبيرات العيد","http://live.mp3quran.net:9728/"
"محطة مصر","https://s3.radio.co/s9cb11828c/listen"
"هواها بيطري","https://s44.myradiostream.com/:9204/listen.mp3?listening-from-radio-garden-1696014326?nocache-1696021004"
