"Name","URL"
"Addis Music","https://stream.zeno.fm/umguj2baxdctv"
"Addis Walta FM 105.3","https://stream.zeno.fm/t5td4ky6hkeuv"
"Afro FM","http://stream.zeno.fm/fu367ky6hkeuv"
"Afro FM 105.3","https://stream.zenolive.com/t5td4ky6hkeuv.aac"
"Amharic Live Sport የኳስ  ኮሜኔታተር","https://stream.zeno.fm/bqtruhn4q98uv"
"AXUMITE RADIO","https://stream.zeno.fm/b9bn18xa2k8uv"
"Betemeskel ቤተመስቀል ☦️","https://stream.zeno.fm/xbpzacbw298uv"
"Birhan Gospel Radio","https://stream.zeno.fm/qt90skpqp0hvv"
"Christian Mezmur Ethiopia","https://stream.zeno.fm/0bws6ct0ey8uv"
"Daily Hype Radio","https://stream.zeno.fm/apzzddhstbruv"
"DW Amharic ","https://dw.audiostream.io/dw/1027/mp3/64/dw08"
"EBC NATIONAL RADIO","https://stream.zeno.fm/ad402tap7yzuv"
"EBC Radio 104.7 Addis Abeba","https://stream-25.zeno.fm/2xguamap7yzuv"
"Ethio FM 107.8","https://stream.zeno.fm/72y045deqeruv"
"Ethiopian Orthodox Church Mezmur","https://stream.zeno.fm/pfaho9uockwuv"
"Finfinnee Raadiyoo","https://stream.zeno.fm/gtb0xm6vbm5tv"
"FM ADDIS 97-1","https://stream.zeno.fm/rb6wbrap7yzuv"
"fm addis 97.1","http://stream.zeno.fm/7tzrhrap7yzuv"
"Halaal Media","https://stream.zeno.fm/rqx24qj7offvv"
"Halaal Radio","https://stream.zeno.fm/rqx24qj7offvv"
"hip hop ","http://stream.rtlradio.de/rnb/mp3-192/"
"J FM 106.7","https://stream-162.zeno.fm/w8knfk1w7bhvv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJ3OGtuZmsxdzdiaHZ2IiwiaG9zdCI6InN0cmVhbS0xNjIuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6Ik8xRzRhY3plUVJDMHpTaFdPY3RHR2ciLCJpYXQiOjE3Mjk4ODgwMzksImV4cCI6MTcyOTg4ODA5OX0.slXpkALhq7pcraMW4ChD75Yt1hLkKPfuGP-ac6vaavI&adtonosListenerId=01JB2NKG5YS5ZXSEC4ZD3MPT2K&aw_0_req_lsid=0941176749b13587586a3e6b5a2a33fe"
"Jano FM","https://stream-54.zeno.fm/1cyn1as4v68uv?zs=6ALEcBPQR5Wq6_T-zr8TDw"
"jazz","http://mediaserv38.live-streams.nl:8006/live"
"jazz Ethiopia world ","http://mediaserv38.live-streams.nl:8006/live"
"Mirt Internet Radio","http://stream.zeno.fm/akmuznguawzuv"
"music","http://mediaserv38.live-streams.nl:8006/live"
"Oromia Broadcasting Network","https://stream.zeno.fm/9kha8gxkpd0uv"
"Sheger FM","https://stream.zeno.fm/y91n1vtbaw5tv"
"Sheger FM 102.1","https://stream.zenolive.com/y91n1vtbaw5tv"
"Sheger365","https://stream.zeno.fm/hnx6hqn05bhvv"
"Taem Radio ጣዕም ሬድዮ","https://stream.zeno.fm/ffg8htkh1k0uv"
"TIRITA 97.6 FM","https://stream.zeno.fm/x751reg18zhvv"
"Tizta ትዝታ FM","https://stream.zeno.fm/55nlq5yzqlftv"
"VoA","https://voa13.akacast.akamaistream.net/7/681/437795/v1/ibb.akacast.akamaistream.net/voa13"
"Voice of Ethiopia","https://node-34.zeno.fm/hubm64kkr2zuv"
"YeneVibe Radio","https://stream.zeno.fm/5mz3qqftsnhvv"
"Yengat Weg","https://stream.zeno.fm/pp0d9hyddxquv"
"yonjon","http://stream.zeno.fm/tkkjml4sqsguv"
"اذاعة القرآن الكريم","http://stream.radiojar.com/0tpy1h0kxtzuv"
