"Name","URL"
"	Tick Tock Radio - 1950","https://streaming.ticktock.radio/tt/1950/icecast.audio"
"Doubleclap Radio","https://s3.radio.co/scfd7273b2/listen"
"Finest Fm","http://212.47.220.188:8000/listen.mp3"
"Iskelmä","https://stream.bauermedia.fi/iskelma/iskelma_128.mp3"
"Järviradio","https://jarviradio.radiotaajuus.fi:9000/jr"
"Kaaos Radio 24h Chill","http://stream.kaaosradio.fi:8000/chill"
"Kaaos Radio Chiptune","http://stream.kaaosradio.fi:8000/chip"
"Kaaos Radio Techno Electro","http://stream.kaaosradio.fi:8000/stream2"
"Kaaosradio - 24h","http://stream.kaaosradio.fi:8000/stream.m3u"
"Kaaosradio - 24h Chill","http://stream.kaaosradio.fi:8000/chill"
"NRJ Suomi","https://stream.bauermedia.fi/nrj/nrj_128.mp3?aw_0_1st.bauer_loggedin=false&aw_0_1st.playerid=BMUK_tunein&aw_0_1st.skey=1667679042www"
"Radio Classic 128kbps","https://stream.bauermedia.fi/classic/classic_128.mp3"
"Radio Dei","http://isojako.radiodei.fi:8000/yleisohjelma"
"Radio Dei Helsinki","http://isojako.radiodei.fi:8000/helsinki"
"Radio Dei Kajaani","https://stream.dei.fi:8443/kajaani"
"Radio Dei Kemi","http://isojako.radiodei.fi:8000/tornio"
"Radio Dei Kokkola","http://isojako.radiodei.fi:8000/kruunupyy"
"Radio Dei Kristiinankaupunki","http://isojako.radiodei.fi:8000/kristiinankaupunki"
"Radio Dei Lahti","https://stream.dei.fi:8443/lahti"
"Radio Dei Oulu","http://isojako.radiodei.fi:8000/oulu"
"Radio Dei Pohjanmaa","http://isojako.radiodei.fi:8000/lapua"
"Radio Dei Rovaniemi","http://isojako.radiodei.fi:8000/rovaniemi"
"Radio Dei Turku ja Eurajoki","http://isojako.radiodei.fi:8000/turkueurajoki"
"Radio Gramofoni","https://solid9.streamupsolutions.com/proxy/kookmuod?mp=/stream"
"Radio Hear","http://hear.fi:8000/hear.mp3"
"Radio Helsinki 98,5 Mhz","http://opml.radiotime.com/Tune.ashx?id=s97243&formats=aac,ogg,mp3&partnerId=16&serial=afe4c1a95cc7f3a92c47dbad1b283293"
"Radio Keskisuomalainen","https://cast.radiokeskisuomalainen.fi/radiokeskisuomalainen"
"Radio Musa","http://n09.radiojar.com/n6yg5q0z8vzuv.m4a"
"Radio Natale","https://streaming.radiostreamlive.com/radionatale_devices"
"Radio Nova","https://stream.bauermedia.fi/radionova/radionova_128.mp3"
"Radio nova","http://stream.bauermedia.fi/radionova/radionova_128.mp3"
"Radio Patmos","https://s3.yesstreaming.net:7011/radio"
"Radio Pooki","https://stream.bauermedia.fi/radiopooki/radiopooki_128.mp3?aw_0_1st.bauer_loggedin=false&aw_0_1st.playerid=BMUK_tunein&aw_0_1st.skey=1697625781"
"Radio Ramona","http://185.123.117.122:8000/ramona.mp3"
"Radio Santa Claus","https://streaming.radiostreamlive.com/radiosantaclaus_devices"
"Radio SUN","http://st.downtime.fi/sun.mp3"
"Radio SuomiRock","https://stream.bauermedia.fi/suomirock/suomirock_128.mp3"
"Radio Tempo","https://cast.radiotempo.fi/radiotempo"
"Radio Tuottaja1","https://kaupunkiradio.radiotaajuus.fi:9013/radio"
"Radio Voima","https://cast2.radiovoima.fi/voima.mp3"
"Radioverkko","http://kuuntele.radioverkko.fi:8000/live"
"Roll FM","http://stream.rollfm.fi/"
"Rondo Classic Klasu","http://iradio.fi:8000/klasu-hi.mp3"
"Savon Aallot","https://cast.savonaallot.fi/savonaallot"
"Sea FM","https://s3.myradiostream.com/4976/listen.mp3"
"Sea fm","http://s3.myradiostream.com:4976/listen.pls"
"Sea FM Radio","http://s3.myradiostream.com:4976/"
