"Name","URL"
" My Genre Radio FM","https://c5.radioboss.fm:8075/stream"
" Quasar Radio","https://ec2.yesstreaming.net:1935/stream"
" Techno - FM - Channel","https://stream.techno.fm/radio1-320k.mp3"
".. Al quran radio ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"#1980s Zoom","https://samcloud.spacial.com/api/listen?sid=111415&rid=194939&f=mp3,any&br=128000,any&m=sc"
"1 Harmony Radio","http://ep.onlineaudience.co.uk:8979/stream"
"10 Radio 105.3 - Wiveliscombe","http://live.canstream.co.uk:8000/10radio.mp3"
"100 hitz","http://206.217.213.235:8290/"
"100.8 Home Radio","https://uksoutha.streaming.broadcast.radio/home?1721747577077="
"100% Hip Hop | NTS","https://stream-mixtape-geo.ntslive.net/mixtape2"
"101.8 WCR FM","https://stream3.themediasite.co.uk:8312/stream?_=580911"
"103 The Eye","http://www.103theeye.co.uk/listen.m3u"
"106.9 SFM","https://streaming05.liveboxstream.uk/proxy/sittingb?mp=/stream"
"107.8 Black Diamond FM","https://icecast-s.bdfm.radio/blackdiamondfm?icecast"
"107FM","http://88.99.195.180:8031/stream"
"121 Radio","http://ukwesta.streaming.broadcast.radio:10650/121radio.m3u"
"1940s Radio - Home Service - UK 1940s 1950s (Pumpkin FM OTRN)","https://cast2.asurahosting.com/proxy/1940sradio/stream"
"1940s Radio HS - Pumpkin FM","https://cast2.asurahosting.com/proxy/1940sradio/stream"
"1940s Radio Station","https://control.internet-radio.com:2199/tunein/1940sradio.pls"
"1940sRadio","http://uk3.internet-radio.com:8082/live.m3u"
"1Mix EDM Radio","http://fr1.1mix.co.uk:8060/"
"1Mix Radio - EDM (UK) 128kb mp3","http://fr2.1mix.co.uk:9000/128h"
"1Mix Radio - EDM (UK) 192kb mp3","http://fr2.1mix.co.uk:9000/192h"
"1Mix Radio - EDM (UK) 320kb mp3","http://fr2.1mix.co.uk:9000/320h"
"1Mix Radio - House (UK) 128kb mp3","http://fr2.1mix.co.uk:9000/128hb"
"1Mix Radio - House (UK) 192kb mp3","http://fr2.1mix.co.uk:9000/192hb"
"1Mix Radio - House (UK) 320kb mp3","http://fr2.1mix.co.uk:9000/320hb"
"1Mix Radio - Trance (UK) 128kb mp3","http://fr2.1mix.co.uk:9000/128b"
"1Mix Radio - Trance (UK) 192kb mp3","http://fr2.1mix.co.uk:9000/192b"
"1Mix Radio - Trance (UK) 320kb mp3","http://fr2.1mix.co.uk:9000/320b"
"1Mix Radio - Trance #1 (UK) 128kb mp3","http://fr2.1mix.co.uk:9000/128"
"1Mix Radio - Trance #1 (UK) 192kb mp3","http://fr2.1mix.co.uk:9000/192"
"1Mix Radio - Trance #1 (UK) 320kb mp3","http://fr2.1mix.co.uk:9000/320"
"1Mix Radio Trance","http://fr2.1mix.co.uk:8060/320"
"24 Horas Rádio","http://94.23.159.187:9958/stream.mp3"
"24-7 Decades","https://antares.dribbcast.com:2199/tunein/s8120.pls"
"24-7 Disco","https://antares.dribbcast.com/proxy/s8190/stream"
"24-7 Dreamboats And Petticoats","https://antares.dribbcast.com:2199/tunein/s8100.pls"
"24-7 Just Rock","https://antares.dribbcast.com:2199/tunein/s8170.pls"
"24-7 Legends","https://antares.dribbcast.com:2199/tunein/s8160.pls"
"24-7 Legends Classic Rock","https://antares.dribbcast.com:2199/tunein/s8180.pls"
"24-7 Motown","https://antares.dribbcast.com:2199/tunein/s8110.pls"
"24-7 Party","https://antares.dribbcast.com:2199/tunein/s8240.pls"
"24-7 Psychedelic Rock","https://antares.dribbcast.com:2199/tunein/s8150.pls"
"24-7 Reggae","https://antares.dribbcast.com:2199/tunein/s8200.pls"
"24-7 Rock ‘n’ Roll","https://antares.dribbcast.com:2199/tunein/s8130.pls"
"24-7 Soul","https://antares.dribbcast.com:2199/tunein/s8300.pls"
"24-7 The ’60s","https://antares.dribbcast.com:2199/tunein/s8220.pls"
"24-7 The 70s","https://antares.dribbcast.com:2199/tunein/s8260.pls"
"24/7 Cafe Radio","https://ec6.yesstreaming.net:1555/stream"
"24/7 Classical Radio","https://ec3.yesstreaming.net:3615/stream"
"24/7 Lofi Radio","https://ec3.yesstreaming.net:3755/stream"
"24/7 Restaurant Radio","https://ec6.yesstreaming.net:1655/stream"
"24/7 Spa Radio","https://ec6.yesstreaming.net:2915/stream"
"242 RADIO","http://uk7.internet-radio.com:8168/stream"
"242 Radio","https://uk7.internet-radio.com/proxy/242radio?mp=/stream&1705137844878"
"246 Bajan Vibes Radio","http://s32.myradiostream.com:6006/live"
"247house.fm","http://247house.fm:9500/stream"
"4 To The Floor | NTS","https://stream-mixtape-geo.ntslive.net/mixtape5"
"45 Radio","https://stream1.themediasite.co.uk:7009/stream"
"4Tune FM","https://c30.radioboss.fm:18274/stream"
"4TunesFM","https://c30.radioboss.fm:18274/stream"
"5 Rivers radio","https://onlineradiobox.com/json/uk/5rivers/play?platform=web"
"60 North Radio","https://cdn1.zetcast.net/stream"
"60s Swinging Radio","http://s2.xrad.io:8058/listen.pls"
"70s Radio Style - London (MP3)","http://stream.zeno.fm/4zxc2a6qeg0uv"
"80's on Dash","http://ice55.securenetsystems.net/DASH7"
"80s 90s 00s Radio","http://15458.cloudrad.io:9112/live"
"80s Heart","https://samcloud.spacial.com/api/listen?sid=111415&80s-heart&live"
"80s Mixtape","https://audio.allabout.radio/listen/80s_mixtape/stream.mp3"
"80s Music Station (MP3)","http://stream.zeno.fm/1fm38n8f74zuv"
"80s Rhythm","https://stream.mybroadbandradio.com/80srhythmhq/"
"80s Soundtracks Radio","http://uk5.internet-radio.com:8256/"
"80s Zoom - London (MP3)","http://stream.zeno.fm/441fkks8ya0uv"
"90.1 Hope FM","http://stream-hfm.tune-in.co.uk:19020/"
"90s Hiphop","https://strm112.1.fm/spanishtophits_mobile_mp3?aw_0_req.gdpr=true"
"95.6 BRFM","https://mediacp.nkpa.co.uk/stream/Brfm/BrfmMP3"
"96.3 Seahaven FM","https://stream1.hippynet.co.uk:8107/stream?_=526570"
"AA-DeepRadio","https://listen.deepradio.co.uk/radio.mp3"
"Aah Classical Radio - Bach","http://hearme.fm:10001/stream"
"Aah Classical Radio - Beethoven","http://247house.fm:10003/stream"
"Aaja Channel 1","https://aaja.radiocult.fm/stream"
"Aaja Channel 2","https://aaja-2.radiocult.fm/stream"
"Abbey104","http://streaming04.liveboxstream.uk:8051/"
"ABC Oldies Radio","https://carina.streamerr.co/stream/abcoldiesradio"
"Ace Cafe Radio","https://listen.radioking.com/radio/69079/stream/106852"
"Actual Radio","https://securestreams.autopo.st:1174/"
"Air3 Radio","https://streams.radio.co/s7863dad8e/listen"
"Alfred","https://stream2.hippynet.co.uk:8204/stream.m3u"
"Alive Radio 107.3","http://stream2.hippynet.co.uk:8013/"
"Alpha Wave Radio","https://listentomystream.com:8068/stream"
"Amazing Radio","http://amazingradio.stream.laut.fm/amazingradio?t302=2023-11-01_18-04-38&uuid=9dc21e5d-5102-400a-b0a3-acf860947777"
"Ambition Radio","http://s30.radiolize.com/radio/8060/radio.mp3"
"America's Greatest 70s Hits","http://hydra.cdnstream.com/1823_128"
"American Gold - Pumpkin FM","https://cast2.asurahosting.com/proxy/americangold/stream"
"Anchor Radio","http://station.anchor.radio:8000/live192.mp3"
"Angel IOW","http://s2.xrad.io:8054/stream"
"Angel Radio","https://edge.clrmedia.co.uk/angel_hb"
"Angel Radio (HQ)","http://s2.xrad.io:8522/listen.pls?sid=1"
"Apocalypse Radio","https://radiopanel.scoobynetworks.uk:10990/stream?type=http&nocache=28"
"Apple FM 97.3 Taunton","http://radio.canstream.co.uk:8031/live.mp3"
"ARfm","http://108.163.245.230:9016/listen.pls"
"Armagh City Radio","https://acrlive.radioca.st/stream?type=http&nocache=1702573713796"
"Arrowe Sound","http://proxima.shoutca.st:8897/"
"Asian Star Radio","http://icecast.commedia.org.uk:8000/asianstar.mp3"
"Atlantic 252","https://stream4.themediasite.co.uk:8042/"
"Atlantic Surf Radio","https://stream.radio.co/sa0b35dc99/listen"
"Atlantis","https://uksoutha.streaming.broadcast.radio/boss-atlantis?1704991184681="
