"Name","URL"
"Hereti FM","http://iis.ge:8000/hereti.mp3"
"Marneuli FM","http://stream.it-solutions.ge:8000/mp3-radiomarneulifm"
"Radio Amra","https://streamer.radio.co/s34b5469e0/listen"
"Red Wine Radio","https://stream.zeno.fm/pcbduafehg0uv"
"Tbilisi FM 93,5","http://iis.ge:8000/radiotbilisi.mp3"
"Vinyl radio","https://radiopotok2.online/62.212.34.4:9000/live"
"Voice of Abkhazia","http://109.172.136.60:8081/broadwavelow.mp3"
"Арадио Sputnik Аҧсны","https://icecast-rian.cdnvideo.ru/voicesuh"
"Голос Абхазии / Voice of Abkhazia","http://109.172.136.60:8081/broadwavelow.mp3"
"დარდიმანდი (DardiMandi)","http://109.172.136.60:8080/broadwavehigh.mp3"
"თბილისი FM (Tbilisi FM)","http://iis.ge:8000/radiotbilisi.mp3"
"რადიო აჭარა (Radio Adjara)","https://edge.mixlr.com/channel/bzorq"
"რადიო დარდიმანდი","http://109.172.136.60:8080/broadwavehigh.mp3"
"რადიო პალიტრა (Radio Palitra)","https://radiostream.palitra.ge/stream.mp3"
"რადიო პოზიტივი (Radio Positive)","https://stream.radiojar.com/sr4vzamzfnruv"
"რადიო სივრცე (Radio Sivrce)","https://proxy.streamer.mediabox.ge/ice/8000/sivrce"
"უცნობი FM (Ucnobi FM)","http://149.3.104.166:8000/stream.ogg"
