"Name","URL"
"A1-RADIO-1011MHz-Bolgatanga","https://stream.streamgenial.stream/y77gg1ggeq8uv"
"ADUM RADIO","http://stream.zeno.fm/dmn9atfb7ehvv"
"Akomapa FM","http://mounthoreb1.primcast.com:8210/"
"Box Radio: Classical Radio","https://play.streamafrica.net/classicalradio"
"Box Radio: Dreamscapes","https://play.streamafrica.net/dreamscapes"
"Box Radio: Lofi Radio","https://play.streamafrica.net/lofiradio"
"Box Radio: Radio Jazz","https://play.streamafrica.net/radiojazz"
"ChinaGhana Fm","https://stream.zeno.fm/3w43axr9mg0uv"
"citi fm","https://citi973fm.radioca.st/index.html:80/stream.mp3"
"Class FM 91.3","https://stream-15.zeno.fm/550swtx03mzuv"
"GBC Uniiq 95.7 FM ","http://173.249.50.205:8004/"
"GHERLA","http://89.39.189.52:8000/"
"Jesus Temple Radio","https://mediagh.us:2020/stream/temple"
"Mereshena Radio","http://stream.zeno.fm/gms1ucq58ehvv"
"Onua 95.1 FM","http://64.150.176.192:8039/"
"Pluzz FM","https://a00.w3-gh.com/a11.mp3"
"Sweet Melodies 94.3 FM","http://41.190.68.250:8000/stream"
