"Name","URL"
" Alexandroupolis Dee Jay 94.8","https://stream.myip.gr/proxy/deejay?mp=/stream"
" ΕΝΑ 90.5","https://rdst.win:48000/stream?type=.mp3"
" Ορθόδοξος Λόγος 105.1","https://eco.onestreaming.com:18842/stream"
"1 News","https://cast2.radiohost.ovh/onenewsradio?mp=/stream"
"100 FM Radio 1","http://s3.onweb.gr:8814/"
"101 FM1","https://neos.win:59261/stream"
"101 Radio 1","http://s3.onweb.gr:8814/"
"102.2 Αλιβέρι 1","http://88.99.239.52:9300/"
"1055 Rock","http://radio.1055rock.gr:30000/1055"
"1055 ROCK - THESSALONIKI - RADIO2","http://radio.1055rock.gr:30000/1055?ver=324406"
"1055 Rock Thessaloniki","http://radio.1055rock.gr:30000/1055?ver=334672"
"12 Gods Cafe ","https://s4.myradiostream.com/:14374/?type=http&nocache=1695638039?0.8040765476688225"
"1o Ερασιτεχνικό Πρόγραμμα Γαργαλιάνων","http://i2.streams.ovh:7109/stream?type=http&nocache=11373"
"1st Greek New Age Radio","https://stream-156.zeno.fm/9yu82xwmdc9uv?zs=kfRTbEsBT1S-LI24kc6lVg"
"1ο Ερασιτεχνικό Πρόγραμμα Γαργαλιάνων 88.8","https://i2.streams.ovh:2200/ssl/trelostwnfm?mp=/stream&1671747517218"
"2000 FM 99.8","https://i8.streams.ovh/ic/2000fm/stream"
"2000 sta FM","https://radio.wt5.net/radio/8000/radio.mp3"
"2000 στα FM","https://radio.wt5.net/radio/8000/radio.mp3"
"2510Radio","https://radioaeras.radioca.st/"
"269 FM","https://neos.win:48006/lstream"
"2o laika","https://radiostreaming.ert.gr/ert-talaika"
"2o ΠΑΡΑΔΟΣΙΑΚΑ","https://radiostreaming.ert.gr/ert-defteroparadosiaka"
"4U 93.1","http://netradio.live24.gr/4uradio931"
"7000FM","https://stream.7000fm.gr/radio/8000/radio.mp3"
"80smania","http://158.69.114.190:8024/stream"
"80smania GR","https://solid9.streamupsolutions.com/proxy/glzzkced/streamor"
"87.6 Studio 1","http://s3.onweb.gr:8872/"
"88 FM Radio 1","http://www.111.gr:8000/stream?type=http&nocache=181015"
"88.5 Radio FM 8","http://ams-pioneer02.dedicateware.com:1750/stream"
"88.6 Kanali 20","https://server.el1.info:37086/stream"
"88miso","https://solid33.streamupsolutions.com/proxy/sxxaojkx?mp=/stream"
"89 Rainbow Christmas","http://n11.radiojar.com/4nwwcyesv8hvv?rj-ttl=5&rj-tok=AAABhU7fB_gAoW9W9YLC5FGQ7Q"
"89.6 Ioannina DeeJay","http://sp3.streams.ovh:8089/stream"
"902.gr","https://icecast.902.gr:8001/904"
"904","http://icecast.902.gr:8000/904.m3u"
"90s Heaven","https://sp3.streams.ovh/8070/stream"
"92.9 KISS","https://kissfm.live24.gr/kissfmathens"
"96.2 FM1","http://sc2.streamwithq.com:8092/listen.pls"
"97.3 Κανάλι 5","https://solid1.streamupsolutions.com/proxy/kanali5?mp=/stream"
"98.1 Radio 1","http://proradio.gr:8004/radio981m"
"99 Ράδιο 1","http://n13.radiojar.com/t0x7dyqmsuhvv?rj-ttl=5&rj-tok=AAABhH0rD-QAgA2xJnC5B93PWQ"
"99.7 Δίαυλος 1","http://stream.kncdn.net:7512/1/?1671793270131"
"A 100","http://bestgreek.info:8104/live?type=http&nocache=110731"
"A Patras 94.4","https://netradio.live24.gr/alpha944patra"
"A48","http://195.154.217.103:8069/stream"
"Acropol 1242","https://webinternetradio.eu:59373/"
"Action","http://stream-31.zeno.fm/7p30ef2u2a0uv?zs=Ogf1XqXHSOKHr1BKxHIAFw"
"Action 98.2","https://solid1.streamupsolutions.com/proxy/jkzjmwru?mp=/stream"
"Action Radio 98.2","http://solid1.streamupsolutions.com:11026/stream?1585721674694"
"Adelin 107.3","http://cast.magicstreams.gr:8050/stream?type=http&nocache=368"
"Aegean Lounge Radio","http://radio2.citrus3.com:2199/tunein/geertvernelen.pls"
"AFN 360 Souda Bay","http://playerservices.streamtheworld.com/m3u/AFNE_SDB.m3u"
"Agape Greek Radio","https://securestream.casthost.net:8299/stream"
"Aigaio News","http://europa.shoutca.st:8721/stream?type=http&nocache=24274"
"ak radio","http://sc2.streamwithq.com:8048/"
"AK Radio","http://sc2.streamwithq.com:8048/stream?type=http&nocache=17"
"Akous 80s","https://ice2.onestreaming.com/akous80s"
"Akous Breeze","https://live.akous.gr/akousbreeze"
"Akous Domotel Deluxe","https://live.akous.gr/akousdeluxe"
"Akous Gazi","https://live.akous.gr/akousgazi"
"Akous Jazz in","https://ice2.onestreaming.com/akousjazzin"
"Akous My Classic","https://ice2.onestreaming.com/akousmyclassic"
"Akous Palko","https://live.akous.gr/akouspalko"
"Aktina","http://live.e-streaming.eu:8110/stream?type=http&nocache=1394"
"Aktina 104.7","http://sc2.streamwithq.com:8016/stream?type=http&nocache=65312"
"Aktina 104.7 oldies","https://sc2.streamwithq.com:2000/stream/AktinaOldies/stream"
"Aktina 104.7 Planet Music","https://sc2.streamwithq.com:2000/stream/PlanetMusic/stream"
"Aktina 104.7 Της Καρδιάς σου Λαϊκά","https://sc2.streamwithq.com:2000/stream/Tiskardiassoulaika/stream"
"Alchemy","https://server.el1.info:59984/autodj?ver=648303"
"Alchemy Web Radio","https://rdst.win:59984/"
"Alepou Radio","https://stream.radiojar.com/h693vkmhe5uvv"
"Alfa 96","http://s2.onweb.gr:8624/"
"Alimos","https://streamyourdream.org:8092/stream"
"Alma GR","https://neos.win:48222/autodj"
"Alpha 104.7","https://stream.myip.gr/proxy/alpha1047?mp=/stream"
"Alpha 98.9","http://stream.radiojar.com/xcdg6yggzfeuv"
"Alpha 98.9 Athens","https://n0e.radiojar.com/xcdg6yggzfeuv?rj-ttl=5&rj-tok=AAABeGu7-YMAAjbbx7O97iNbyw"
"Alpha Delta 1359","https://webinternetradio.eu:59277/"
"Alpha FM","http://stream.myip.gr:9219/stream"
"Alpha News 106.2","https://antares.dribbcast.com/proxy/alpha1062?mp=/stream"
"Alpha News Δράμα","http://radio.streamings.gr:8002/stream"
"Alpha Καστοριά","http://n09.radiojar.com/wxc5sezupy5tv?1516183875=&rj-tok=AAABePtbMkMA_HDtKIp2EyprKQ&rj-ttl=5"
"Amartia ","http://cast.innviweb.com:9030/stream?type=http&nocache=624478"
"Amore 87.5","http://s4.onweb.gr:8442/"
"Amvrakia 91.9","https://ice.streams.ovh:1195/stream"
"Anderson","https://webinternetradios.eu:48256/"
"Andromeda Essential Mix","https://greeksonic.alphaserver.gr/8004/stream"
"Andromeda Net Radio","https://stream1.468.gr/8010/stream"
"Angel 102.8","http://s5.onweb.gr:8502/stream?type=http&nocache=77822"
"Angels","https://i9.streams.ovh/ic/radioang/stream"
"anoixi 100.7","https://sp3.streams.ovh/8026/stream"
"Ant1 Patra","https://netradio.live24.gr/ant1patra1053"
"ANT1 Νότιας Ελλάδας","http://eco.onestreaming.com:8510/"
"ANT1 Πάτρας","http://ant1patra.live24.gr/ant1patra1053"
"Antena Aegina","http://i3.streams.ovh:12043/autodj"
"Antenna 94","https://ant1grevena.live24.gr/ant1grevena"
"Antenna Νότιας Ελλάδας 97.2","http://eco.onestreaming.com:8510/"
"Antennes Καστοριά","http://cast.streams.ovh:9177/live?1494329758071"
"Apodimos Palmos","https://play.radioking.io/apodimos-palmos/513152"
"Apollon","http://s2.e-resellers.gr:8022/stream?type=http&nocache=56185"
"Apopsi GR","http://n01.radiojar.com/radio-apopsi?rj-ttl=5&rj-tok=AAABjex_AsgA8qvCgqBfwSaMeQ"
"Aposperitis 94.5","http://eco.onestreaming.com:8600/"
"Apps 96.6","https://stream.myip.gr/proxy/app966?mp=/stream"
