"Name","URL"
"Actitud 100.9","https://ss.redradios.net:8002/stream?type=.mp3"
"Actitud 100.9 FM","https://ss.redradios.net:8002/stream?type=.mp3"
"Actitud 100.9 FM Guatemala","https://ss.redradios.net:8002/stream?type=.mp3"
"Atmósfera 96.5","https://stream.zenolive.com/wbqp37gm8ueuv"
"CARACOL RADIO 105.1 FM","https://stream.zeno.fm/u844q3w08mwtv"
"Dinámica 89.9 FM","https://cloudstream2032.conectarhosting.com/8312/stream"
"Emisoras Unidas 89.7","https://stream.zenolive.com/z96sq8tndseuv"
"Emisoras Unidas 91.1 FM","https://stream.zeno.fm/3tfg0vng9ueuv"
"Emisoras Unidas San Marcos","https://stream.zeno.fm/xzvgzbfm8ueuv"
"Estéreo Alegre 101.5 FM","https://stream.zeno.fm/597dgr66e2zuv"
"Estéreo Salvación","https://server.radiogs.org/8092/stream"
"Estéreo Santa Sion","https://radio015.gt.gt/radio/8000/live.mp3"
"Estéreo Torre Fuerte","https://server.radiogs.org/8296/stream"
"Eventos Catolicos Radio 940 AM","https://stream.zeno.fm/1g9cduy10bruv"
"Exa FM 101.7 Guatemala","https://stream.zeno.fm/czdkk32qduhvv"
"Exa FM Guatemala","https://stream.zeno.fm/czdkk32qduhvv"
"FeLove Biblia en Quiché","http://radio.produccionescasaverde.com:8788/autodj"
"Kiss FM 97.7","https://stream.zenolive.com/1sgzkhhm8ueuv"
"La Grande 99.3 FM","https://stream.zeno.fm/f1bgph3ve0quv"
"Nueva Fabuestéreo 88.1FM y Quetzaltenango 89.5FM ","https://stream.zeno.fm/vs325dhm8ueuv"
"Oriòn Stereo","https://ss.redradios.net:8046/stream"
"palabra miel","http://juventudpalabramiel.org:8000/radio"
"Radio Actitud","https://ss.redradios.net:8002/stream?type=.mp3"
"Radio Camino Santidad","http://audio.livecastnet.com:1290/stream"
"Radio Cultural TGN","https://stream.infinityhdstream.com/7054/stream"
"Radio Fabulosa 88.9 FM","http://s4.voscast.com:8908/Fabulosa_Capital"
"Radio FGER 1420 AM","https://aler.org:8445/fgerenlinea"
"Radio Guate digital","https://radioguatedigital.com/live"
"Radio Infinita","https://streams.radio.co/see730c7ab/listen"
"Radio Mesiánica","https://felovemesianica-radiofelove.radioca.st/stream"
"Radio Punto 90.5 Guatemala","http://stream.zeno.fm/qzhqyu07dkhvv"
"Radio San Pablo Rabinal","https://radiolatina.info/8052/stream"
"Radio Universidad","https://stream.zeno.fm/xqbz7b86a0quv"
"Radio Viva 95.3 Guatemala","https://stream.zeno.fm/uus2ugdadkhvv"
"Rhema Stereo","https://radio.fiberstreams.com:2000/stream/8710"
