"Name","URL"
"Apple FM","http://sc.apple-fm.net:9020/listen.pls"
"Fing Radio","https://bluesfan.stream.laut.fm/bluesfan?t302=2020-11-06_13-46-59&uuid=28a2f040-51e1-44fe-899f-3519cbd5d4e9"
"FM Belowground","https://listen.belowground.fm/listen/belowground_fm/radio.mp3"
"Hongkonger Station","https://s4.radio.co/s8adc4c466/listen"
"La French Radio Honk-Kong et Macao","https://listen.radioking.com/radio/333865/stream/382282"
"Metro Plus 1044 AM","http://162.220.162.10:8011/stream"
"Originalradio","https://stream.zeno.fm/rzwzgu0dd8zuv"
"Radio Disney Asia FM 100.7","https://listen.radioking.com/radio/453221/stream/508076"
"Radio Lantau","https://radio.dripfeed.net/listen/radiolantau/radio.mp3"
"RTHK Radio 1","http://stm1.rthk.hk/radio1"
"RTHK Radio 2","http://stm2.rthk.hk/radio2"
"ZENO FM 良友友音乐频道","https://stream.zeno.fm/t0v4uvwgc4zuv"
"ZENO FM 良友同行频道","https://stream.zeno.fm/2uvcyzjw38ivv"
"中山環保旅遊之聲","https://lhttp.qingting.fm/live/1278/64k.mp3"
"中山綜合廣播","https://lhttp.qingting.fm/live/1277/64k.mp3"
"台山電台","https://lhttp-hw.qtfm.cn/live/5022062/64k.mp3"
"夜空傳情","http://procyon.shoutca.st:8492/listen.mp3"
"大連少兒廣播","https://lhttp.qtfm.cn/live/1084/64k.mp3"
"大連都市之聲廣播","https://lhttp-hw.qtfm.cn/live/1086/64k.mp3"
"宗教_良友电台 第一台","https://listen.729ly.net:8001/ly729_a"
"深圳交通廣播","https://lhttp-hw.qtfm.cn/live/1272/64k.mp3"
"深圳新聞廣播","http://lhttp.qingting.fm/live/1270/64k.mp3"
"珠海環保經濟廣播","https://lhttp-hw.qtfm.cn/live/1275/64k.mp3"
"珠海綜合廣播","https://lhttp-hw.qtfm.cn/live/1274/64k.mp3"
"珠海資訊廣播","https://lhttp-hw.qtfm.cn/live/5021725/64k.mp3"
