"Name","URL"
"..:: CLUB MUSIC RADIO ::....:: 70s 80s 90s ::..","http://cmr-hosting.com:8030/stream?type=http&nocache=773949"
"..:: CLUB MUSIC RADIO ::....:: CRO HITS ::..","http://cmr-hosting.com:8060/stream?type=http&nocache=823456"
"..:: CLUB MUSIC RADIO ::....:: ExYU POP-ROCK ::..","http://cmr-hosting.com:8080/stream?type=http&nocache=13098"
"..:: CLUB MUSIC RADIO ::....:: Folk ::..","http://cmr-hosting.com:8010/stream?type=http&nocache=401572"
"..:: CLUB MUSIC RADIO ::....:: LOVE SONG ::..","http://cmr-hosting.com:8040/stream?type=http&nocache=869535"
"..:: CLUB MUSIC RADIO ::....:: TAMBURA ::..","http://cmr-hosting.com:8070/stream?type=http&nocache=646624"
"..:: RADiO LuDNiCA :: Original Croatian Internet Radio ::..","http://patmos.cdnstream.com:8222/stream?type=http&nocache=120427"
"Antena Zagreb Uživo","http://live.antenazagreb.hr:8002/"
"Banovina Turbo","https://audio.radio-banovina.hr:7010/stream"
"Bijelo-plavi radio","http://s8.iqstreaming.com:8028/stream"
"Braniteljski radio ""Nepokoreni grad""","http://s3.radio.co/se83499ee0/listen"
"bravo! kids","https://audio.social3.hr/listen/bravo_kids/stream?3367"
"City-radio 88.6","http://s8.iqstreaming.com:8058/stream"
"Club Music Radio - 70's 80's 90's","https://cmr-hosting.com:7003/stream/1"
"Club Music Radio - CRO HITS","https://cmr-hosting.com:7006/stream/1"
"Club Music Radio - Dance","https://cmr-hosting.com:7002/stream/1"
"Club Music Radio - FOLK","https://cmr-hosting.com:7001/stream/1"
"Club Music Radio - ITALO DISCO","https://cmr-hosting.com:7005/stream/1"
"Club Music Radio - LOVE SONG","https://cmr-hosting.com:7004/stream/1"
"Club Music Radio - TAMBURA","https://cmr-hosting.com:7007/stream/1"
"Club Music Radio Tambura","http://cmr-hosting.com:8070/"
"CMC Classic","http://radio-stream.cmc.com.hr:8100/autodj"
"CMC Dalmatina","http://radio-stream.cmc.com.hr:8040/autodj"
"CMC Festival","http://radio-stream.cmc.com.hr:8070/autodj"
"CMC Jugoton","http://radio-stream.cmc.com.hr:8020/autodj"
"CMC Kids","http://radio-stream.cmc.com.hr:8090/autodj"
"CMC Lagano","http://radio-stream.cmc.com.hr:8030/autodj"
"CMC Radio","http://radio-stream.cmc.com.hr:8001/autodj"
"CMC Rock","http://radio-stream.cmc.com.hr:8060/autodj"
"CMC Tambure","http://radio-stream.cmc.com.hr:8050/autodj"
"CMC Zabavni","http://radio-stream.cmc.com.hr:8085/autodj"
"Cro International DJ Radio","http://stream.zeno.fm/t47dykadrchvv"
"Hit Radio","http://s8.iqstreaming.com:8012/stream.mp3"
"Hit Rado Sinj","http://s8.iqstreaming.com:8012/listen.pls?sid=1"
"HKR","http://stream.hkr.hr:8000/hkr.mp3"
"HRT HR 1 - Prvi program","http://provisioning.streamtheworld.com/pls/PROGRAM1.pls"
"HRT HR 2","https://playerservices.streamtheworld.com/api/livestream-redirect/PROGRAM2.mp3"
"Hrvatski katolicki radio","https://stream.hkr.hr/hkr.mp3"
"Hrvatski Katolički Radio","https://stream.hkr.hr/hkr.mp3"
"Hrvatski radio - Jazz","https://provisioning.streamtheworld.com/pls/HR_JAZZ.pls"
"Hrvatski radio - Klasik","https://provisioning.streamtheworld.com/pls/HR_CLASSICS.pls"
"Hrvatski radio - Pop glazba","https://provisioning.streamtheworld.com/pls/HR_POP.pls"
"Hrvatski radio - Rock","https://provisioning.streamtheworld.com/pls/HR_ROCK.pls"
