"Name","URL"
" Győr+ Rádió ","https://stream.42netmedia.com:8443/sc_gyor1"
"103.9 rock","https://icast.connectmedia.hu/5301/live.mp3"
"Aktív Rádió","http://aktivradio.hu:8000/aktiv.mp3"
"Argentine Tango Radio","https://listen.argentinetangoradio.com/"
"Balaton Rádió","http://91.82.85.41:8200/"
"Balatonica","http://balatonica.hu:8000/stream_low"
"BALATONICA RADIO","http://balatonica.hu:8000/stream_high"
"Bartók Rádió","http://mr-stream.mediaconnect.hu/4742/mr3hq.mp3"
"Base FM","https://icast.connectmedia.hu/5401/live.mp3"
"BDPST ROCK -  192 kbit/s","https://bdpstrock.hu/live.mp3"
"BDPST ROCK -  320 kbit/s","https://bdpstrock.hu/live_320.mp3"
"BDPST ROCK -  96 kbit/s;","https://bdpstrock.hu/live_128.mp3"
"Best FM","http://stream.webthings.hu:8000/fm95-x-128.mp3"
"Best FM - Budapest","https://icast.connectmedia.hu/5101/live.mp3/"
"Best FM - Debrecen","http://stream.webthings.hu:8000/fm95-x-128.mp3"
"Best FM - Eger","https://icast.connectmedia.hu/5116/live.mp3"
"Best FM - Nyíregyháza","https://icast.connectmedia.hu/5115/live.mp3"
"Best FM - Pécs","https://icast.connectmedia.hu/5128/live.mp3"
"Best FM - Székesfehérvár","http://icast.connectmedia.hu/5113/live.mp3"
"Best FM - Szolnok","http://icast.connectmedia.hu/5112/live.mp3/"
"Best FM - Zalaegerszeg","http://icast.connectmedia.hu/5111/live.mp3/"
"Best FM Debrecen-Debrecen kedvenc rádiója!","http://stream.webthings.hu:8000/fm95-x-128.mp3"
"BestFM Debrecen","http://stream.webthings.hu:8000/fm95-x-128.mp3"
"Bias Radio","https://admin.biasradio.com/listen/bias_radio/live"
"Bithang Yoo Rádió","http://stream.diazol.hu:35160/live.mp3"
"Buddha FM","http://libretime.buddhafm.hu:4000/buddhafm"
"Callisto","http://188.165.11.30:4500/live.mp3"
"Callisto Radio","http://adas.poptarisznya.hu:4500/live.mp3"
"Campus Rádió FM90","https://stream.fm90.hu:8000/"
"Cegléd Rádió","http://stream.cegledradio.hu:4387/mp3"
"CEU Medieval Radio","http://137.74.85.85:7020/stream"
"Chiqui Radio","https://stream.zeno.fm/gvz27wezgghtv"
"Civil Radio","http://civilradio.hu:8000/listen.mp3"
"Civil Rádió","http://civilradio.hu:8000/stream"
"Club Dance Online","https://clubdance.online/stream.mp3"
"Club Dance Online - Retro","http://stream.clubdance.online:8000/retro"
"Cool FM","http://mediagw.e-tiger.net/stream/cfmhq"
"Cool FM - Goldie'S","http://mediagw.e-tiger.net:8000/stream/goldhq"
"Cool FM - kultX","http://mediagw.e-tiger.net/stream/krehq"
"Cool FM - Xbeat","http://mediagw.e-tiger.net/stream/xbeathq"
"Cool.FM DANCE 2000's","https://mediagw.e-tiger.net/stream/zc04?ver=209775"
"Cool.FM GIRL POWER","https://mediagw.e-tiger.net/stream/zc15?ver=58649"
"Cool.FM PARTY Hits","https://mediagw.e-tiger.net/stream/zc18?ver=975254"
"Cool.FM REMIX MUSIC","https://mediagw.e-tiger.net/stream/zc23?ver=266114"
"COOLFM (Classic) Rock","https://mediagw.e-tiger.net/stream/zc10"
"COOLFM 2000-es évek","https://mediagw.e-tiger.net/stream/zc03"
"COOLFM 2010-es évek","https://mediagw.e-tiger.net/stream/zc02"
"COOLFM 90-es évek","https://mediagw.e-tiger.net/stream/zc05"
"COOLFM Acoustic","https://mediagw.e-tiger.net/stream/zc12"
"COOLFM Best Hits EVER","https://mediagw.e-tiger.net/stream/zc11"
"COOLFM Bside/Alternative","https://mediagw.e-tiger.net/stream/zc16"
"COOLFM Chill","https://mediagw.e-tiger.net/stream/zc24"
"COOLFM Country","http://mediagw.viacomkft.hu:8000/stream/zc17"
"COOLFM Filmzenék","https://mediagw.e-tiger.net/stream/zc01?ver=753658"
"COOLFM Funky&Soul","https://mediagw.e-tiger.net/stream/zc25"
"COOLFM Hazai Kedvencek","https://mediagw.e-tiger.net/stream/zc19"
"COOLFM Jazz","https://mediagw.e-tiger.net/stream/zc13"
"COOLFM Karácsonyi Dalok","https://mediagw.e-tiger.net/stream/zc27"
"COOLFM Love Songs","https://mediagw.e-tiger.net/stream/zc28"
"COOLFM Nyári Slágerek","https://mediagw.e-tiger.net/stream/zc09"
"COOLFM Party","https://mediagw.e-tiger.net/stream/zc18"
"COOLFM Sportoláshoz","https://mediagw.e-tiger.net/stream/zc20"
"COOLFM World Music","https://mediagw.e-tiger.net/stream/zc26"
"COOLFM YouTube HOT HITS!","https://mediagw.e-tiger.net/stream/zc22"
"coronita fm","http://stream.zeno.fm/ktzdc7rf7f0uv"
"Csukás Meserádió","https://mr-stream.connectmedia.hu/4611/mr10.mp3"
"DANCE 90'S","https://mediagw.e-tiger.net/stream/zc06?ver=887687"
"Dance Wave Retro!","https://retro.dancewave.online/retrodance.mp3"
"Dance Wave!","https://dancewave.online/dance.mp3"
"DANCEable Radio","http://s9.myradiostream.com:35944/listen.pls?sid=1"
"Danubius","https://stream.danubiusradio.hu/danubius_320k"
"Danubius Rádió","https://stream.danubiusradio.hu/danubius_192k"
"disco diamond 2","http://discodiamond.radioca.st/stream"
"Disco Diamond Radio","https://ddr2020.radioca.st/stream"
"Diveky-radio-gramofon","http://178.238.223.39:8000/gramofon.m3u"
"Diveky-radio-klasszikusok","http://178.238.223.39:8000/klasszikusok.m3u"
"Diveky-radio-könnyűzene","http://178.238.223.39:8000/konnyuzene.m3u"
"Diveky-radio-madeinhungary","http://178.238.223.39:8000/madeinhungary.m3u"
"Diveky-radio-swing","http://178.238.223.39:8000/swing.m3u"
"Diveky-radio-táncdalok","http://178.238.223.39:8000/tancdalok.m3u"
"DomBRádiÓ-Online-Dombrád","http://dombradio.dyndns.tv:8000/live.mp3"
"Drop Now!","https://nowradiok.eu/listen/dropnow/dropnow"
"Enying FM Hungary","http://radioe.net:8080/efm_hd"
"Euphonic Moments","http://5.189.174.137:8000/Euphonicmoments_radio256kbps.mp3"
"Euro Music Radio","https://a1.asurahosting.com:9480/radio.mp3"
"Ez az a nap! rádió","https://www.radioking.com/play/ez-az-a-nap-radio"
"FM 103.9 A Rock","https://stream.rockradio.hu/"
"FM90 Campus Rádió","http://stream.fm90.hu:8000/"
"Folkrádio","https://stream.folkradio.hu/folkradio.mp3"
