"Name","URL"
"_Wawa Radio 101.2 FM","https://xn--tmz.xn--6frz82g/streams"
"103.3 FM - Radio Swadesi FM Kebumen","https://stream.swadesifm.com/radio/8100/radio.mp3"
"104.6 FM - MNC TRIJAYA","https://proxy.roov.id/?name=http://202.147.199.101:8000/stream.nsv"
"106.6 FM - V Radio","https://proxy.roov.id/?name=http://202.147.199.100:8000/stream.nsv"
"106.8 FM - Radio Amatron 3 FM Purworejo","http://51.79.167.17:7026/stream.mp3"
"1921 Baliheadbanger Music","http://stream.zeno.fm/vbyq86vnsp8uv"
"80's Radio Hits","https://stream.zeno.fm/05eu8medd3quv"
"90's Rock ","https://stream.zeno.fm/ti7cqx6fxb8vv"
"95.9 smart FM jakarta","https://cast2.my-control-panel.com/proxy/radioso3/stream"
"96,3 Medan FM","https://sc.medanfm.id/"
"ABS FM","https://stream.zeno.fm/tezbzekzekhvv"
"Akurat FM Solo","http://c1.siar.us:9350/stream"
"Alfa Radio (Indonesia)","https://ssg.streamingmurah.com:8200/"
"Alternatif radio jakarta","https://void.idserverhost.com/8016/stream"
"Andika FM Kediri","http://andikafm.onlivestreaming.net:1057/stream"
"ARB FM JAKARTA","https://void.idserverhost.com/8018/stream"
"Bahtera Yudha FM Surabaya","http://streaming.bahterayudhafm.com:8050/rojer.mp3"
"Bass FM 93.2 Salatiga","http://live.bassfm.id/"
"BBM FM","https://stream-160.zeno.fm/2fsyhav1tfeuv?zs=3Y07r-9RRBmH4IikQo27fA"
"Beat Radio Bali","https://c1.siar.us/radio/8030/stream"
"Bens Radio 106.2 FM Betawi Punye Gaye","https://stream-155.zeno.fm/047dgsp3v68uv?zs=Sy-aO_a5Tbu7qLY6zQnPtQ"
"Big 90's ","https://stream.zeno.fm/qmqe8k5e74zuv"
"Brava Radio","https://stream.radiojar.com/5k7t0rq3bnzuv"
"Brava Radio 103.8 FM Jakarta","http://stream.radiojar.com/5k7t0rq3bnzuv"
"CCD Radio","https://stream.zeno.fm/g4yatp47sm0uv"
"Citra FM Wonosobo","http://i.klikhost.com:8602/"
"City Radio Mandarin","https://digital.cityradio.id/"
"CityRadio 959 FM","https://sc.cityradio.id/"
"Cosmic Indo","https://stream.zeno.fm/jw6ys87h2dguv"
"Cosmo Radio 101.9 FM Bandung","http://scg.streamingmurah.com:8074/stream"
"Dahlia Bandung 101.5 FM","https://svara-stream.radioddns.net/bandung_dahliafm"
"DANGDUT","https://stream.zeno.fm/sgvq5xniobhuv"
"Dangdut Lawas","https://stream.zeno.fm/f1b625au2bruv"
"Dangdut2","https://stream.zeno.fm/vwhplynnpfjtv"
"Davin FM","https://stream.zeno.fm/xnr3vhxoqhluv"
"DJ BARU","https://stream.zeno.fm/iwcyhq56nwiuv"
"EL JHON FM Palembang","http://103.28.149.117:8032/stream"
"elshinta  jakarta","https://stream-ssl.arenastreaming.com:8000/jakarta"
"Elshinta FM Jakarta","https://stream-ssl.arenastreaming.com:8000/jakarta"
"Etika Radio Ponorogo","https://stream.zeno.fm/tbbr1aw6m5zuv"
"Fajri FM","https://ars.mitradio.com:8000/radio.mp3"
"Firza MPC Radio","https://mpc1.mediacp.eu/stream/firzaradio"
"Fit Radio Bandung","http://202.137.4.147:8050/"
"Geboy Dangdut","https://stream.zeno.fm/kfp2ghnat18uv"
"Genta FM Bali","http://stream.werdimedia.com:8200/"
"Golden Memories","https://stream.zeno.fm/xg7mcgf1bf9uv"
"GRACE ALONE MINISTRY SURABAYA","http://u.klikhost.net:8000/gracealone"
"Hang 106 FM","http://185.47.62.52:8000/listen.mp3/stats?sid=1&json=1&callback=jQuery1124046759743595637016_1677813104799&_=1677813104800"
"HANG 106FM","http://185.47.62.52:8000/listen.mp3"
"Harmoni FM Blitar","http://cbnradio.streamguys1.com/praise-128K"
"Hits Unikom Radio","https://streaming.hitsunikomradio.com/"
"Imelda FM","https://server.radioimeldafm.co.id:8030/imeldafm"
"Indi radio Sidoarjo","https://stream.zeno.fm/yfr5xup9kibtv"
"Iradio Jogja 88.7 FM","http://n08.radiojar.com/hnf2cbv80k8uv?listening-from-radio-garden=1686417396"
