"Name","URL"
"8radio","https://edge4.audioxi.com/8RADIO"
"8Radio","https://stream.rcast.net/66127"
"92.5 Phoenix FM","https://audio-edge-ey5nr.ams.s.radiomast.io/cfee4afe-9f7e-4902-84bd-807f6b5d1c02"
"98FM Throwback","https://live-bauerie.sharp-stream.com/98"
"ABC Fifties (50's)","https://cast1.torontocast.com:1085/stream?x=1722692554939"
"All 80s Jukebox","http://centauri.shoutca.st:8035/"
"C103 North","http://wg.cdn.tibus.net/C103"
"C103 West","https://wg.cdn.tibus.net/C103West"
"CFC FM","https://visual.shoutca.st/stream/crcfm"
"Christmas FM","https://christmasfm.cdnstream1.com/2547_128.mp3?listenerId=esAdblock0724411&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1671316064&aw_0_req.gdpr=false"
"Christmas FM Classical","https://christmasfm.cdnstream1.com/2549_128.mp3?listenerId=94d1ac3bf877b65e4e17cd7e9bfec132&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1692448390"
"Christmas FM Classical & Carols","https://christmasfm.cdnstream1.com/2549_128.mp3?"
"Christmas FM Classics","https://christmasfm.cdnstream1.com/2550_128.mp3?listenerId=94d1ac3bf877b65e4e17cd7e9bfec132&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1692448283"
"Christmas FM Ireland","https://christmasfm.cdnstream1.com/2547_128.mp3?listenerId=esTrackblock097016&aw_0_1st.playerid=esPlayer&aw_0_1st.skey=1692448019"
"Circle Of White Light Radio","https://eu4.fastcast4u.com/proxy/cowlradio?mp=/1"
"Clare FM","http://edge.audioxi.com/CLAREFM"
"Classic Hits 4FM","http://stream.audioxi.com/CLASSIC"
"Clonmellon Community Radio","https://eu8.fastcast4u.com/proxy/ccr?mp=/1"
"Club FM Dublin","https://c6.radioboss.fm:8225/stream"
"Connemara FM ","https://audio-edge-ey5nr.ams.s.radiomast.io/5008371a-b8fd-4745-a5a3-e17837dad90c"
"Cork 96 FM","http://wg.cdn.tibus.net/96fm"
"DEEP HOUSE RADIO","https://streaming.shoutcast.com/dhr?1728967549574"
"Deise Christmas Radio","https://drn.radioca.st/stream"
"Dublin Digital Radio","https://dublindigitalradio.out.airtime.pro:8000/dublindigitalradio_a"
"Dublin's 98FM","https://stream.audioxi.com/98"
"Dublin's FM104","https://wg.cdn.tibus.net/fm104MP3128"
"Dublin's Q102 80s","http://wg.cdn.tibus.net/Q10280s"
"Dundalk FM","http://80.249.249.245:8000/?1485109331489"
"East Coast FM","http://sirius.shoutca.st:8461/"
"East Coast FM Wicklow","http://sirius.shoutca.st:8461/"
"Easy Radio Ireland","https://easyradio.radioca.st/listen.pls"
"Easy Radio Ireland, Easy Mix","https://streaming.exclusive.radio/uber/easymix/icecast.audio"
"Finn Valley FM","http://visual.shoutca.st:8000/"
"Flirt FM 101.3","http://streams.radiomast.io/89e24041-fdab-4b2d-95bd-830f5bfda900"
"FM104","https://wg.cdn.tibus.net/fm104MP3128?aw_0_1st.playerId=wireless-website&listenerid=79ac2cc9cb7616aca4d7286d94dd9291&awparams=companionAds%3Atrue&aw_0_req.gdpr=false&aw_0_req.userConsentV2=undefined&aw_0_1st.octave_permutive=%5B%2282977%22%5D&_=472417"
"Free FM Ireland","https://rocafmadrid.radioca.st/stream"
"Freedom FM","https://edge3.audioxi.com/FREEDOMFM"
"Funky Ass Tunes","http://ams1.reliastream.com:7046/funkyasstunes"
"Galway Bay FM","https://wg.cdn.tibus.net/galwaybay.mp3"
"GEM New Wave Radio","http://95.217.34.48:8928/stream"
"Gem Radio New Wave","https://gemradionw.radioca.st/stream.nsv"
"GOCOM Radio","https://stream-57.zeno.fm/6rx2z8u2um0uv?zs=1dODRfWFRzyrlJXub0Ru6Q"
"HeadWax Radio","https://headwaxradio.radioca.st/stream"
"Heartbeat FM","https://cast5.magicstreams.gr:2199/tunein/heartbeat.pls"
"Highland Radio","http://www.highlandradio.com/highland.m3u"
"iRadio North West","https://stream.audioxi.com/IRADNW"
"Irish Country Music Radio","http://46.28.49.164:7502/"
"Irish Pub Radio","http://solid24.streamupsolutions.com:8026/stream"
"KCLR 96FM","http://216.119.152.213:8000/stream"
"KCLR 96FM Carlow Kilkenny","http://216.119.152.213:8000/stream"
"Kfm 97.6","https://live-bauerie.sharp-stream.com/KFM?_=668840"
"Liffey Sound 96.4 FM","http://stream.liffeysoundfm.ie:8000/listen.pls.mp3"
"Limerick's Live 95FM","https://wg.cdn.tibus.net/Live95fm"
"Live95FM","https://wg.cdn.tibus.net/Live95fm?aw_0_1st.playerId=wireless-website&listenerid=48213c18339e02bbc93dc6ed298c2192&awparams=companionAds%3Atrue&aw_0_req.gdpr=false&aw_0_req.userConsentV2=undefined&_=796350"
"LiveIreland","http://192.111.140.11:8058/stream"
"LiveIreland Channel 1","http://192.111.140.11:8058/stream"
"LMFM","https://wg.cdn.tibus.net/LMFM?aw_0_1st.playerId=wireless-website&listenerid=94d1ac3bf877b65e4e17cd7e9bfec132&awparams=companionAds%3Atrue&aw_0_req.gdpr=false&aw_0_req.userConsentV2=undefined&_=284507"
"LMFM Country","http://gbradio.cdn.tibus.net/LMFMCountry?aw_0_1st.platform=website&aw_0_1st.playerid=wireless-website&aw_0_req.gdpr=true&aw_0_awz.listenerid=#ADVERTISINGID&_=223438"
"Midwest Radio [MP3]","http://direct.sharp-stream.com/midwestfmie.mp3"
"MixLive.ie - InsomniaFM","http://635.cloudrad.io:8092/stream"
"MixLive.ie - Progressive, Tech House","http://2.58.194.54:8870/progressive-tech"
"MixLive.ie - Psybient Sunset","http://2.58.194.54:8876/psybient-sunset"
"MPB Radio 1","https://radiozender.mpbnetwerken.nl/radio1.mp3"
"MPB Radio 2","https://radiozender.mpbnetwerken.nl/radio2.mp3"
"MPB Radio 2 90s and 00s","https://radiozender.mpbnetwerken.nl/radio2-90s00s.mp3"
"MPB Radio 2 Ulster","https://radiozender.mpbnetwerken.nl/radioulster.mp3"
"Near FM","http://stream11.shoutcastsolutions.com:8114/stream"
"NEAR FM","http://stream11.shoutcastsolutions.com:8114/stream"
"Near FM","https://nearfm-radiohosting.radioca.st/stream.mp3"
"NearFM","http://stream11.shoutcastsolutions.com:8114/stream"
"Newstalk","https://edge.audioxi.com/NT"
"Newstalk Ireland","https://edge.audioxi.com/NT"
"northern sound","http://www.radiofeeds.net/playlists/audioxi.pls?station=NORTHERNSOUND"
