"Name","URL"
".assalam","https://backup.qurango.net/radio/ahmad_khader_altarabulsi"
"#joint radio Beat Trance","https://jointil.com/stream-beat"
"#joint radio Blues Rock","https://jointil.com/stream-blues"
"#joint radio Reggae","https://jointil.com/stream-reggae"
"#Joint Radio Reggae","https://jointil.com/stream-reggae"
"#Radio CS","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"91FM","https://cdn.cybercdn.live/Lev_Hamedina/Audio/icecast.audio"
"94fm רדיו גלי ישראל","https://cdn.cybercdn.live/Galei_Israel/Live/icecast.audio"
"Agape FM","https://s3.radio.co/s43b65d791/listen"
"AudioVersity","https://1062onair.runi.ac.il/idc123.mp3"
"AVIVmedia","https://equinox.shoutca.st/tunein/avivmediafm.pls"
"Galei Zahal","http://glzwizzlv.bynetcdn.com/glz_mp3"
"Galgalatz 91.8 FM","https://glzicylv01.bynetcdn.com/glglz_mp3"
"Glglz","https://api.bynetcdn.com/Redirector/glz/glglz/ICE-LIVE"
"Glz","http://glzwizzlv.bynetcdn.com/glz_mp3?awCollectionId=misc&awEpisodeId=glz"
"GUITAR - J. WILLIAMS ","http://drive.uber.radio/uber/crjohnwilliamsguitarist/icecast.audio"
"Israel National News - Arutz Sheva","https://dfw.audio-stream.com/proxy/israelne?mp=/live_live"
"Israel News Talk Radio","https://dfw.audio-stream.com/proxy/israelne?mp=/live_live"
"Ivri 6","https://streaming.radio.co/sa06221901/listen"
"Jewish Music Stream","https://stream.jewishmusicstream.com:8000/"
"Kabbalah Fr","http://icecast.kab.tv/live1-spa-574bcfd5.mp3"
"KAN 88","http://kanliveicy.media.kan.org.il/icy/749623_mp3?providername=tunein"
"Kan 88 ","http://kanliveicy.media.kan.org.il/icy/kan88_mp3"
"Kan Gimel","http://kanliveicy01.bynetcdn.com/icy/kangimmel_mp3"
"KAN gimel (real)","http://kanliveicy.media.kan.org.il/icy/749625_mp3"
"Kan Israel 88 FM","http://kanliveicy.media.kan.org.il/icy/kan88_mp3"
"Kan Israel Reshet Moreshet 92.5 FM","http://kanliveicy.media.kan.org.il/icy/kanmoreshet_mp3"
"Kan Israel Tarbut","http://kanliveicy.media.kan.org.il/icy/kantarbut_mp3"
"Kan Kol HaMusica","http://kanliveicy.media.kan.org.il/icy/kankolhamusica_mp3"
"Kan Reka","http://kanliveicy01.bynetcdn.com/icy/kanreka_mp3"
"Kan Tarbut","https://playerservices.streamtheworld.com/api/livestream-redirect/KAN_TARBUT.mp3?dist"
"kan.org.il, reshet-bet","http://kanliveicy.media.kan.org.il/icy/kanbet_mp3"
"Kcm FM Channel 01 Live","https://media2.93fm.co.il/livemusic"
"kol hai","https://live.kcm.fm/livemusic"
"kzradio","https://kzradio.mediacast.co.il/kzradio_live/kzradio/icecast.audio"
"LoveIsrael","https://liveradio.co.il/radiolove"
"mizrahit radio","https://mzr.mediacast.co.il/mzradio"
"Nostalgia","http://194.213.4.197:8000/listen.pls?sid=1"
"Radio 103FM","https://cdn.cybercdn.live/103FM/Live/icecast.audio"
"Radio Agape Israel","https://s3.radio.co/s43b65d791/listen"
"Radio Breslev Carmiel","https://securestreams6.autopo.st:2294/mp3"
"Radio El Shofar","http://ssradioonline.com:8444/autodj"
"radio lev hamedina","https://cdn.cybercdn.live/Lev_Hamedina/Audio/icecast.audio"
"Radio Lev Hamedina","http://91fm.streamgates.net/Lev91Fm"
"Radio Love Israel ","http://liveradio.co.il/radiolove"
"Radio Ran","http://185.80.220.12:8047/live"
"RadioPlus","http://s3.yesstreaming.net:7049/stream"
"Radios 100FM   רדיוס","https://cdn.cybercdn.live/Radios_100FM/Audio/icecast.audio"
"reka","http://kanliveicy.media.kan.org.il/icy/kanreka_mp3"
"Лучшее Радио","http://live.cdnwz.net/thebest"
"Первое радио 89.1FM","https://cdn.cybercdn.live/Pervoia/Audio/icecast.audio"
"радио EL-HI","https://a4.radioheart.ru:9002/RH6003"
"גלגלצ - Glglz","http://glzwizzlv.bynetcdn.com/glglz_mp3"
"גלי ישראל Galey Yisrael","https://cdn.cybercdn.live/Galei_Israel/Live/icecast.audio"
"גלצ","http://glzwizzlv.bynetcdn.com/glz_mp3?awCollectionId=misc&awEpisodeId=glz"
"הקצה - Hakatze","http://kzradio.mediacast.co.il/kzradio_live/kzradio/icecast.audio"
"כאן מורשת - Kan Moreshet","https://kanliveicy.media.kan.org.il/icy/kanmoreshet_mp3"
"נושמים מזרחית - Noshmim Mizrahit","http://www.rs.mizrahit.fm:7777/"
"קבלה לעם אנגלית - Kabbalah eng","http://icecast.kab.tv/live1-eng-574bcfd5.mp3"
"קבלה לעם עברית - Kabbalah heb","http://icecast.kab.tv/live1-heb-574bcfd5.mp3"
"קבלה לעם צרפתית - Kabbalah fre","http://icecast.kab.tv/live1-fre-574bcfd5.mp3"
"קבלה לעם רוסית - Kabbalah rus","http://icecast.kab.tv/live1-rus-574bcfd5.mp3"
"קול ברמה - Kol Barama","http://kb.cdnwz.net/kol_barama"
"קול חי - Kol Chai","https://media2.93fm.co.il/live-new"
"קול חי מיוזיק - Kol Chai Music","https://media2.93fm.co.il/livemusic"
"רדיו יאסו - Radio Yasoo","http://radio-yasoo.ath.cx:7500/"
"רדיו מזרחית","https://mzr.mediacast.co.il/mzradio"
"רשת ג בדיקה","http://kanliveicy.media.kan.org.il/icy/kangimmel_mp3"
"راديو مكان  - Kan Israel Makan","http://kanliveicy.media.kan.org.il/icy/makan_mp3"
