"Name","URL"
"24 Hours Kirtan Radio","https://server.24hourkirtan.fm:8000/128k.mp3"
"2B! Radio Sangam Devi Maa","http://ibadat.out.airtime.pro:8000/ibadat_a"
"2B! Radio Sangam Ganesha","http://radio2bindia.out.airtime.pro:8000/radio2bindia_a"
"2B! Radio Sangam Guruvar","http://iskon2b.out.airtime.pro:8000/iskon2b_a"
"2B! Radio Sangam Krishna","http://millenniumhits.out.airtime.pro:8000/millenniumhits_a"
"2B! Radio Sangam Meditation","http://djbeat.out.airtime.pro:8000/djbeat_a"
"2B! Radio Sangam Shiva","http://hot.out.airtime.pro:8000/hot_a"
"2B! Radio Sangam Shri Ram","http://dard.out.airtime.pro:8000/dard_a"
"60sforever","https://stream.zeno.fm/btrks671ynhvv"
"80’s Tamil Hits","https://stream.zeno.fm/48w230kx8vzuv.aac"
"80s-tamil-hits","https://stream.zeno.fm/48w230kx8vzuv.aac"
"89-4-tamil-fm","https://centova.aarenworld.com/proxy/894tamilfm/stream"
"89.4 Tamil FM","https://centova.aarenworld.com/proxy/894tamilfm/stream"
"90’s Tamil Melodies","https://stream.zeno.fm/tqnws2eafwzuv.aac"
"90s-tamil-melodies","https://stream.zeno.fm/tqnws2eafwzuv.aac"
"90sonceagainradio","https://stream.zeno.fm/rm4i9pdex3cuv"
"986malayalamradio","https://stream.zeno.fm/512rbf1e3qzuv"
"a1tamilradio","https://ec3.yesstreaming.net:1190/stream"
"A9 Radio","https://a9radio1-a9media.radioca.st/stream"
"a9-radio","https://a9radio1-a9media.radioca.st/stream"
"a9radio","https://a9radio1-a9media.radioca.st/stream"
"a9radionewhits","https://a9newhits-a9media.radioca.st/stream"
"a9radiooldhits","https://a9oldhits-a9media.radioca.st/stream"
"Aaha Radio 91.9 FM","https://raw.githubusercontent.com/himalayasingh/music-player-1/master/music/2.mp3"
"aaha-radio","https://s2.radio.co/s3801784f1/listen"
"aahafmradio","http://s2.radio.co/s3801784f1/listen"
"aakashvani","https://audio-edge-fvq45.ams.d.radiomast.io/3ccc1156-fcf8-4ba7-9a0c-28e3a465e1ae?listening-from-radio-garden=1607152226837"
"Aap ki awaz  up","http://stream.zeno.fm/spm0t8gq45quv"
"aasmanradio","https://aasman_radio.ice.infomaniak.ch/aasmanradio.mp3"
"aavai-fm","https://stream-160.zeno.fm/kzd2e3tx24zuv?zs=oZi21YHhSm-4B0Ud_PN53w"
"AB DIGITAL","http://stream.zeno.fm/as9h7v04kuhvv"
"abctamil","https://eu8.fastcast4u.com/proxy/ailevdcu?mp=/"
"Abee Radio","https://abee.radioca.st/stream"
"abeeradio","https://abee.radioca.st/stream"
"abinayamfm","https://usa11.fastcast4u.com/proxy/ajaydk?mp=/"
"ada-ceylon-fm","https://stream.zeno.fm/c32gn1eas2zuv"
"adirai-fm-90-4","https://listen.radioking.com/radio/188161/stream/230320"
"adiraifm","https://listen.radioking.com/radio/188161/stream/230320"
"Agaramuthalaa FM","https://stream.zenolive.com/rc739wuvra0uv.aac"
"Agra Radio","https://stream.zeno.fm/m1krtxpk11zuv"
"AIR Almora","https://air.pc.cdn.bitgravity.com/air/live/pbaudio122/playlist.m3u8"
"AIR Alwar","https://air.pc.cdn.bitgravity.com/air/live/pbaudio153/playlist.m3u8"
"AIR Amaravati","https://air.pc.cdn.bitgravity.com/air/live/pbaudio151/playlist.m3u8"
"AIR Ballari","https://air.pc.cdn.bitgravity.com/air/live/pbaudio228/playlist.m3u8"
"AIR Bhawanipatna","https://air.pc.cdn.bitgravity.com/air/live/pbaudio120/playlist.m3u8"
"AIR Bikaner","https://air.pc.cdn.bitgravity.com/air/live/pbaudio053/playlist.m3u8"
"AIR Hospet","https://air.pc.cdn.bitgravity.com/air/live/pbaudio184/playlist.m3u8"
"AIR Jalandhar","https://air.pc.cdn.bitgravity.com/air/live/pbaudio134/playlist.m3u8"
"AIR Jeypore","https://air.pc.cdn.bitgravity.com/air/live/pbaudio112/playlist.m3u8"
"AIR Karwar","https://air.pc.cdn.bitgravity.com/air/live/pbaudio123/playlist.m3u8"
"AIR Kendujhar","https://air.pc.cdn.bitgravity.com/air/live/pbaudio166/playlist.m3u8"
"AIR Madikeri","https://air.pc.cdn.bitgravity.com/air/live/pbaudio068/playlist.m3u8"
"AIR Mahanadi Sambalpur","https://air.pc.cdn.bitgravity.com/air/live/pbaudio182/playlist.m3u8"
"AIR Mangalore","https://air.pc.cdn.bitgravity.com/air/live/pbaudio073/playlist.m3u8"
"AIR Mevad Kandva","https://air.pc.cdn.bitgravity.com/air/live/pbaudio143/playlist.m3u8"
"AIR Mysore 100.6 FM","https://air.pc.cdn.bitgravity.com/air/live/pbaudio177/playlist.m3u8"
"AIR Mysuru","https://air.pc.cdn.bitgravity.com/air/live/pbaudio177/playlist.m3u8"
"AIR Punjabi","http://air.pc.cdn.bitgravity.com/air/live/pbaudio138/playlist.m3u8"
"AIR Puri FM","https://air.pc.cdn.bitgravity.com/air/live/pbaudio100/playlist.m3u8"
"AIR Raichur","https://air.pc.cdn.bitgravity.com/air/live/pbaudio198/playlist.m3u8"
"AIR RAINBOW FM KOCHI 107.5","http://stream.zeno.fm/zcxh6wkva18uv"
"AIR Rourkela","https://air.pc.cdn.bitgravity.com/air/live/pbaudio215/playlist.m3u8"
"AIR Sasaram","https://air.pc.cdn.bitgravity.com/air/live/pbaudio075/playlist.m3u8"
"AIR Satara ","https://air.pc.cdn.bitgravity.com/air/live/pbaudio076/playlist.m3u8"
"AIR Shimhapuri Kakupalli FM","https://air.pc.cdn.bitgravity.com/air/live/pbaudio168/playlist.m3u8"
"AIR SHIMLA","https://air.pc.cdn.bitgravity.com/air/live/pbaudio043/playlist.m3u8"
"AIR Srinagar","https://air.pc.cdn.bitgravity.com/air/live/pbaudio136/playlist.m3u8"
"AIR Vijayapur","https://air.pc.cdn.bitgravity.com/air/live/pbaudio145/playlist.m3u8"
"AIR Vijayapura","https://air.pc.cdn.bitgravity.com/air/live/pbaudio145/playlist.m3u8"
"airaadilabad","https://air.pc.cdn.bitgravity.com/air/live/pbaudio218/playlist.m3u8"
"airmysore","https://air.pc.cdn.bitgravity.com/air/live/pbaudio177/playlist.m3u8"
"airpunjabi","https://air.pc.cdn.bitgravity.com/air/live/pbaudio138/playlist.m3u8"
"airtirupati","https://air.pc.cdn.bitgravity.com/air/live/pbaudio144/playlist.m3u8"
"airvisakhapatnam","https://air.pc.cdn.bitgravity.com/air/live/pbaudio080/playlist.m3u8"
"airwarangal","https://air.pc.cdn.bitgravity.com/air/live/pbaudio154/playlist.m3u8"
"Ajmer Radio","https://stream.zeno.fm/yftb93nbay8uv"
"akaram-radio","https://globalwebmusic.com/akaram.mp3"
"akaramradio","https://globalwebmusic.com/akaram.mp3"
"Akash Radio leeds","https://c2.radioboss.fm:8276/stream"
"akashradioleeds","https://c2.radioboss.fm:8276/stream"
"Akashvani AIR FM Murshidabad","https://air.pc.cdn.bitgravity.com/air/live/pbaudio169/playlist.m3u8"
"Akashvani Dharamshala 103.4 FM","https://air.pc.cdn.bitgravity.com/air/live/pbaudio165/playlist.m3u8"
"akashvanimadikeri","https://air.pc.cdn.bitgravity.com/air/live/pbaudio068/playlist.m3u8"
"akashvanimangalore","https://air.pc.cdn.bitgravity.com/air/live/pbaudio073/playlist.m3u8"
"Al Mallu FM","https://stream.zeno.fm/nwmetttbqs8uv"
"american-tamil-radio","https://cp11.serverse.com/proxy/hgsmgluv?mp=/stream"
"americantamilradio","https://cp11.serverse.com/proxy/hgsmgluv?mp=/stream"
"Amlisten","https://stream.zeno.fm/yf5p1bya1feuv"
"AmListen","https://stream.zeno.fm/yf5p1bya1feuv"
"Amlisten","https://stream-164.zeno.fm/yf5p1bya1feuv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJ5ZjVwMWJ5YTFmZXV2IiwiaG9zdCI6InN0cmVhbS0xNjQuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6InY5ZFhGRklhUTN5U1VFOFYtOEhOSlEiLCJpYXQiOjE"
"Amlisten radio","https://stream-164.zeno.fm/yf5p1bya1feuv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJ5ZjVwMWJ5YTFmZXV2IiwiaG9zdCI6InN0cmVhbS0xNjQuemVuby5mbSIsInJ0dGwiOjUsImp0aSI6InY5ZFhGRklhUTN5U1VFOFYtOEhOSlEiLCJpYXQiOjE"
"amorfm","https://amorfm_192.streampartner.nl/stream"
"amrradiokannada","https://stream.zeno.fm/7g8axtgtsg0uv"
"Ananda Marga FM","https://stream-151.zeno.fm/r5dxv34smm0uv?zs=-uOwHmM8Tt-OWY6boDO8kA"
"Ananda Marga Pracharaka Samgha","https://stream-152.zeno.fm/216zaqk88a0uv?zs=-fqdY-MsRiGgFdlBNEsYvA"
"anantradio","https://node-27.zeno.fm/rzuke118e3quv?rj-ttl=5&rj-tok=AAABcTlCgAwAy6eEPdjo1Hgv7g"
"Anbu FM Hindi","https://stream.zeno.fm/u7yaqq493v8uv"
"Anbu FM Kannada","http://stream.zeno.fm/45f9c2byfy8uv"
"Anbu FM Malayalam","https://stream.zeno.fm/8ca40byv4x8uv"
"anbu-fm","https://stream.zeno.fm/c2p4f1np4bruv"
"Annai FM","http://stream.zeno.fm/ewuo8mhb9zyvv"
"annaifm","https://stream.zeno.fm/xuqoqfdtjcquv"
