"Name","URL"
". Al quran radio ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
". القارئ محمد أيوب ","https://qurango.net/radio/mohammed_ayyub"
".. مختصر التفسير ","https://qurango.net/radio/mukhtasartafsir"
"Al rasheed fm","https://streaming.shoutcast.com/alrasheed-fm?1719771692024"
"Al-bilad Radio/Yaqoubi","https://streamer.radio.co/sb38bf6e66/listen"
"Alseraj Radio Islam","https://eu4.fastcast4u.com/proxy/aabdul00?mp=/1"
"Alseraj Radio Quran","http://192.99.170.8:5550/stream"
"Ankawa","http://178.32.146.187/proxy/radioankawa?mp=/1/"
"Babylon FM","https://eu7.fastcast4u.com/proxy/babylonfm"
"Darusalam Radio","https://streams.radio.co/s0975ec186/listen"
"FM المستقبل","https://edge.mixlr.com/channel/vnvcj"
"Hawa Dijlah FM  راديو هوا دجلة","https://listen.radioking.com/radio/96766/stream/136030"
"Kurdistan 24","https://audio-edge-3mayu.fra.h.radiomast.io/04b1ce4c-24f2-4172-b756-065832ef78bf"
"Qaladshlama","https://s7.voscast.com/cdn/?k=641c8eaef4209&m=stream1679593139317/1"
"Radio Duhok FM","https://stream-149.zeno.fm/unwq3jdyhmbuv"
"radio maria iraq","http://dreamsiteradiocp4.com:8046/stream"
"Radio Shanasheel ","https://stream-152.zeno.fm/a33ka0d94p8uv"
"Radyo  Şirvan Perwer","https://stream-156.zeno.fm/x0xhw6c6g2zuv?zs=AfL9IRdsQ_qHIebZBo-9GA"
"Rudaw News Radio","https://l3.itworkscdn.net/itwaudio/9006/stream"
"Shafaq radio","https://radio.shafaq.com/radio"
"SumerFm Iraq","https://l3.itworkscdn.net/itwaudio/9012/stream"
"Turkmen FM  تركمان إف إم","https://radyo1.radyo-dinle.tc/8284/stream"
"VOA Kurdish","https://n06.radiojar.com/gt792vas92quv?rj-ttl=5&rj-tok=AAABgDatPpQAmtfEqOpXq3bq1Q"
"Waar Radio Official Stream","https://c2.radioboss.fm:18564/stream"
