"Name","URL"
" Radio Navahang","https://navairan.com/stream.nsv"
"..mohammed_ayyub","https://qurango.net/radio/mohammed_ayyub"
".al quran radio ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"caltexmusic","http://n13.radiojar.com/cp13r2cpn3quv?rj-ttl=5&rj-tok=AAABeB5OHJQA07FIiDdZAZNHWw"
"enationFM","http://dal4.ir.enationfm.stream:8308/"
"Faz","http://www.radiofaaz.com:8000/radiofaaz"
"faz","http://voa-19.akacast.akamaistream.net/7/309/322031/v1/ibb.akacast.akamaist"
"go","https://stream.zeno.fm/v5kxmagseg0uv"
"hamsafar","http://stream.radiojar.com/pyea7q9h5ehvv.m3u"
"Iran International (HTTPS stream)","https://stream.radiojar.com/iintl_c"
"iraninternational","https://radio.iraninternational.app/iintl_c"
"parsa","http://parsa.icdndhcp.com:18000/stream"
"Radio Darbast","http://live.radiodarbast.com:8443/stream.mp3"
"Radio Eram","http://37.59.47.192:8200/stream.mp3"
"Radio Faaz","https://free.rcast.net/230792"
"Radio Iran International","https://radio.iraninternational.app/iintl_c"
"Radio Khatereh","https://servidor22-5.brlogic.com:7160/live?source=website"
"Radio Mojahed - رادیو مجاهد","https://s2.radio.co/s830691c74/listen"
"Radio Mojdeh","http://ic2326.c1261.fast-serv.com/rm128"
"Radio Mojdeh - Iranian Farsi/Persian Christian music and talk","https://ic2326.c1261.fastserv.com/rm128"
"Radio Sarcheshme","http://sarcheshmeh.icdndhcp.com:18452/stream"
"RadioSimorgh","https://stream.zeno.fm/jl8n7thgcdftv"
"RadioSimorgh Authentic Iranian music","https://stream.zeno.fm/9svfnobkrxrvv"
"RadioYar","https://shoutcast.glwiz.com/RadioYAR.mp3"
"آونگ کلاپ","https://stream.zeno.fm/fpabqr8pd9zuv"
"امبدد","http://auds1.intacs.com/adorationgospelfm"
"ایران‎  Radio Liberty (Iran) (official stream)","https://stream.radiojar.com/cp13r2cpn3quv"
