"Name","URL"
"	Radio Margherita ","https://streaming.radiomargherita.com/stream/radiomargherita"
" # 100 NU-DISCO CENTRAL RADIO","https://stream.zeno.fm/jqhhzffjynbuv"
" 50s 60s RETRO HITS","https://stream.zeno.fm/pxzwykxbluitv"
" Radio 70 80 90 Marche","https://rblive.it:8020/radio.mp3"
" Radio Rouge Italy","https://nl1.streamingpulse.com/ssl/radiorougeitaly"
" Rai Radio 1 Sport","http://icestreaming.rai.it/13.mp3"
"_Antenna Web Assisi","https://italiavera.radioca.st/stream?type=http&nocache=296"
"_Radio Energy Classic (Italy)","https://gmusto3.radioca.st/stream"
"105 Miami","https://icy.unitedradio.it/105Miami.mp3"
"105 Story","https://icy.unitedradio.it/105Story.mp3?aw_0_req.userConsentV2=&listenerId=e01becbe77271731a6ab06043a29ef98"
"16Radio","https://laut.fm/16radio"
"70 80 Disco Funk ModernSoul e Boogie","https://discofunk.streamingmedia.it/play"
"70 80 Hits HQ","https://nr8.newradio.it:19574/stream"
"70/80 Non Stop","http://shoutcast3.streamingmedia.it:3038/"
"70s 80s DiscoFunk ModernSoul Boogie","http://my.streamingmedia.it:8020/play"
"80s Remix Radio","https://a10.asurahosting.com:8350/radio.mp3"
"Abruzzo FM","http://sc1.streamingpulse.com:8004/stream.mp3"
"ACI","https://nr7.newradio.it:19353/stream"
"ACI RADIO","https://nr7.newradio.it:18003/stream"
"Aci Radio","https://sphera.fluidstream.eu/company.mp3?FLID=1"
"ADMR Rock","https://s1.shoutitaly.com/proxy/admrchiari?mp=/stream"
"ADORO CHILLIN'","https://stream.deegay.fm/deegay3.mp3?id=Oa9irZz5Qm&FLID=1&aw_0_req.gdpr=true&listenerid=79ac2cc9cb7616aca4d7286d94dd9291&awparams=companionAds%3Atrue"
"ADORO CLASSIC","https://stream.deegay.fm/deegay2.mp3?id=KeCYrcTWRj&FLID=1&aw_0_req.gdpr=true&listenerid=79ac2cc9cb7616aca4d7286d94dd9291&awparams=companionAds%3Atrue"
"ADORO POP","https://stream.deegay.fm/deegay1.mp3?id=m7eirxqSZx&FLID=1&aw_0_req.gdpr=true&listenerid=79ac2cc9cb7616aca4d7286d94dd9291&awparams=companionAds%3Atrue"
