"Name","URL"
". القارئ محمد أيوب ","https://qurango.net/radio/mohammed_ayyub"
".. مختصر التفسير ","https://qurango.net/radio/mukhtasartafsir"
"#إذاعة القرآن الكريم","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"Alnas FM","http://stream.zeno.fm/yawenmfp64zuv"
"Beat FM","https://securestreams2.autopo.st:1242/live"
"East Radio","http://stream.zeno.fm/p46gmbq8608uv"
"Hala FM","http://us10a.serverse.com:8027/"
"Hussain fm","http://s2.voscast.com:10444/stream"
"Jordan Melody FM","http://s3.voscast.com:9966/"
"Mazaj FM","https://mazajfm.ice.infomaniak.ch/mazajfm-192.mp3"
"Melody Jordan 91.1 FM","http://s3.voscast.com:9966/listen.pls?sid=1"
"Melody Jordan Radio","http://s3.voscast.com:9966/stream1686938227998"
"Mood FM","https://securestreams2.autopo.st:1241/live"
"Mood Fm 92 Amman","https://securestreams2.autopo.st:1241/live"
"Play 99.5","https://play995.radioca.st//stream?type=http&nocache=4"
"Radio Dahab","https://dahab.ice.infomaniak.ch/dahab-192.mp3"
"ROTANA FM KSA","https://www.liveradio.es/http://curiosity.shoutca.st:6035/"
"T9s ✨ Music ♫","https://stream.zeno.fm/l54i0evjlt9uv"
"Yarmouk FM","https://yufm.yu.edu.jo/broadwave.mp3"
"تفسير بن عثيمين","https://qurango.net/radio/tafseer"
