"Name","URL"
"Big B Radio - Kpop","https://antares.dribbcast.com/proxy/kpop?mp=/s"
"BOX : K-POP 케이팝","https://ss-edge.joeycast.com/kpop.mp3"
"CBS 파워라디오 [Music FM]","https://lhttp-hw.qtfm.cn/live/15318233/64k.mp3"
"Floyd Server (Rock Ballad...From 09/25/05)","http://1.uicl.co.kr:8000/"
"Fred Film Radio(한국어)","https://s10.webradio-hosting.com/proxy/fredradiokr/stream"
"GFN 98.7 FM","http://218.157.19.198:8000/stream/1"
"Gwangju Foreign Language Network 98.7 - English","http://218.157.19.198:8000/"
"HUG","http://stream.zeno.fm/0966xr1y8p8uv"
"Listen.moe (K-Pop)","https://listen.moe/kpop/fallback"
"Oldpop Cafe","http://cast.oldpopcafe.net:7080/"
"RADIO FOX STYLE","http://stream.zeno.fm/leyjhheodeutv"
"WOW CCM","http://wowccm.iptime.org:8000/stream/1/"
"마포FM","http://115.85.182.39/mapofm?type=.mp3"
"비전트로트","http://smrlsepfh.inlive.co.kr/live/listen.pls"
"올드팝카페","http://cast.oldpopcafe.net:7080/"
"트로트 넘버원","http://sun3303.inlive.co.kr/live/listen.pls"
"트로트 주막","http://live10.inlive.co.kr:10560/"
"평양FM","https://listen7.myradio24.com/69366"
