"Name","URL"
"((beu))","https://stream.beufm.kz/beufm"
"Auto Radio Kazakhstan","http://178.88.167.62:8080/AVTORADIO_192"
"Avtoradio","http://178.88.167.62:8080/AVTORADIO_192"
"Business FM 89.6","http://94.247.130.243:5050/business"
"Love Radio Kazakhstan","https://stream.gakku.tv:8443/love128.mp3"
"NS 106 FM","http://89.219.35.26:8000/radions"
"NS-Lounge","https://icecast.ns.kz/radions-lounge"
"NS-Rock","https://icecast.ns.kz/radions"
"Orda FM","https://85.29.129.134:8443/orda"
"Pioner FM","https://live.zhanafm.kz:8443/pionerfm"
"Qazaq radiosy","https://radio-streams.kaztrk.kz/qazradio/qazradio/icecast.audio"
"Radio 90s Eurodance","https://listen1.myradio24.com/5967"
"Radio Astana","https://radio-streams.kaztrk.kz/astana/astana/icecast.audio"
"Radio Azamat","https://listen4.myradio24.com/8162"
"Radio Bulbul","https://radiobulbul.stream.laut.fm/radiobulbul"
"Radio City","https://kvs01.businessfm.kz/city"
"Radio Nostalgie (Kazakhstan)","https://listen7.myradio24.com/alexx333"
"Radio Tengri FM","http://91.201.214.229:8000/tengrifm"
"Radio TMK","https://listen.myrh.ru/radiotmk"
"Radio TMK ","https://a4.radioheart.ru:9036/RH13170"
"Russian Dance Radio","https://lux-radio.com:8015/stream"
"Russkoye Radio Asia 104.7 FM","http://31.148.22.35:9000/stream"
"Shalqar","https://radio-streams.kaztrk.kz/shalqar/shalqar/icecast.audio"
"Space Beat","http://95.182.123.100/listen/space_beat/radio.mp3"
"Tengri FM","http://91.201.214.229:8000/tengrifm"
"The Holy Quran  by Sheikh Mahmoud Al-Husari","https://qurango.net/radio/mahmoud_khalil_alhussary_warsh"
"Zhulduz Radio","http://91.201.214.229:8000/zhulduz"
"ВАШЕ РАДИО","https://live.zhanafm.kz:8443/vasheradio"
"ЖАНА FM","https://live.zhanafm.kz:8443/zhanafm_onair"
"Жаңа Lounge","https://live.zhanafm.kz:8443/zhanalounge"
"Жаңа MIX","https://live.zhanafm.kz:8443/zhanamix"
"Жаңа Rock","https://live.zhanafm.kz:8443/zhanarock"
"Народное Радио","http://178.88.167.62:8080/DALA_192"
"Радио 7 (Казахстан)","https://listen2.myradio24.com/8334"
"Радио Classic","https://radio-streams.kaztrk.kz/classic/classic/icecast.audio"
"Радио NS-Jazz","https://icecast.ns.kz/radions-jazz"
"Радио NS-Rock","https://icecast.ns.kz/radions-rock"
"Радио NS-Русский хит","https://icecast.ns.kz/radions-russian"
"Радио SANA","https://listen4.myradio24.com/radiosana"
"Радио Рауан","https://listen4.myradio24.com/rauan"
"Радио Талап","https://okeyradio.ru/okey"
"Радио ТМК","https://listen.myrh.ru/radiotmk"
