"Name","URL"
"Bee FM","https://stream-55.zeno.fm/b5z4bwe91rhvv?zs=reaqYrXSSNy7pOo4AKC9xg"
"bestcoast.fm","http://streams.radio.co/sea5dddd6b/listen"
"E FM","http://207.148.74.192:7860/stream.mp3"
"FOX 91.4 FM","http://142.132.250.174:7673/stream"
"freefm.lk","https://stream-49.zeno.fm/1tcs4fbw7rquv?zs=uMl9BSttRSuqxlf3fWqc8g"
"Gold FM","https://radio.lotustechnologieslk.net:2020/stream/goldfmgarden"
"Gold FM - 93.2 Backup","https://radio.lotustechnologieslk.net:8000/"
"Gold FM - 93.2 Backup2","https://radio.lotustechnologieslk.net:2020/stream/goldfmgarden"
"Golden Maple Radio","http://s46.myradiostream.com:11156/listen.mp3"
"Gospel Music Radio Srilanka ","http://stream.zeno.fm/emsfpc2m7x8uv"
"GumNada","https://stream-016.zeno.fm/e7ztn80wttzuv?zs=nxo70rmaQ_iSyHrb1K_FQQ"
"Hiru FM","https://radio.lotustechnologieslk.net:2020/stream/hirufmgarden"
"Isira TNL","http://124.43.10.122:8080/live"
"Kothmale FM","https://s11.myradiostream.com:25116/listen.mp3"
"Lakhanda","https://cp12.serverse.com/proxy/itnfm?mp=/stream"
"LAKHANDA RADIO","https://cp12.serverse.com/proxy/itnfm?mp=/stream&1707017036"
"Lakviru Radio","http://cp11.serverse.com:7643/stream"
"Lankasri fm","http://media2.lankasri.fm/stream.mp3"
"Lite 87.8","https://lite878.com/wp-content/uploads/2020/12/spotifydown.com-Better-Place-From-TROLLS-Band-Together.mp3"
"Mark FM","http://stream.zeno.fm/28b20q2fps8uv"
"Parani Gee","http://151.80.42.191:8288/stream"
"PRIME Radio HD","https://stream-54.zeno.fm/oksfm5djcfxvv"
"Radio Plus Hitz","https://altair.streamerr.co/stream/8054"
"Radio Plus Sri Lanka ","https://altair.streamerr.co/stream/8036"
"Radio Plus Sri Lanka","https://altair.streamerr.co/stream/8036"
"Rajarata Sewaya","http://220.247.227.20:8000/rajaratastream"
"Ran FM","http://207.148.74.192:7860/ran.mp3"
"Rangiri Sri Lanka","https://rangiri.radioca.st/stream"
"Sitha FM","http://shaincast.caster.fm:48148/listen.mp3"
"Siyath Fm","https://srv01.onlineradio.voaplus.com/siyathafm"
"Siyatha Fm","https://srv01.onlineradio.voaplus.com/siyathafm"
"siyathafm mine","https://srv01.onlineradio.voaplus.com/siyathafm"
"SL Vlog Radio","https://s2.radio.co/s58b83c966/listen"
"SLBC -City FM","http://220.247.227.20:8000/citystream"
"SLBC -Radio Sri Lanka","http://220.247.227.20:8000/RSLstream"
"SLBC -Swadeshiya Sewaya","http://220.247.227.6:8000/Snsstream"
"SLBC -Welanda Sewaya","http://220.247.227.6:8000/Scomstream"
"SLBC Tamil National Service","https://stream-32.zeno.fm/xekhrn4zetzuv?zs=KXT1gTNYSemcxyslV6-vdA"
"Sri FM","http://207.148.74.192:7860/stream2.mp3"
"Star FM Srilanka","https://stream.starfm.lk:12025/stream"
"SunFM","https://radio.lotustechnologieslk.net:2020/stream/sunfmgarden"
"Tube Tamil FM Radio டியூப் தமிழ் எஃப்.எம் பண்பலை ரேடியோ","http://s2.voscast.com:12084/stream1619441439791/1"
"V FM","http://dc1.serverse.com:7178/stream/1/"
"Wellon Radio Cafe","https://wellonradio.out.airtime.pro/wellonradio_a"
"தமிழீழ வானொலி -​ Tamil​ Eelam Radio (North​ &​ East)​","http://stream.zeno.fm/c6mgmtfg8e9uv"
