"Name","URL"
"100 HITŲ","https://transliacija.relaxfm.lt/100-hitu"
"Beveik Radijas","https://azura.shoutca.st/radio/8420/radio.mp3"
"Cold Tear Radio","https://radio.rad10x.com/listen/coldtear/coldtear.mp3"
"Easy FM","https://netradio.ziniur.lt/easyfm.mp3"
"European Hit Radio","http://www.radijas.fm/media/_catalog/www.radijas.fm-radijo-stotis-european-hit-radio.pls"
"EXTRA FM","http://82.135.234.195:8000/extrafm.mp3"
"Extra FM","http://82.135.234.195:8000/extrafm.mp3"
"Fred Film Radio-24 lietuvių kalba","https://s10.webradio-hosting.com/proxy/fredradiolt/stream"
"Geras FM","http://82.135.234.195:8000/gerasfm.mp3.m3u"
"Gold FM","http://www.radijas.fm/media/_catalog/www.radijas.fm-radijo-stotis-gold-fm.pls"
"Kapsai","http://91.211.246.42:8000/Kapsai-HD"
"Kelyje","http://www.radijas.fm/media/_catalog/www.radijas.fm-radijo-stotis-kelyje-klaipeda.pls"
"Kelyje ","http://82.135.234.195:8000/kelyje_kaunas.mp3"
"Kelyje Kaunas","http://82.135.234.195:8000/kelyje_kaunas.mp3"
"Kelyje Klaipeda ","http://82.135.234.195:8000/kelyje_klaipeda.mp3"
"Laluna [MP3]","http://stream.laluna.lt/laluna/mp3.m3u"
"Lietus","http://www.radijas.fm/media/_catalog/www.radijas.fm-radijo-stotis-lietus.pls"
"m-1","https://stream.m-1.fm/lietus/MP3320.m3u"
"M-1","http://www.radijas.fm/media/_catalog/www.radijas.fm-radijo-stotis-m-1.pls"
"M-1 [AAC]","http://stream.m-1.fm/M-1aacp"
"M-1 Plius","http://radio.m-1.fm/m1plius/mp3"
"Mano","http://klausyk.manofm.lt:8000/Icecast2"
"MANO FM","http://klausyk.manofm.lt:8000/Icecast2"
"Mano FM","http://klausyk.manofm.lt:8000/Icecast2"
"MANO FM LT","http://stream.manofm.lt/listen?"
"Marijos radijas","http://stream.marijosradijas.lt:8001/marijosradijas.mp3"
"Mazeikiai FM","http://91.211.246.42:8000/Mazeikiai"
"Mažeikių Aidas","http://maidas.kli.lt:8000/admin.mp3"
"Palanga Street Radio","https://stream.palanga.live:8443/palanga128.mp3"
"Play Radio","https://n08.radiojar.com/d9cm273ystzuv"
"Pūkas [190 kbps MP3]","http://82.135.234.195:8000/pukas.mp3.m3u"
"Pūkas 2 [190 kbps MP3]","http://82.135.234.195:8000/pukas2.mp3.m3u"
"Pulsas","https://pulsas.lt/stream"
"Radijo stotis Lietus","https://radio.m-1.fm/LIETUS"
"Radio Fiesta","https://stream2.radiofiesta.lt/rfs128.mp3"
"RADIO R","https://stream1.rusradio.lt/rrb128.mp3"
"RADIO R Energy","https://listen.radioking.com/radio/624415/stream/686599"
"Radio stotis Laluna","https://radio.m-1.fm/laluna/mp3"
"Radiocentras","https://stream2.rc.lt/rc128.mp3"
"Relax FM 100 HITU","https://listen.radioking.com/radio/483860/stream/561907"
"RELAX FM Lietuva","https://stream1.relaxfm.lt/relaxfm128.mp3"
"Relax FM Sentimental","https://listen.radioking.com/radio/506872/stream/564496"
"Rock FM","https://stream2.rockfm.lt/crf128.mp3"
"Rock radio","https://cast2.my-control-panel.com/proxy/vladas/stream"
"Rock Radio","http://65.21.202.84:8026/stream"
"Sol fm","http://radiosolfm.bounceme.net:8002/solfm"
"Start FM 94.2 MHz Vilnius [MP3]","http://eteris.startfm.lt/startfm.mp3"
"Super FM","http://82.140.131.217:8000/superfm.mp3"
"Tau","http://radijas.tau.lt:8000/stream"
"Tauragės radijas","http://stream.tauragesradijas.lt:8000/tr1.m3u"
"Tauragės Radijas 98.2 FM","http://stream.tauragesradijas.lt:8000/tr1"
"Upso radijas ","http://185.5.52.50:8000/upsas_320"
"Vaikų radijas","http://88.119.151.74:8001/vaikuradijas"
"XFM Radijas","http://88.119.151.74:8001/xfm"
"xxl","http://91.211.246.42:8000/XXL-FM"
"Žinių Radijas","http://netradio.ziniur.lt:8000/ziniur.mp3"
"Žinių radijas [64 kbps MP3]","http://netradio.ziniur.lt/ziniur_64.mp3"
"ZIP FM","https://stream1.zipfm.lt/zipfm128.mp3"
"ZipFM","https://stream2.zipfm.lt/zipfm128.mp3"
"Радио Лента stream 2","https://streaming.broadcastrd.com/audio/radio-lenta.mp3"
"Радио Сигнал","https://streaming.broadcastrd.com/audio/radio-singnal.mp3"
