"Name","URL"
"Braintrip Radio","https://stream.laut.fm/braintrip-radio"
"Eldoradio","http://81.92.238.33/"
"Free Radio Luxembourg FRL","https://www.radioking.com/play/rfm-luxembourg/137599"
"Generation Dance Radio","http://generationdance.lu/radio/8030/hd"
"L'Essentiel Radio","http://lessentielradio.ice.infomaniak.ch/lessentielradio-128.mp3"
"Opus 100,7","https://100komma7--di--nacs-ice-01--02--cdn.cast.addradio.de/100komma7/opus/mp3/320/stream.mp3"
"Radio 100,7","http://100komma7.cast.addradio.de/100komma7/live/mp3/128/stream.mp3"
"Radio 100komma7","https://stream.100komma7.lu/100komma7/live/mp3/128/stream.mp3"
"Radio Aktiv","http://zeus.lrb.lu:8000/stream"
"Radio Gutt Laun","https://streams.radio.co/sa631ff66a/listen"
"Rádio Larochette ","https://servidor14.brlogic.com:8150/live"
"Rádio Larochette","https://servidor14.brlogic.com:8150/live"
"Radio Puls Luxembourg","https://uk1.listen2myradio.com:2199/listen.php?port=8312&type=s2&mount=/stream"
"Radio Tsonami","https://stream.zeno.fm/lklh3cf28s5tv"
"RTL Gold","https://shoutcast.rtl.lu/rtlgold"
"RTL Radio - Deutschlands Hit-Radio","http://stream.rtlradio.de/rtl-de-national/mp3-192/"
"RTL Radio - Die besten Hits aller Zeiten","http://stream.rtlradio.de/rtl-de-beste-hits/mp3-192"
"RTL Radio Letzebuerg","http://sc-rtllive.newmedia.lu/"
"RTL Schlagerliebe","http://stream.rtlradio.de/schlagerliebe/mp3-192/"
