"Name","URL"
"Alise Plus","http://fm2inet.aliseplus.lv:8080/"
"AlisePlus","http://fm2inet.aliseplus.lv:8080/"
"Eiropas Hītu Radio","http://stream.europeanhitradio.com:8000/ehr.mp3"
"Kurzemes Radio","http://31.170.16.6:8000/"
"Latvijas Kristīgais Radio","https://radio.lkr.lv/?type=http&nocache=40"
"Latvijas Radio 1","http://lr1mp1.latvijasradio.lv:8012/"
"Latvijas Radio 2","http://lr2mp1.latvijasradio.lv:8002/"
"Latvijas Radio 3 - Klasika","http://lr3mp0.latvijasradio.lv:8004/"
"Latvijas Radio 4","http://lr4mp1.latvijasradio.lv:8020/"
"Latvijas Radio 5","http://lr5mp1.latvijasradio.lv:8012/"
"LRMAROCKRADIO","https://c22.radioboss.fm:18318/stream"
"LV Radio 1","http://lr1mp1.latvijasradio.lv:8012/"
"LV Radio 2","http://lr2mp1.latvijasradio.lv:8002/"
"LV Radio 4","http://lr4mp1.latvijasradio.lv:8020/"
"NewDanceRadio","http://stream.newdanceradio.ru/"
"Radio 7","http://stream.radio7.lv:8024/Radio7.m3u"
"Radio ENERGY.LV","http://www.radioenergy.lv:8000/listen.pls"
"Radio ENERGY.LV - Russian","http://www.radioenergy.lv:9000/listen.pls"
"RADIO MARIA LATVIA","http://dreamsiteradiocp2.com:8046/stream"
"Radio NABA","http://nabamp0.latvijasradio.lv:8016/"
"Radio SWH","http://80.232.162.149:8000/swh96mp3.m3u"
"Radio SWH - Spin FM","http://80.232.162.149:8000/spin96mp3.m3u"
"Radio SWH Gold","http://80.232.162.149:8000/gold96mp3.m3u"
"Radio SWH LV","https://live.radioswh.lv:8443/swh_lv"
"Radio SWH Rock","http://80.232.162.149:8000/rock96mp3.m3u"
"Radio SWH+","http://80.232.162.149:8000/plus96mp3.m3u"
"Star Fm","http://starfm.live.advailo.com/audio/mp3/icecast.audio"
"SWH","http://80.232.162.149:8000/swh96mp3"
"SWH Plus","http://80.232.162.149:8000/plus96mp3"
"SWHPlus","http://80.232.162.149:8000/plus96mp3"
"Talsi Lounge","http://radio.kuums.lv:5555/listen.pls"
"Talsi Remix","http://radio.kuums.lv:5555/"
"TOP radio","https://topradio.live.advailo.com/topradio/mp3/icecast.audio"
