"Name","URL"
". القارئ محمد أيوب ","https://qurango.net/radio/mohammed_ayyub"
".. مختصر التفسير ","https://qurango.net/radio/mukhtasartafsir"
".إذاعة ماهر المعيقلي ","https://backup.qurango.net/radio/maher"
"achkid fm","https://stream.zeno.fm/7nqu31p6xg0uv"
"Adwaafm","http://stream.zeno.fm/5bxh2nh0x1zuv?1681882617017"
"Al quran radio ","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"Aswat FM","https://broadcast.ice.infomaniak.ch/aswat-high.mp3"
"Atlantic Radio","https://atlantic-sonic.nindohost.net:9300/stream"
"Aziz Mustaphi ","https://d3ctxlq1ktw2nl.cloudfront.net/production/2022-0-3/240607172-44100-2-afb2485b0c30e.mp3"
"bldi","http://beldifm.hf.ma/radio/8000/radio.mp3"
"Cap Radio","https://listen.radioking.com/radio/635263/stream/698005"
"CAP RADIO MAROC","https://www.radioking.com/play/cap-radio3/698011"
"Fayroz","https://stream.zeno.fm/zv3e5wykprhvv.mp3"
"HIT RADIO","https://hitradio-maroc.ice.infomaniak.ch/hitradio-maroc-128.mp3"
"Hit radio buzz","http://buzz.ice.infomaniak.ch/buzz-128.mp3"
"Hit radio mgharba","http://mgharba.ice.infomaniak.ch/mgharba-128.mp3"
"Hit radio Rnb","http://rnb.ice.infomaniak.ch/rnb-128.mp3"
"HitRadio","http://hitradio-maroc.ice.infomaniak.ch/hitradio-maroc-128.mp3"
"Hits 1 Maroc","https://player.maroc.hits1radio.com/"
"Hits1 Maroc","https://player.maroc.hits1radio.com/"
"Islam Sobhi ","https://server14.mp3quran.net/islam/Rewayat-Hafs-A-n-Assem/026.mp3"
"izlan Atlas","https://izlan.fr/radios/atlas/stream?.mp3"
"MA:-Hego oo","https://stream.zeno.fm/n6bqf89sduhvv"
"MA:-Hicham-Mallouli","https://stream.zeno.fm/gec4u31qcuhvv"
"MA:-HIT Mgharba","https://mgharba.ice.infomaniak.ch/mgharba-128.mp3"
"MA:-Hit Radio Maroc","https://stream.zeno.fm/une3a02mb"
"MA:-RADIO HiCham","https://stream.zeno.fm/2ynew92t8k0uv"
"MA:-Radio Sawt Alamal","https://stream.zeno.fm/d4u7zbqh5qruv"
"MA:-ZAKARIA","https://stream.zeno.fm/xvkwqparbphvv"
"Medi 1 Acoustic","http://live.medi1.com/Acoustic"
"Medi 1 Classique","http://live.medi1.com/Classique"
"Medi 1 Jazz","http://live.medi1.com/Jazz"
"Medi 1 Nayda","http://live.medi1.com/Nayda"
"Medi 1 Radio Andalouse","http://live.medi1.com/Andalouse"
"Medi 1 Soufi","http://live.medi1.com/Soufi"
"Medi1 dj","http://live.medi1.com/Dj"
"Medi1 latino","http://live.medi1.com/Latino"
"Media 1 Radio - Lounge","http://live.medi1.com/Lounge"
"Medina FM","http://medinafm.ice.infomaniak.ch/medinafm-64.mp3?.mp3"
"Mefi1 tarab","http://live.medi1.com/Tarab"
"MRC:-Aswata Lweb Casablanca","https://stream.zeno.fm/wfu6dm8w1qruv"
"MRC:-Flex Next FM	Radio Music","https://stream.zeno.fm/1dsv23cpvuquv"
"MRC:-Hip Hop Soul Radio 	Radio Music","https://stream.zeno.fm/k7cdrm450s8uv"
"MRC:-HIT Maroc","https://hitradio-maroc.ice.infomaniak.ch:80/hitradio-maroc-128.mp3"
