"Name","URL"
"Aquarelle FM","http://93.115.137.75:8000/aquarellefm.mp3"
"Crucial Velocity Radio","http://ais-sa2.cdnstream1.com/1369_128"
"Diaspora Media","https://n01.radiojar.com/58ts0hd5hrquv?rj-ttl=5&rj-tok=AAABbdDdznQAS4mz5X2BNKzzdA"
"Drive FM","http://109.185.236.241:8000/DriveFM"
"Eco FM","http://188.138.204.98:8080/ecoFM"
"imago.fm","http://109.233.192.78:8000/_a"
"Kamonoff Radio","https://lk.castnow.ru:8100/kamonoffm-320.mp3"
"LOVE PRO Dj Radio Chisinau","http://live.prodjradio.net:8000/"
"Maestro FM","http://live.maestrofm.md:8000/maestro"
"MaestroFM","http://live.maestrofm.md:8000/maestro"
"Master Class FM (MD)","https://listen3.myradio24.com/master1"
"Megapolis Fm","https://megapolisfm.md:8443/886"
"Megapolis FM Moldova","https://megapolisfm.md:8443/886"
"PRODj Radio","http://live.prodjradio.net:8000/?type=http&nocache=4585"
"Publika FM","https://publikafm.md/publikafm"
"Radio DAR","http://188.138.191.214/RadioDar"
"Radio Fresh MD","https://stream-151.zeno.fm/ttofovumhg1vv?zs=3vmFlLhiROOIFik2GUoxgw"
"Radio Micul Samaritean","https://s5.radio.co/sfff7b7e97/listen"
"Radio Orhei FM","http://live.prodjradio.net:8030/"
"Radio Plai","http://stream.radioplai.md:8000/live"
"RADIO PLAI","http://stream.radioplai.md:8000/live"
"Radio RFI Moldova","https://asculta.radiorfi.ro/live.mp3"
"Radio Studentus","http://radiolive.studentus.md:8000/live"
"RadioRetroFM Moldova","https://europaplus.hostingradio.ru:8014/retro320.mp3"
"Retro FM","http://retroserver.streamr.ru:8043/retro256.mp3"
"RetroFM","http://retro256.streamr.ru/"
"xTream Dance","http://xradio.ovh:8020/radio.mp3"
"Любимое Радио (Интернет-Радио-Канал в Бельцы)","http://live.ruradio.md:8000/rr_balti"
"Первое радио в вашем мобильном","https://cdn.cybercdn.live/Pervoia/Audio/icecast.audio"
