"Name","URL"
"54HOUSE.FM CLUB","https://54house.fm:9013/stream"
"Antena M","http://radioservis.me:8010/antenamlive"
"Aroma radio","http://5.63.151.52:7025/"
"Bruškin","https://player.radiobruskin.me/proxy/radiobruskin/stream"
"Bum radio","https://r.name.ba:7324/"
"Elmag Jazz","http://radio.elmag.me/jazz.mp3"
"Jupok radio","http://176.9.59.144:8062/"
"Mag radio","http://radio.elmag.me/mag.mp3"
"Novi Elmag radio","http://radio.elmag.me/elmag.mp3"
"Play Radio Montenegro","https://stream.playradio.me:8443/play-me.mp3"
"Radio Andrijevica","https://mpc2.mediacp.eu/stream/andrijevica/stream"
"Radio Bar","http://livestream.barinfo.me:9000/"
"Radio Bar - Crna Gora","http://livestream.barinfo.me:9000/*.mp3"
"Radio Berane","https://stream.iradio.pro/proxy/radioberane?mp=/stream"
"Radio Bijelo Polje","http://136.243.134.202:8122/stream"
"Radio Budva","https://c8.radioboss.fm:18199/stream"
"Radio Cetinje","http://78.129.228.187:8007/stream"
"Radio Crne Gore 1","https://rtcg.ipradio.rs:9008/"
"Radio Crne Gore 2 R98","https://r98.ipradio.rs:10100/"
"Radio D Podgorica","http://tachyon.shoutca.st:8289/xstream"
"Radio Delfin","http://176.9.59.144:8032/"
"Radio Elmag Caffe","https://radio.elmag.me/cafe.mp3"
"Radio Elmag Evergreen","https://radio.elmag.me/evergreen.mp3"
"Radio Elmag Folk Gold","https://radio.elmag.me/folkgold.mp3"
"Radio Elmag Izvorne i Starogradske","https://radio.elmag.me/izvorne.mp3"
"Radio Elmag Kids","https://radio.elmag.me/kids.mp3"
"Radio Elmag Love","https://radio.elmag.me/love.mp3"
"Radio Elmag Nostalgija","https://radio.elmag.me/nostalgija.mp3"
"Radio Elmag Party","https://radio.elmag.me/party.mp3"
"Radio Elmag Pop Rock EX YU","https://radio.elmag.me/poprock.mp3"
"Radio Fatih","https://radioservis.me/radio/8070/radiofatih?1702660538716"
"Radio Glas Plava","https://glasplava-rowrigos.radioca.st/"
"Radio Kotor","https://stream.iradio.pro/proxy/radiokotor?mp=/stream"
"Radio Krš","https://stream.radiokrs.me:8443/lq.mp3"
"Radio Petnjica","https://ubnt.xtraya.com/radiopetnjica,mp3?t=1721723733130"
"Radio Porto Montenegro","https://malta1491.startdedicated.de:8443/main"
"Radio Renome","https://r.name.ba:7316/"
"Radio Tivat","https://radio.dukahosting.com/8008/stream"
"RCG Millennium","https://rtcg.ipradio.rs:9102/"
"Rcg Yug","https://rtcg.ipradio.rs:9103/"
"Reggaeneracija Montenegro","http://5.189.179.77:8000/stream"
"Skadar","http://radioservis.me:8050/radioskadar"
"TDI Radio Crna Gora","https://streaming.tdiradio.com/crnagora.mp3"
"РЦГ Classic","https://rtcg1.ipradio.rs:9100/listen.pls"
