"Name","URL"
"ESDES Radio","https://radio.es-des.com/listen/esdes_radio/radio.mp3"
"ESDES TV Radio","https://radio.es-des.com/listen/esdes_radio/radio.mp3"
"Hopefy Radio MG","https://hopefy.fanantenanahoanao.org/listen/hopefy_radio_mg/radio.mp3"
"NetPro TV","https://radio.netpro.mg/arretbus23.mp3"
"Paradisagasy","http://www.radioparadisagasy.com/stream/radioparadisagasy.m3u"
"Radio des jeunes (RDJ)","http://rdj966.net:8000/rdj966.mp3"
"Radio Don Bosco","http://onair15.xdevel.com:9248/"
"RADIO VAOVAO MAHASOA","http://91.121.148.49:7777/"
"RDJ","http://rdj966.net:8000/rdj966.mp3"
"RNA Madagascar","http://drs-live-rna.gasy-internet.info:9001/"
"Taratra","http://41.188.43.211:8000/taratraradio.mp3"
