"Name","URL"
"=KECO=70s ROCK ","http://jfm1.hostingradio.ru:14536/rock70.mp3"
"=KECO=ROCK BALLADS","http://online.radioroks.ua/RadioROKS_Ballads_HD"
"=KECO=ROCK FM ","https://thassos.cdnstream.com/proxy/exaltmed/?mp=%2Fstream.mp3"
"Bum Kumanovo","http://iandonov.radioca.st/stream/1"
"Hits Sky Radio 102.5 FM Macedonia (MP3 128 kbps)","https://s1.skyradio.com.mk/hits.mp3"
"Jazz FM","https://radio.jazzfm.mk/listen/jazzfm/live"
"Just Music Radio","https://radiostream.neotel.mk/justmusicradio"
"Kanal 103","http://radiostream.neotel.mk/kanal103"
"Lider FM 107,4","https://liderfm.ipradio.mk/"
"Life Radio","http://liferadio.ddns.net:8000/"
"Life Radio 89.1 Macedonia","http://liferadio.ddns.net:8000/"
"Metropolis Radio Network","https://eu4.fastcast4u.com/proxy/metradio?mp=/1"
"ORO RADIO","http://uk14freenew.listen2myradio.com:35358/"
"radio 22","https://radio.server14.kariha.net:8008/"
"Radio Bravo 1","http://80.77.157.10:8000/stream/2live.mp3"
"Radio Bravo Smooth Jazz Mix Radio","http://server.webnetradio.net:5490/stream?"
"Radio Buba Mara 105.2 FM","http://88.85.99.2/live-128.mp3"
"Radio Bubamara 105.2 Skopje, Macedonia","https://stream.bubamara.com.mk/live"
"Radio Fortuna 96.8 FM","https://radiofortuna.ipradio.mk/*.mp3"
"Radio Fortuna 96.8 Skopje, Macedonia","https://radiofortuna.ipradio.mk/*.mp3%22"
"Radio Kanal 77 Skopje, Macedonia","https://radiocnd.mms.mk/proxy/offnet/stream"
"Radio Maria Macedonia","http://dreamsiteradiocp.com:8118/stream"
"Radio Meff","https://s32.myradiostream.com:16040/?type=http&nocache=1688299470?0.591044522318551"
"RadioBar","https://visual.shoutca.st:8122/stream"
"RADIOBAR","https://cp1.sednastream.com/proxy/radiobar?mp=/stream"
"Retro Sky Radio 102.5 FM Macedonia (MP3 128 kbps)","https://s1.skyradio.com.mk/retro.mp3"
"RFM 91.3 - North Macedonia","http://213.133.109.18:10004/mp3"
"Samo MK","https://radiostream.neotel.mk/samomk"
"SamoMK","http://radiostream.neotel.mk/samomk"
"Sky Radio 102.5 FM Macedonia (MP3 128 kbps)","https://skyradio.com.mk/listen.m3u"
"Sky Radio 102.5 Skopje, Macedonia","https://s1.skyradio.com.mk/*.mp3"
"Sky Radio Hits Skopje, Macedonia","https://s1.skyradio.com.mk/hits.mp3"
"Star Radio (Live) Skopje, Macedonia","https://radiostar.pro/stream/starlive.php"
"Time FM Gevgelija","https://s2.free-shoutcast.com/stream/18058"
"Urban FM 90.8 Skopje","https://securestreams4.autopo.st:1668/stream"
"Експрес Радио 101.1 Струмица, Македонија","http://ekspresradio.dyndns.org:8000/"
"Канал 77 Радио Мрежа ","https://radiocnd.mms.mk/proxy/player/stream"
"Скај Радио","https://skyradio.com.mk/listen.m3u"
