"Name","URL"
"Joliba 105.0 FM","https://stream.zenolive.com/bux0vqx79zquv"
"Kalux FM Bamako","http://stream.zeno.fm/kgadkjdbexqtv"
"Noura FM 94.5 Bamako","https://stream-151.zeno.fm/60x209af8e9uv"
"Raba FM 105.4 Kayes","https://stream.zeno.fm/6bahbww4kv8uv"
"Radio Bougouni Kunkan 102.9","https://stream.zeno.fm/x3gb8t9nzk0uv"
"Radio Dambé Marena Diombougou","https://stream.zeno.fm/x2ws1ccyfpeuv"
"Radio Kassara Barikama 107.4 Kayes","https://stream.zeno.fm/0ef19uaxh4duv"
"Radio Kledu","https://stream.zeno.fm/f38bxpt3v2quv"
"Radio Kledu 101.2","https://www.surfmusic.de/m3u/radio-kledu-101-2-fm,20465.m3u"
"Radio Madjoura Nourou Dine Touba","https://stream.zeno.fm/kgnvaarqu0quv"
"Radio Malijet","https://stream-157.zeno.fm/yerp85sughwtv?zs=bzqHawb1Rha3gGg97iW8xg"
"Radio Miracle FM Bougouni","https://stream.zeno.fm/hpi2qbj1hh8vv"
"Radio Neneba FM 97.7 Markala","https://stream.zeno.fm/e9xqg1ah22quv"
"Radio Patriote 88.1 Bamako","http://185.41.154.86:8002/"
"Radio Peace 98.8 Bamako","https://stream.zeno.fm/w2em9hsfs7zuv"
"Radio Siguida Kunkan 90.2 Bamako","https://stream.zeno.fm/saqt7v0g8v5tv"
"Radio Tabital Pulaaku 106.9 Bamako","https://stream-151.zeno.fm/u7r209hgxuquv"
"Radio Tissa la Voix du Mamelon 99.7 FM","https://stream.zeno.fm/s8ng63k4tchvv"
"Radio Woyowayanko 93.0 Bamako","https://stream.zeno.fm/1mr8wdywz68uv"
"Radio Yélé Sagabali La Voix Du Beledougou","https://stream.zeno.fm/au9gskurq0hvv"
