"Name","URL"
"101.1 BIG HEART FM","http://162.220.162.10:8011/stream"
"91.5 HIT FM MACAU (成都）","http://lhttp.qingting.fm/live/15318703/64k.mp3"
"Asia FM 106.9","https://lhttp.qingting.fm/live/20071/64k.mp3"
"Channel [V] International","https://listen.radioking.com/radio/453221/stream/508076"
"CityFM Macau - 90.5 FM","https://lhttp.qtfm.cn/live/20500153/64k.mp3"
"Lotus FM Macau HD - 97.4 FM","https://lhttp.qtfm.cn/live/20533/64k.mp3"
"Lotus Macau Radio - 1062 AM","https://lhttp.qtfm.cn/live/20133/64k.mp3"
"M80 Radio Macau - 107.1 FM","https://stream-icy.bauermedia.pt/m80.mp3"
"Rádio de notícias de Guangzhou - 96.2 FM","https://radios2.justweb.pt/8008/stream"
"RADIO MARIA MACAU","http://dreamsiteradiocp2.com:8038/stream"
"Radio Top 80 Macau 強電台 - 89.9 FM","http://live.top80.fm:8086/"
"Radio Veritas Asia 1044 AM","http://icecast.eradioportal.com:8000/radyo-veritas-846"
"Record FM 100.3 Macau","https://nl.digitalrm.pt:8028/stream"
"Romance Radio 95.5 FM","http://162.220.162.10:8011/stream"
"RTP Macau - 97.1 FM","https://radiocast.rtp.pt/antena1madeira80a.mp3"
"YW City Radio - Macau 954 AM","https://lhttp.qingting.fm/live/1259/64k.mp3?app_id=web"
