"Name","URL"
"Bay 89.7","https://stream.v3.network/proxy/897bay/stream.mp3?_=1"
"Bay Easy 100.2","https://stream.v3.network/proxy/easy/stream.mp3"
"Calypso Radio","https://s4.radio.co/sf3aa4c25a/listen"
"Campus 103.7","https://campusfm.radioca.st/campusfm_live"
"Christmas Radio Malta","http://philae.shoutca.st:8402/stream?type=http&nocache=165"
"MALTIN BISS","https://s4.voscast.com:8837/default"
"One Radio","http://s10.voscast.com:8202/stream"
"Radju Maria Malta","http://dreamsiteradiocp.com:8102/"
"RADJU MARIJA MALTA","http://dreamsiteradiocp.com:8102/stream"
"Vibe FM","https://s9.voscast.com:7825/1"
