"Name","URL"
"Alam MayaFM","http://192.99.8.192:3142/"
"ALL FM [91.9]","https://stream.zeno.fm/srrbpsu3tbdvv"
"ANAstation","https://stream.zeno.fm/tf79rp6qg48uv"
"Aqfad Radio","https://stream.zeno.fm/92t6ctpayf9uv"
"Asyik FM","http://playerservices.streamtheworld.com/api/livestream-redirect/ASYIK_FM.mp3"
"BFM 89.9","http://playerservices.streamtheworld.com/api/livestream-redirect/BFM.mp3"
"Big Cow FM","http://onairnow.ddns.net:8000/chinese.mp3"
"Bintang FM","https://stream.zeno.fm/1p0tmcfqq68uv"
"BS studio","https://stream.zeno.fm/5pk8bbxvn0hvv"
"Camfrog FM","https://stream.zeno.fm/38c4912nh98uv"
"CHEMOR FM","https://stream.zeno.fm/ph46tt5v7k0uv"
"CHEMOR FM 80' 90'","https://stream.zeno.fm/23zbrwsr8k0uv"
"CHEMOR FM DANGDUTMANIA","https://stream.zeno.fm/07wm0kur8k0uv"
"DJ DUGEM ","https://stream.zeno.fm/ooaqxeogpfdvv"
"Dzaahin_Sufiyya FM","https://stream.zeno.fm/86q608zf368uv"
"FAKHRULNOIR FM","https://stream.zeno.fm/z53ycf1iwhnvv"
"Gegar Net Radio","http://178.33.135.244/proxy/gegarnetradio?mp=/stream"
"Gemersik FM","http://gemersikfm.iradio.work:8000/"
"Gold","https://ss1.audiorama.com.mx:6584/https://radiomalaysia.net/gold-fm.html"
"Hashtag One Radio","https://stream.zeno.fm/p9zhhf6gachvv"
"Havoc FM","http://nebula.shoutca.st:8098/stream"
"Impian FM","http://167.114.131.90:6156/stream/1/"
"Indix Radio","https://stream.zeno.fm/6zn34uq35bhvv"
"IRAMA FM","https://stream.zeno.fm/969trb91afhvv"
"Jazz Lounge","http://eu8.fastcast4u.com:5068/"
"JEI FM","https://usa3.fastcast4u.com/proxy/jeifm?mp=/1"
"Jei FM Klang Tamil Radio","https://usa3.fastcast4u.com/proxy/jeifm?mp=/1"
"KCFM Radio","http://www.kcfm.org:8000/stream"
"KDimensifm","https://stream.zeno.fm/vfenq4seprhvv"
"Keningau FM","http://playerservices.streamtheworld.com/api/livestream-redirect/KENINGAU_FM.mp3"
"Klasik FM 101,1 MHz","http://playerservices.streamtheworld.com/api/livestream-redirect/RADIO_KLASIK.mp3"
"Kuala Sentul Di Hati FM","http://51.79.219.202:8000/stream"
"Langkawi FM","http://playerservices.streamtheworld.com/api/livestream-redirect/LANGKAWI_FM.mp3"
"Lejen FM","https://stream.zeno.fm/nez002cetv8uv"
"LTFM Radio","http://live.ltfmonline.com:8000/stream"
"LTR FM Radio Music","https://stream.zeno.fm/p1ddt1trwchvv"
"Maulana FM","https://stream.zeno.fm/078u1m3gf0hvv"
"Melayu FM","https://stream.zeno.fm/27umg0rw808uv"
"Melayu Klasik","https://stream.zeno.fm/4s44thh7yf9uv"
"Mentari FM","https://stream.zeno.fm/4xt6t6qr538uv"
"Miaradio","https://stream.zeno.fm/ndh0amsgnrhvv"
"MIB radio","https://stream.zeno.fm/bm557kzmr18uv"
"Miri FM","http://playerservices.streamtheworld.com/api/livestream-redirect/MIRI_FM.mp3"
"My Kampus Radio","https://usa10.fastcast4u.com/voicespl"
"My world Radio","https://stream-55.zeno.fm/67wn5waq64zuv"
"MyFriends Station","https://cast3.asurahosting.com/proxy/myfriend/stream"
"Nadi FM","https://stream.zeno.fm/73lqmdegbwbuv"
"Naluri FM","https://stream.zeno.fm/a7wz5xvyfs8uv"
"Nasional FM 88,5 MHz","http://playerservices.streamtheworld.com/api/livestream-redirect/NASIONAL_FM.mp3"
"PBN Radio Nurani","https://stream.zeno.fm/2uyfsr25sm0uv"
"PilotDarat FM","https://stream.zeno.fm/nb6rd9ck9hhvv"
"Radio ","http://ssl.geckohost.nz:9191/autodj"
"Radio Klate Kito","http://s6.voscast.com:9748/"
"Radio MAB","https://stream.zeno.fm/qb5q7a3r8k0uv"
"Radio Maya Online","http://s1.cmesolution.my:5266/"
"RCCT.online","https://rcct.online/radio/8000/128mp3"
"Repair Segala","https://stream.zeno.fm/0245ew03ekhvv"
"RJM Online ","https://stream.zeno.fm/2vbsscvr3nhvv"
"Rock Kapak","https://stream.zeno.fm/sf5sbjnsjituv"
"Rock Rock Kapak","https://stream.zeno.fm/q6xy0didftcvv"
"Salam FM","https://stream.zeno.fm/3dy9yfydm48uv"
"Sarkis FM","https://stream.zeno.fm/7hzpv91tzv8uv"
"Sembangsemalaysia.fm","https://stream.zeno.fm/ykhsnd30ynhvv"
"Shaycool Raya","https://stream.zeno.fm/v161cx7e8s8uv"
"SkyChatzFM","http://java.skychatz.org:8080/stream/1"
"Slow Rock 90'","https://stream.zeno.fm/hiut6cwfoneuv"
"SORAfm","https://a9.asurahosting.com:7460/radio.mp3"
"Soup FM","http://usa7.fastcast4u.com:8808/soupfm"
"Srikinta FM","https://stream.zeno.fm/hqcknw4enkhvv"
"Stay.FM","https://stayfm.com:8443/archive"
"Syok FM","https://stream.zeno.fm/993m1qbrtbruv"
"Terompah FM","https://stream.zeno.fm/0dfe83u4ya0uv"
"TMM2 FM","https://stream.zeno.fm/mq0pxfsf0chvv"
"WAI FM Bidayuh","http://playerservices.streamtheworld.com/api/livestream-redirect/WAI_FM_BK.mp3"
"WAI FM IBAN","http://playerservices.streamtheworld.com/api/livestream-redirect/WAI_FM_IBAN.mp3"
"Wheelerz Net Radio","http://167.114.131.90:5448/stream/"
"WPL RC FM ","https://stream.zeno.fm/khxsbm9nxk8uv"
"Xcited FM","https://stream.zeno.fm/mnau6k172rhvv"
"ZENO FM - ESFM1019 好歌放送！精彩不断！","https://stream.zeno.fm/2bps7eetqfhvv"
"Zetya FM","https://stream.zeno.fm/atem3gb7srhvv"
"اذاعة القرآن الكريم","http://stream.radiojar.com/0tpy1h0kxtzuv"
