"Name","URL"
"#Radio Quran","https://n0a.radiojar.com/0tpy1h0kxtzuv?rj-ttl=5&rj-tok=AAABhdgGORQA-2acfyF3_4WY2g"
"94.5 – BRTV Borno Radio, Maiduguri","https://stream.zeno.fm/px5k346357zuv"
"95.5 – Boss FM","https://edge.mixlr.com/channel/oeltj"
"99.1 – Odenigbo FM, Obosi","https://stream.zeno.fm/rx197cbviawvv"
"9jastar","http://eu4.fastcast4u.com:5026/stream"
"Adamimogo FM","http://stream.zeno.fm/sywy4vua6zhvv"
"Afrobeats Gospel Radio","https://stream.zeno.fm/zyd9stmdlnlvv"
"Awoko Radio","http://node-05.zeno.fm/tqq99en94v8uv"
"Bond 92.9 FM","https://go.webgateready.com/bondfm"
"BOSS 98.9 FM","https://ec1.everestcast.host:4795/stream"
"BRC Radio Bauchi","https://tinyurl.com/mr36pvc8"
"Buzz FM Aba – 89.7 FM","https://edge.mixlr.com/channel/qytfx"
"Dream Center Internet Radio","https://admin.dciradio.org/radio/8010/radio.mp3"
"Enugu Love FM","https://stream13.shoutcastsolutions.com/proxy/enugulovefm?mp=/stream.mp3"
"Enyimba FM","https://ec1.everestcast.host:4625/stream"
"FAD FM","https://radio.gotright.net/listen/fadfm/radio.mp3"
"Fahimta Radio","https://cutt.ly/v49jJkV"
"FRCN - Radio Nigeria ","https://radiohq.radioca.st//'"
"GanGan Radio","https://stream.zeno.fm/9reuhyz8up8uv"
"Godfrey Okoye University Radio 106.9fm","https://us5new.listen2myradio.com:2199/stream.php?port=8178"
"Gospotainment Radio","https://radio.gotright.net/radio/8000/radio.mp3"
"Grace 95.5 FM","http://s3.voscast.com:10436/stream"
"Green Radio Uganda","https://servidor17-1.brlogic.com:7940/live?source=12124"
"HOD RADIO","https://servidor21.brlogic.com:7766/live"
"Inform Me Radio","http://stream.zeno.fm/ta1fke6sz1zuv"
"KCity Radio","https://radio.gotright.net/radio/8010/radio.mp3"
"LagosJump Radio","https://radio.lagosjumpradio.com/listen/lagosjump_radio/radio.mp3"
"Legend FM","https://ec1.everestcast.host:4815/stream"
"MajorFM","http://stream.zeno.fm/pkza99xshkhvv"
"Metro 97.7 FM","https://go.webgateready.com/metrofm"
"METRO FM LAGOS","https://go.webgateready.com/metrofm/radio.mp3"
"Nagari Radio","http://stream.zeno.fm/287z97ksdg8uv"
"NCBN Abuja","https://stream.zeno.fm/1zur4ycs6x8uv"
"Nigerian Gospel Music Radio (MP3)","http://stream.zeno.fm/3fmqr74a7f8uv"
"Nishadi radio online","https://stream.zeno.fm/cm3s6305kg8uv"
"Obong Radio","https://stream.zeno.fm/vlssnjcwkisvv"
"Odenigbo FM","https://stream.zeno.fm/rx197cbviawvv"
"Panache Fm ","https://bit.ly/3nLxepv"
"Radio 103.5 FM","https://go.webgateready.com/radioonefm"
"Radio East","http://stream.zeno.fm/7f4w4us5wp8uv"
"Radio One FM 103.5 Lagos","https://www.go.webgateready.com/radioonefm"
"RadioTiwa","https://stream.zeno.fm/tvqvamkwe5zuv.m3u"
"Rapid FM 96.5 Umuahia","https://stream13.shoutcastsolutions.com/proxy/rapidfm965?mp=/stream"
"RFI Haoussa","http://live02.rfi.fr/rfihaoussa-96k.mp3"
"Rose FM","http://ec1.everestcast.host:4730/stream"
"Splash FM 105.5","https://edge.mixlr.com/channel/cfeki"
"Splash FM Abeokuta","https://stream.zeno.fm/m9x6zr5trp8uv"
"Sunshine FM 104.5 MHz Potiskum","https://stream.zeno.fm/cu2e39ra0chvv"
"The Today Africa Radio ","http://stream.zeno.fm/e66eb3qmg48uv"
"Unilag Radio","https://stream.zeno.fm/w68a71f8568uv"
"URBAN RADIO ENUGU","https://edge.mixlr.com/channel/cfldr"
"Usaku FM 90.5","https://eu8.fastcast4u.com/proxy/usakufm?mp=/1"
"WiGRadio","http://stream-152.zeno.fm/k4w8hv26nzzuv?zs=9e7U8mPaSMyi2Nnt_ivOqA"
"YDI Radio","https://s9.voscast.com:9079/stream"
"YES 101.7 FM","https://stream.zenolive.com/kqgbf9g3mfhvv"
"Yes FM 101.7","https://stream.zeno.fm/kqgbf9g3mfhvv"
