"Name","URL"
"CAWtv","https://stream.zeno.fm/m8aakwyw9u8uv"
"Clasica 101.9FM","http://streaming.clasicafm.com.ni:8050/clasica.mp3"
"Estéreo Romance","https://stereoromance.radioca.st/streams/128kbps.m3u"
"Fiesta Latina 89.1 FM","https://radios.solumedia.com/6596/stream"
"La Nueva Radio | Nicaragua","https://stream.zenolive.com/axr92qawesmtv"
"La Voz del Norte","https://stream.zeno.fm/cbd1wweamzzuv"
"Masaya Rebelde","https://stream.zeno.fm/bhutktvbfv8uv"
"Radio Católica de Nicaragua","http://198.27.68.65:8555/listen.pls?sid=1"
"Radio Comunidad","https://stream.zeno.fm/q70e6btc2d0uv"
"Radio Estrella del Mar","https://streamer.radio.co/sd5242d0b6/listen"
"RADIO FABULOSA 99.3 FM","https://eu1-sonic.serverse.com/8008/stream"
"Radio Hermanos","https://stream.zenolive.com/vq7z0a3u7mruv"
"Radio Juan Pablo Segundo 97.7 fm","https://dc2.serverse.com:8040/stream"
"RADIO MARIA NICARAGUA","http://dreamsiteradiocp4.com:8048/stream"
"Radio Nicaragua","https://online.radionicaragua.com.ni/stream.mp3"
"Radio República","https://stream.zeno.fm/3kruxu5a9s8uv"
"Radio Sendas FM","http://74.91.125.187:8028/listen.pls?sid=1"
"Radio Vandalica Nicaragua","https://stream.zeno.fm/caq3fwn1fnruv"
"Rock FM 105.5","https://securestream.us/radio/8050/radio.mp3"
"Stereo Beso 94.5 FM","https://a9.asurahosting.com:7140/"
"Union Nacional Patriotica","https://stream.zeno.fm/ap6umv11pzzuv"
