"Name","URL"
" 🎥 ues 🎬 ","https://listen.radionomy.com/unleashingepicsoundtracks"
"5000 Bergen","https://bergen5000.radioca.st/stream"
"Arctic Outpost","https://radio.streemlion.com:3715/stream"
"Arctic Outpost Radio","http://radio.streemlion.com:3710/stream"
"Bandit","https://p11.p4groupaudio.com/P11_MM"
"Guovdageainnu Lagasradio","https://streaming.radio.co/s5b773f8d3/listen"
"Hamar Radioen","https://lyd.radioene.no/hamar.mp3"
"historyradio.org","http://stream.radiojar.com/6bmecgg3wd5tv"
"KISS","https://live-bauerno.sharp-stream.com/kiss_no_mp3"
"Kiss Dance","http://live-bauerno.sharp-stream.com/kiss_no_hq"
"Klem FM","https://p7.p4groupaudio.com/P07_MM"
"Metal Express Radio","http://s39.myradiostream.com:11590/listen.m3u"
"Nea Radio","http://nettradio.nearadio.no:8000/stream.m3u"
"Norsk Country Radio","http://s6.voscast.com:10258/"
"NRJ Norge","https://nrj.p4groupaudio.com/NRJ_MM"
"NRK Alltid Nyheter (Høy Kvalitet)","http://nrk-mms-live.telenorcdn.net/nrk_radio_alltid_nyheter_mp3_h"
"NRK Folkemusikk (Høy Kvalitet)","http://nrk-mms-live.telenorcdn.net/nrk_radio_folkemusikk_mp3_h"
"NRK Jazz","http://nrk-mms-live.telenorcdn.net/nrk_radio_jazz_mp3_h"
"NRK Klassisk (Høy Kvalitet)","http://nrk-mms-live.telenorcdn.net/nrk_radio_klassisk_mp3_h"
"NRK MP3","https://cdn0-47115-liveicecast0.dna.contentdelivery.net/mp3_mp3_h"
"Nrk p1 Hordaland","https://cdn0-47115-liveicecast0.dna.contentdelivery.net/p1_dk8_mp3_h"
"Nrk P1 Stor-Oslo","https://cdn0-47115-liveicecast0.dna.contentdelivery.net/p1_mp3_h"
"NRK P2 (Høy Kvalitet)","http://nrk-mms-live.telenorcdn.net/nrk_radio_p2_mp3_h"
"P11 Dance","https://p11.p4groupaudio.com/P11_MH"
"P24-7 JuleRadioen","https://live-bauerno.sharp-stream.com/station17_no_mp3"
"P24-7 Mix","https://live-bauerno.sharp-stream.com/p247mix_no_mp3"
"P4 Lyden av Norge","https://p4.p4groupaudio.com/P04_MM"
"P5 Hits","https://p4.p4groupaudio.com/P05_MM"
"P6 Rock","https://p6.p4groupaudio.com/P06_MM"
"P7","https://radio.p7.no/listen/p7_kristen_riksradio/kristen_riksradio.xspf"
"P7 klem","https://live.amperwave.net/playlist/powell-klemammp3-ibc2.m3u"
"P7 Kristen Pop","https://radio.p7.no/listen/p7_kristen_pop/kristen_pop.xspf"
"P8 Pop","https://p8.p4groupaudio.com/P08_MM"
"P8 Pop Radio","https://p8.p4groupaudio.com/P08_MM"
"P9 Retro","https://p9.p4groupaudio.com/P09_MH"
"Radio Alta","https://stream02.nordavis.no/radioalta-128k"
"Radio Latin-Amerika","https://stream.radiolatinamerika.no/latam_hq"
"Radio Metro Oslo","http://stream.oneplay.no/oslo128"
"Radio Metro Sørlandet","https://stream.oneplay.no/sorlandet128"
"Radio Northern Star","http://5866.cloudrad.io:8018/northernstar.mp3"
"Radio Nova","http://stream.radionova.no/mp3"
"Radio Randsfjord","http://stream.radiorandsfjord.no/randsfjord128.mp3"
"Radio Rock","https://live-bauerno.sharp-stream.com/radiorock_no_mp3"
"Radio Rox","http://stream.radiometro.no/rox128"
"Radio Sotra","https://streaming.radiosotra.no:8443/radiosotra"
"Radio Tromsø Hits","https://stream.rthits.no/rthits192"
"RADIO Trøndelag","https://nettradio.radiotrondelag.no:8443/radio_trondelag"
"Radio Vinyl Oslo","http://live-bauerno.sharp-stream.com/vinyl_no_mp3"
"Radio-Rock (NOR)","http://live-bauerno.sharp-stream.com/radiorock_no_mp3"
"Radio102","https://stream.radio102.no/radio102_hq"
"radiolatinamerika","https://stream.radiolatinamerika.no/latam_hq"
"Radiø Bø","https://nettradio.radiobo.com/radiobo-high"
"RRA","http://remote.remoy.org:59913/rasta2"
"Topp 40","http://live-bauerno.sharp-stream.com/top40_no_mp3"
"Toten radio","http://streamer.nextnet.no/radiototen-mp3"
"Trysilradioen","https://lyd.radioene.no/trysil.mp3"
"Tube Tamil FM Radio டியூப் தமிழ் எஃப்.எம் பண்பலை ரேடியோtube ","http://s2.voscast.com:12084/stream1619441439791/1"
